### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,147,194,62.0663,0,255,0,0,100,1,1
1,83,273,58.3835,0,255,0,0,100,1,1
2,586,492,-25.4735,0,255,0,0,100,1,1
3,418,542,-50.5969,0,255,0,0,100,1,1
4,488,294,125.289,0,255,0,0,100,1,1
5,553,333,-108.386,0,255,0,0,100,1,1
6,68,330,-72.202,0,255,0,0,100,1,1
7,31,348,59.3622,0,255,0,0,100,1,1
8,337,176,-70.0055,0,255,0,0,100,1,1
9,500,556,154.918,0,255,0,0,100,1,1
10,525,310,178.166,0,255,0,0,100,1,1
11,70,342,-173.667,0,255,0,0,100,1,1
12,216,204,170.767,0,255,0,0,100,1,1
13,362,180,-91.3748,0,255,0,0,100,1,1
14,422,355,41.8198,0,255,0,0,100,1,1
15,540,339,-0.7596,0,255,0,0,100,1,1
16,66,366,21.3874,0,255,0,0,100,1,1
17,140,33,4.29969,0,255,0,0,100,1,1
18,199,256,-21.7517,0,255,0,0,100,1,1
19,484,511,-51.3745,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,396,38,1
1,543,292,1
2,96,448,1
3,164,97,1
4,531,78,1
5,231,241,1
6,454,435,1
7,414,240,1
8,311,522,1
9,482,97,1
10,265,538,1
11,525,370,1
12,316,107,1
13,39,71,1
14,415,111,1
15,398,302,1
16,573,161,1
17,252,368,1
18,158,227,1
19,287,202,1
20,421,378,1
21,347,535,1
22,232,132,1
23,404,329,1
24,581,561,1
25,66,539,1
26,275,72,1
27,340,515,1
28,155,314,1
29,271,486,1
30,294,332,1
31,241,25,1
32,486,505,1
33,139,573,1
34,177,479,1
35,212,162,1
36,305,444,1
37,518,312,0
38,542,158,1
39,183,290,1
40,398,501,1
41,500,123,1
42,238,78,1
43,35,292,1
44,252,139,1
45,214,447,1
46,547,525,1
47,248,527,1
48,534,270,1
49,255,498,1
50,477,386,1
51,155,51,1
52,170,555,1
53,473,120,1
54,49,41,1
55,103,403,1
56,317,485,1
57,371,488,1
58,19,85,1
59,528,338,1
60,193,36,1
61,547,196,1
62,148,482,1
63,405,196,1
64,251,60,1
65,373,526,1
66,166,77,1
67,333,383,1
68,120,360,1
69,84,292,1
70,533,38,1
71,39,403,1
72,154,444,1
73,183,109,1
74,38,325,1
75,497,522,1
76,501,373,1
77,411,156,1
78,556,473,1
79,328,291,1
80,507,339,1
81,61,332,0
82,133,90,1
83,402,376,1
84,130,232,1
85,438,59,1
86,470,211,1
87,463,262,1
88,31,188,1
89,135,334,1
90,451,168,1
91,351,309,1
92,459,549,1
93,350,260,1
94,494,26,1
95,346,57,1
96,216,194,1
97,525,141,1
98,291,271,1
99,83,173,1
100,286,438,1
101,450,480,1
102,435,134,1
103,58,222,1
104,303,188,1
105,457,529,1
106,347,329,1
107,269,282,1
108,29,207,1
109,33,468,1
110,358,557,1
111,249,277,1
112,149,379,1
113,33,494,1
114,394,229,1
115,404,439,1
116,574,235,1
117,578,74,1
118,137,197,1
119,253,214,1
120,529,468,1
121,478,448,1
122,86,213,1
123,388,283,1
124,310,37,1
125,350,112,1
126,175,510,1
127,424,43,1
128,402,408,1
129,96,247,1
130,67,99,1
131,397,573,1
132,370,365,1
133,282,225,1
134,524,193,1
135,26,149,1
136,133,141,1
137,156,419,1
138,118,520,1
139,207,342,1
140,74,454,1
141,132,270,1
142,158,267,1
143,455,239,1
144,267,396,1
145,579,436,1
146,184,253,1
147,502,63,1
148,431,79,1
149,366,238,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
