### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,36,462,2.08996,0,255,0,0,100,1,1
1,325,189,-80.1054,0,255,0,0,100,1,1
2,313,224,-154.428,0,255,0,0,100,1,1
3,297,172,12.947,0,255,0,0,100,1,1
4,85,568,-126.045,0,255,0,0,100,1,1
5,483,220,-19.1965,0,255,0,0,100,1,1
6,130,202,-124.496,0,255,0,0,100,1,1
7,405,53,-112.691,0,255,0,0,100,1,1
8,278,309,167.58,0,255,0,0,100,1,1
9,367,300,-12.3105,0,255,0,0,100,1,1
10,373,20,165.36,0,255,0,0,100,1,1
11,133,82,9.18592,0,255,0,0,100,1,1
12,100,524,-27.2051,0,255,0,0,100,1,1
13,342,230,22.8655,0,255,0,0,100,1,1
14,329,292,69.3497,0,255,0,0,100,1,1
15,562,518,160.724,0,255,0,0,100,1,1
16,353,342,23.2137,0,255,0,0,100,1,1
17,302,268,76.5602,0,255,0,0,100,1,1
18,56,508,177.46,0,255,0,0,100,1,1
19,552,365,143.446,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,247,124,1
1,269,385,1
2,293,31,1
3,570,367,1
4,212,51,1
5,313,562,1
6,365,107,1
7,245,84,1
8,519,263,1
9,313,66,1
10,253,349,1
11,356,193,1
12,104,550,1
13,65,294,1
14,459,434,1
15,159,538,1
16,382,413,1
17,36,61,1
18,159,493,1
19,323,151,1
20,574,484,1
21,190,560,1
22,324,376,1
23,172,348,1
24,130,134,1
25,498,393,1
26,482,477,1
27,47,161,1
28,327,429,1
29,418,416,1
30,266,559,1
31,389,454,1
32,113,487,1
33,54,472,1
34,579,136,1
35,269,407,1
36,562,308,1
37,230,24,1
38,339,51,1
39,401,349,1
40,26,296,1
41,234,109,1
42,484,310,1
43,201,156,1
44,447,205,1
45,116,54,1
46,116,355,1
47,425,33,1
48,347,164,1
49,235,430,1
50,353,482,1
51,266,540,1
52,525,79,1
53,273,287,1
54,577,239,1
55,204,90,1
56,430,372,1
57,47,139,1
58,477,115,1
59,411,514,1
60,367,565,1
61,384,514,1
62,300,310,1
63,80,47,1
64,30,405,1
65,339,88,1
66,113,274,1
67,178,500,1
68,179,158,1
69,545,209,1
70,439,500,1
71,350,501,1
72,143,239,1
73,45,452,1
74,63,497,1
75,576,93,1
76,205,257,1
77,184,377,1
78,140,324,1
79,232,503,1
80,366,316,1
81,71,461,1
82,386,168,1
83,545,440,1
84,89,415,1
85,241,400,1
86,408,455,1
87,515,461,1
88,144,442,1
89,103,217,1
90,451,516,1
91,205,381,1
92,341,290,1
93,569,455,1
94,447,153,1
95,65,420,1
96,441,259,1
97,350,267,1
98,32,176,1
99,81,361,1
100,379,291,1
101,51,252,1
102,426,305,1
103,518,486,1
104,129,535,1
105,66,319,1
106,215,446,1
107,495,229,1
108,437,86,1
109,312,454,1
110,493,353,1
111,397,532,1
112,234,218,1
113,318,343,1
114,87,231,1
115,204,494,1
116,477,333,1
117,161,144,1
118,437,444,1
119,265,183,1
120,127,391,1
121,26,344,1
122,518,533,1
123,181,533,1
124,220,555,1
125,273,95,1
126,564,288,1
127,474,256,1
128,382,130,1
129,222,311,1
130,422,53,1
131,114,28,1
132,295,239,1
133,534,472,1
134,30,85,1
135,305,433,1
136,272,226,1
137,471,54,1
138,271,145,1
139,491,71,1
140,473,87,1
141,423,271,1
142,268,496,1
143,276,41,1
144,194,400,1
145,20,515,1
146,408,390,1
147,482,291,1
148,221,330,1
149,119,424,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
