### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,467,173,131.16,0,255,0,0,100,1,1
1,74,25,14.7935,0,255,0,0,100,1,1
2,465,108,-61.4437,0,255,0,0,100,1,1
3,538,516,-92.9491,0,255,0,0,100,1,1
4,21,538,-47.8627,0,255,0,0,100,1,1
5,317,444,-92.093,0,255,0,0,100,1,1
6,198,429,-22.8944,0,255,0,0,100,1,1
7,159,434,-137.633,0,255,0,0,100,1,1
8,103,125,-178.619,0,255,0,0,100,1,1
9,274,490,177.889,0,255,0,0,100,1,1
10,172,16,150.419,0,255,0,0,100,1,1
11,438,526,118.235,0,255,0,0,100,1,1
12,32,232,-159.437,0,255,0,0,100,1,1
13,34,452,62.2387,0,255,0,0,100,1,1
14,431,470,16,0,255,0,0,100,1,1
15,526,406,-12.0235,0,255,0,0,100,1,1
16,13,164,-112.856,0,255,0,0,100,1,1
17,218,58,-123.305,0,255,0,0,100,1,1
18,98,543,-116.865,0,255,0,0,100,1,1
19,117,436,-60.4289,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,334,143,1
1,93,567,1
2,286,87,1
3,443,387,1
4,357,312,1
5,566,448,1
6,454,195,1
7,181,409,1
8,529,322,1
9,136,370,1
10,434,292,1
11,307,336,1
12,216,570,1
13,74,530,1
14,224,224,1
15,69,222,1
16,237,437,1
17,336,176,1
18,568,158,1
19,229,482,1
20,249,66,1
21,251,346,1
22,23,222,1
23,577,482,1
24,125,451,1
25,182,31,1
26,578,309,1
27,351,517,1
28,149,486,1
29,393,231,1
30,294,514,1
31,325,478,1
32,61,43,1
33,345,225,1
34,279,25,1
35,120,489,1
36,234,286,1
37,111,243,1
38,405,394,1
39,52,526,1
40,42,476,1
41,485,89,1
42,133,23,1
43,161,215,1
44,465,519,1
45,554,525,1
46,581,28,1
47,252,192,1
48,191,89,1
49,207,32,1
50,110,343,1
51,372,177,1
52,27,329,1
53,106,462,1
54,362,458,1
55,489,357,1
56,318,377,1
57,271,509,1
58,282,127,1
59,48,429,1
60,184,134,1
61,551,229,1
62,467,258,1
63,409,345,1
64,384,358,1
65,257,22,1
66,400,300,1
67,85,394,1
68,503,412,1
69,520,253,1
70,47,311,1
71,432,118,1
72,314,112,1
73,313,88,1
74,346,391,1
75,160,32,1
76,448,62,1
77,400,549,1
78,209,447,1
79,193,370,1
80,23,499,1
81,307,142,1
82,476,110,0
83,439,445,1
84,133,205,1
85,268,428,1
86,328,328,1
87,140,419,1
88,186,575,1
89,251,231,1
90,54,257,1
91,527,537,1
92,297,262,1
93,545,348,1
94,134,389,1
95,529,121,1
96,364,492,1
97,380,312,1
98,511,571,1
99,300,185,1
100,384,143,1
101,547,47,1
102,471,164,1
103,523,180,1
104,528,506,1
105,158,247,1
106,404,48,1
107,275,351,1
108,201,316,1
109,486,307,1
110,69,367,1
111,546,550,1
112,303,549,1
113,409,571,1
114,576,563,1
115,33,57,1
116,262,390,1
117,451,573,1
118,111,558,1
119,155,378,1
120,80,54,1
121,395,518,1
122,255,266,1
123,85,328,1
124,138,74,1
125,19,109,1
126,393,263,1
127,83,279,1
128,109,516,1
129,381,456,1
130,88,29,1
131,233,177,1
132,177,228,1
133,93,104,1
134,485,545,1
135,572,187,1
136,441,145,1
137,403,78,1
138,206,291,1
139,230,384,1
140,433,24,1
141,304,30,1
142,280,209,1
143,24,189,1
144,421,214,1
145,505,304,1
146,179,264,1
147,116,50,1
148,522,383,1
149,306,49,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
