### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,229,144,59.0579,0,255,0,0,100,1,1
1,128,382,-102.064,0,255,0,0,100,1,1
2,107,467,-7.25208,0,255,0,0,100,1,1
3,548,341,45.3122,0,255,0,0,100,1,1
4,177,103,-95.1335,0,255,0,0,100,1,1
5,552,159,-168.846,0,255,0,0,100,1,1
6,256,388,61.1547,0,255,0,0,100,1,1
7,374,98,-105.67,0,255,0,0,100,1,1
8,459,23,-62.1547,0,255,0,0,100,1,1
9,9,106,-156.428,0,255,0,0,100,1,1
10,33,473,-80.7411,0,255,0,0,100,1,1
11,186,51,1.92985,0,255,0,0,100,1,1
12,403,210,109.141,0,255,0,0,100,1,1
13,493,72,-162.24,0,255,0,0,100,1,1
14,292,22,-141.053,0,255,0,0,100,1,1
15,388,23,41.4763,0,255,0,0,100,1,1
16,201,40,26.6672,0,255,0,0,100,1,1
17,359,293,28.8446,0,255,0,0,100,1,1
18,368,506,-145.705,0,255,0,0,100,1,1
19,234,494,91.157,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,514,452,1
1,167,103,1
2,206,59,1
3,541,65,1
4,476,424,1
5,38,326,1
6,241,485,1
7,394,424,1
8,441,476,1
9,130,237,1
10,197,325,1
11,435,270,1
12,64,535,1
13,254,573,1
14,157,198,1
15,75,74,1
16,73,21,1
17,337,357,1
18,530,145,1
19,183,365,1
20,330,97,1
21,293,261,1
22,486,247,1
23,323,458,1
24,132,359,1
25,248,21,1
26,521,30,1
27,470,191,1
28,89,546,1
29,426,496,1
30,230,205,1
31,33,99,1
32,64,200,1
33,31,515,1
34,47,462,1
35,489,209,1
36,288,358,1
37,118,407,1
38,55,127,1
39,176,309,1
40,281,36,1
41,405,336,1
42,477,139,1
43,409,30,1
44,79,104,1
45,264,404,1
46,55,261,1
47,432,549,1
48,321,31,1
49,351,484,1
50,343,163,1
51,522,59,1
52,289,236,1
53,427,523,1
54,256,429,1
55,87,504,1
56,513,268,1
57,299,509,1
58,60,232,1
59,291,489,1
60,211,423,1
61,140,513,1
62,363,231,1
63,152,469,1
64,422,130,1
65,130,191,1
66,382,575,1
67,216,389,1
68,532,511,1
69,311,378,1
70,51,158,1
71,510,391,1
72,559,273,1
73,111,306,1
74,127,171,1
75,79,416,1
76,378,314,1
77,238,272,1
78,120,36,1
79,104,68,1
80,208,367,1
81,301,333,1
82,578,109,1
83,575,518,1
84,433,303,1
85,385,50,1
86,143,105,1
87,157,369,1
88,290,459,1
89,345,293,1
90,227,178,1
91,204,117,1
92,230,531,1
93,408,164,1
94,517,201,1
95,264,116,1
96,324,258,1
97,159,58,1
98,417,75,1
99,558,489,1
100,242,330,1
101,568,254,1
102,416,424,1
103,36,398,1
104,474,363,1
105,579,338,1
106,561,182,1
107,529,235,1
108,392,541,1
109,374,252,1
110,437,28,1
111,275,433,1
112,138,75,1
113,380,470,1
114,370,111,1
115,366,273,1
116,351,459,1
117,169,342,1
118,249,506,1
119,561,230,1
120,476,531,1
121,104,435,1
122,217,246,1
123,303,207,1
124,372,408,1
125,189,151,1
126,174,267,1
127,45,186,1
128,409,274,1
129,229,40,1
130,172,423,1
131,183,464,1
132,460,483,1
133,106,279,1
134,472,118,1
135,401,307,1
136,315,552,1
137,86,172,1
138,155,123,1
139,414,360,1
140,463,227,1
141,172,496,1
142,337,227,1
143,418,394,1
144,455,282,1
145,154,433,1
146,517,364,1
147,63,486,1
148,533,386,1
149,218,327,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
