### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,17,20,110.402,0,255,0,0,100,1,1
1,416,417,-140.773,0,255,0,0,100,1,1
2,564,242,37.0896,0,255,0,0,100,1,1
3,522,536,-30.6778,0,255,0,0,100,1,1
4,293,319,39.0486,0,255,0,0,100,1,1
5,416,563,-79.8861,0,255,0,0,100,1,1
6,557,38,163.327,0,255,0,0,100,1,1
7,30,527,18.3158,0,255,0,0,100,1,1
8,197,137,-17.4923,0,255,0,0,100,1,1
9,423,487,-42.0992,0,255,0,0,100,1,1
10,228,306,-86.1204,0,255,0,0,100,1,1
11,571,316,-57.4341,0,255,0,0,100,1,1
12,450,446,169.588,0,255,0,0,100,1,1
13,114,474,-100.993,0,255,0,0,100,1,1
14,136,137,-138.228,0,255,0,0,100,1,1
15,177,280,-103.129,0,255,0,0,100,1,1
16,99,73,-24.1854,0,255,0,0,100,1,1
17,118,529,145.853,0,255,0,0,100,1,1
18,411,542,92.5752,0,255,0,0,100,1,1
19,246,170,122.311,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,303,574,1
1,227,156,1
2,550,465,1
3,500,365,1
4,542,409,1
5,235,56,1
6,483,483,1
7,246,233,1
8,307,53,1
9,273,422,1
10,97,528,1
11,368,152,1
12,286,236,1
13,388,131,1
14,413,249,1
15,575,350,1
16,451,393,1
17,289,528,1
18,118,62,1
19,36,255,1
20,245,122,1
21,463,254,1
22,360,219,1
23,318,396,1
24,18,123,1
25,199,318,1
26,212,433,1
27,334,352,1
28,185,556,1
29,448,188,1
30,423,36,1
31,560,368,1
32,567,417,1
33,66,371,1
34,571,80,1
35,211,253,1
36,41,518,1
37,252,88,1
38,384,295,1
39,483,413,1
40,79,101,1
41,510,484,1
42,377,317,1
43,496,41,1
44,287,375,1
45,424,448,1
46,397,204,1
47,443,423,1
48,304,472,1
49,110,307,1
50,555,130,1
51,527,386,1
52,410,90,1
53,533,526,1
54,179,66,1
55,267,254,1
56,214,480,1
57,50,171,1
58,62,559,1
59,56,223,1
60,434,92,1
61,47,321,1
62,574,496,1
63,149,365,1
64,561,548,1
65,375,60,1
66,118,120,1
67,366,111,1
68,239,178,1
69,480,89,1
70,339,270,1
71,447,28,1
72,106,472,1
73,339,523,1
74,357,443,1
75,498,505,1
76,148,336,1
77,134,29,1
78,288,354,1
79,388,474,1
80,147,231,1
81,548,69,1
82,426,137,1
83,493,263,1
84,165,282,1
85,373,188,1
86,114,446,1
87,125,503,1
88,575,576,1
89,547,48,1
90,32,85,1
91,96,274,1
92,360,565,1
93,92,494,1
94,531,470,1
95,65,139,1
96,268,392,1
97,195,46,1
98,197,342,1
99,363,259,1
100,387,385,1
101,208,573,1
102,94,416,1
103,285,327,1
104,22,425,1
105,333,45,1
106,486,307,1
107,515,517,1
108,162,557,1
109,318,230,1
110,52,21,1
111,398,422,1
112,399,536,1
113,296,423,1
114,492,439,1
115,201,85,1
116,101,376,1
117,405,115,1
118,98,334,1
119,144,405,1
120,429,365,1
121,518,250,1
122,547,97,1
123,454,320,1
124,136,106,1
125,337,490,1
126,482,228,1
127,282,61,1
128,282,303,1
129,465,506,1
130,39,487,1
131,317,161,1
132,228,577,1
133,165,93,1
134,225,275,1
135,45,64,1
136,468,356,1
137,397,509,1
138,276,161,1
139,124,162,1
140,449,477,1
141,512,107,1
142,272,80,1
143,353,298,1
144,307,328,1
145,189,142,1
146,521,133,1
147,322,120,1
148,85,180,1
149,220,296,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
