### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,16,18,-178.759,0,255,0,0,100,1,1
1,416,419,139.364,0,255,0,0,100,1,1
2,482,198,-66.9435,0,255,0,0,100,1,1
3,409,144,-179.911,0,255,0,0,100,1,1
4,379,321,167.35,0,255,0,0,100,1,1
5,103,86,-99.8446,0,255,0,0,100,1,1
6,32,180,-78.6108,0,255,0,0,100,1,1
7,92,15,82.1837,0,255,0,0,100,1,1
8,507,341,-5.15342,0,255,0,0,100,1,1
9,25,166,101.696,0,255,0,0,100,1,1
10,160,36,58.2392,0,255,0,0,100,1,1
11,456,108,151.312,0,255,0,0,100,1,1
12,179,394,-87.8205,0,255,0,0,100,1,1
13,93,98,38.5472,0,255,0,0,100,1,1
14,450,20,18.9893,0,255,0,0,100,1,1
15,374,18,88.7243,0,255,0,0,100,1,1
16,563,183,175.774,0,255,0,0,100,1,1
17,574,506,-134.788,0,255,0,0,100,1,1
18,141,192,-96.0531,0,255,0,0,100,1,1
19,505,321,119.214,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,232,326,1
1,209,283,1
2,306,416,1
3,157,158,1
4,45,398,1
5,318,270,1
6,442,243,1
7,362,461,1
8,476,40,1
9,130,139,1
10,393,74,1
11,284,158,1
12,304,94,1
13,73,535,1
14,536,297,1
15,79,94,1
16,550,567,1
17,55,192,1
18,211,482,1
19,318,122,1
20,458,223,1
21,226,567,1
22,419,226,1
23,241,24,1
24,372,442,1
25,200,352,1
26,166,425,1
27,263,565,1
28,132,327,1
29,436,397,1
30,86,476,1
31,218,150,1
32,31,485,1
33,135,412,1
34,186,332,1
35,182,289,1
36,264,271,1
37,54,109,1
38,119,182,1
39,218,416,1
40,444,456,1
41,81,376,1
42,41,47,1
43,42,433,1
44,280,207,1
45,149,545,1
46,514,466,1
47,504,87,1
48,131,515,1
49,518,218,1
50,180,554,1
51,430,561,1
52,175,136,1
53,344,151,1
54,23,282,1
55,210,67,1
56,167,258,1
57,108,411,1
58,107,252,1
59,528,148,1
60,313,483,1
61,467,241,1
62,386,515,1
63,24,93,1
64,532,234,1
65,35,152,1
66,257,416,1
67,341,29,1
68,360,170,1
69,437,273,1
70,550,203,1
71,337,420,1
72,150,361,1
73,277,549,1
74,357,485,1
75,130,488,1
76,47,22,1
77,226,456,1
78,348,49,1
79,190,112,1
80,578,456,1
81,398,176,1
82,454,491,1
83,187,23,1
84,278,493,1
85,526,127,1
86,476,326,1
87,403,503,1
88,470,408,1
89,352,333,1
90,522,346,1
91,573,30,1
92,252,379,1
93,281,307,1
94,192,207,1
95,561,47,1
96,94,517,1
97,151,576,1
98,65,31,1
99,489,458,1
100,21,175,0
101,30,195,1
102,383,376,1
103,571,198,1
104,293,184,1
105,465,63,1
106,313,32,1
107,218,516,1
108,540,33,1
109,72,558,1
110,443,129,1
111,409,349,1
112,534,395,1
113,406,403,1
114,479,189,1
115,227,225,1
116,376,538,1
117,49,66,1
118,571,398,1
119,249,513,1
120,559,349,1
121,492,272,1
122,190,501,1
123,495,306,1
124,122,68,1
125,344,562,1
126,385,147,1
127,164,185,1
128,224,386,1
129,342,352,1
130,248,258,1
131,565,226,1
132,145,32,1
133,561,504,1
134,162,404,1
135,330,327,1
136,160,450,1
137,526,88,1
138,415,45,1
139,394,561,1
140,307,547,1
141,63,444,1
142,246,152,1
143,20,545,1
144,483,83,1
145,424,132,1
146,570,428,1
147,56,227,1
148,238,46,1
149,155,84,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
