### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,554,115,-45.5537,0,255,0,0,100,1,1
1,477,419,-55.6369,0,255,0,0,100,1,1
2,430,141,-69.9388,0,255,0,0,100,1,1
3,85,87,-42.7525,0,255,0,0,100,1,1
4,345,116,-151.412,0,255,0,0,100,1,1
5,574,152,-28.7111,0,255,0,0,100,1,1
6,71,114,32.1008,0,255,0,0,100,1,1
7,445,22,-121.513,0,255,0,0,100,1,1
8,562,457,76.7291,0,255,0,0,100,1,1
9,374,317,-142.658,0,255,0,0,100,1,1
10,44,274,-79.9641,0,255,0,0,100,1,1
11,443,303,11.8584,0,255,0,0,100,1,1
12,35,424,51.7642,0,255,0,0,100,1,1
13,291,49,-116.535,0,255,0,0,100,1,1
14,48,431,110.44,0,255,0,0,100,1,1
15,278,439,-14.8598,0,255,0,0,100,1,1
16,28,255,-154.57,0,255,0,0,100,1,1
17,199,310,-11.7511,0,255,0,0,100,1,1
18,582,85,-44.3504,0,255,0,0,100,1,1
19,414,225,-42.323,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,237,253,1
1,292,462,1
2,78,34,1
3,310,53,1
4,358,296,1
5,363,390,1
6,383,535,1
7,208,168,1
8,274,491,1
9,299,178,1
10,528,113,1
11,48,463,1
12,114,291,1
13,450,494,1
14,324,529,1
15,241,467,1
16,40,197,1
17,212,422,1
18,136,28,1
19,152,446,1
20,228,218,1
21,280,44,1
22,32,377,1
23,257,300,1
24,403,438,1
25,391,248,1
26,59,574,1
27,430,320,1
28,45,85,1
29,37,534,1
30,545,484,1
31,86,486,1
32,192,360,1
33,380,55,1
34,21,203,1
35,26,577,1
36,559,170,1
37,581,547,1
38,455,71,1
39,570,314,1
40,161,48,1
41,323,73,1
42,198,59,1
43,317,424,1
44,294,506,1
45,344,230,1
46,76,151,1
47,160,255,1
48,411,299,1
49,477,379,1
50,86,453,1
51,113,483,1
52,240,44,1
53,231,412,1
54,69,263,1
55,350,143,1
56,227,573,1
57,205,271,1
58,476,305,1
59,152,413,1
60,483,150,1
61,343,498,1
62,167,161,1
63,170,314,1
64,175,532,1
65,270,274,1
66,489,98,1
67,19,483,1
68,217,45,1
69,74,401,1
70,326,472,1
71,564,500,1
72,113,319,1
73,272,576,1
74,208,572,1
75,166,125,1
76,446,383,1
77,253,509,1
78,497,411,1
79,448,337,1
80,320,222,1
81,73,332,1
82,462,533,1
83,578,483,1
84,342,314,1
85,457,148,1
86,159,335,1
87,209,128,1
88,214,201,1
89,22,150,1
90,508,246,1
91,161,547,1
92,129,101,1
93,520,510,1
94,433,43,1
95,577,276,1
96,570,370,1
97,141,390,1
98,530,346,1
99,39,129,1
100,60,422,1
101,156,485,1
102,253,393,1
103,229,72,1
104,572,117,1
105,516,165,1
106,482,256,1
107,424,255,1
108,549,111,0
109,555,330,1
110,218,546,1
111,355,550,1
112,537,168,1
113,32,299,1
114,567,411,1
115,480,74,1
116,558,147,1
117,119,151,1
118,79,64,1
119,353,109,1
120,245,164,1
121,126,426,1
122,94,250,1
123,513,432,1
124,112,535,1
125,29,415,1
126,36,170,1
127,222,111,1
128,154,366,1
129,478,356,1
130,402,538,1
131,480,200,1
132,186,466,1
133,76,309,1
134,531,459,1
135,167,190,1
136,385,273,1
137,423,438,1
138,518,131,1
139,61,362,1
140,385,115,1
141,456,440,1
142,515,35,1
143,45,323,1
144,402,519,1
145,83,124,1
146,317,107,1
147,140,174,1
148,262,104,1
149,384,186,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
