### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,88,208,12.1832,0,255,0,0,100,1,1
1,51,487,155.99,0,255,0,0,100,1,1
2,388,429,69.1148,0,255,0,0,100,1,1
3,304,70,94.9386,0,255,0,0,100,1,1
4,96,551,106.786,0,255,0,0,100,1,1
5,226,164,14.4886,0,255,0,0,100,1,1
6,242,194,-80.0061,0,255,0,0,100,1,1
7,242,136,162.203,0,255,0,0,100,1,1
8,227,230,-163.253,0,255,0,0,100,1,1
9,172,93,6.15841,0,255,0,0,100,1,1
10,451,392,28.1428,0,255,0,0,100,1,1
11,361,497,46.7303,0,255,0,0,100,1,1
12,113,124,-116.149,0,255,0,0,100,1,1
13,64,234,-63.8234,0,255,0,0,100,1,1
14,106,360,-13.7785,0,255,0,0,100,1,1
15,161,149,125.94,0,255,0,0,100,1,1
16,440,93,97.4413,0,255,0,0,100,1,1
17,183,365,-47.9594,0,255,0,0,100,1,1
18,277,582,68.2388,0,255,0,0,100,1,1
19,507,238,-126.323,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,49,540,1
1,246,155,1
2,222,241,1
3,101,43,1
4,268,389,1
5,242,103,1
6,346,412,1
7,462,380,1
8,388,525,1
9,399,296,1
10,267,122,1
11,349,32,1
12,216,392,1
13,328,429,1
14,521,385,1
15,224,213,1
16,403,196,1
17,391,413,1
18,28,112,1
19,173,214,1
20,314,272,1
21,41,68,1
22,532,149,1
23,513,478,1
24,503,501,1
25,199,462,1
26,484,67,1
27,75,264,1
28,81,87,1
29,326,104,1
30,141,311,1
31,505,118,1
32,118,331,1
33,544,246,1
34,224,320,1
35,278,52,1
36,485,414,1
37,102,123,1
38,170,43,1
39,225,278,1
40,170,331,1
41,499,399,1
42,160,78,1
43,84,338,1
44,49,175,1
45,241,389,1
46,250,537,1
47,478,339,1
48,218,77,1
49,577,68,1
50,67,405,1
51,531,425,1
52,295,372,1
53,161,174,1
54,183,435,1
55,245,481,1
56,180,552,1
57,103,192,1
58,545,500,1
59,160,520,1
60,303,218,1
61,330,330,1
62,321,473,1
63,184,59,1
64,352,203,1
65,565,505,1
66,451,478,1
67,363,222,1
68,548,108,1
69,49,350,1
70,243,424,1
71,259,308,1
72,137,50,1
73,389,123,1
74,440,238,1
75,473,318,1
76,512,314,1
77,447,168,1
78,389,86,1
79,84,143,1
80,537,282,1
81,149,275,1
82,361,570,1
83,249,577,1
84,121,237,1
85,23,375,1
86,264,185,1
87,270,528,1
88,77,498,1
89,143,442,1
90,38,268,1
91,300,155,1
92,38,89,1
93,380,370,1
94,515,363,1
95,397,383,1
96,419,281,1
97,174,24,1
98,269,87,1
99,314,121,1
100,127,123,1
101,521,226,1
102,498,31,1
103,323,378,1
104,283,305,1
105,34,230,1
106,297,502,1
107,141,221,1
108,142,187,1
109,463,269,1
110,201,101,1
111,93,434,1
112,524,337,1
113,171,369,1
114,176,394,1
115,474,170,1
116,408,229,1
117,224,492,1
118,236,60,1
119,447,353,1
120,410,29,1
121,362,186,1
122,351,277,1
123,414,347,1
124,337,568,1
125,296,438,1
126,579,431,1
127,380,32,1
128,299,573,1
129,121,539,1
130,503,425,1
131,548,21,1
132,352,74,1
133,526,565,1
134,110,94,1
135,307,85,1
136,504,143,1
137,392,487,1
138,240,461,1
139,128,103,1
140,172,103,0
141,568,577,1
142,318,557,1
143,279,272,1
144,331,77,1
145,272,480,1
146,457,34,1
147,259,511,1
148,268,418,1
149,117,275,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
