### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,569,399,167.007,0,255,0,0,100,1,1
1,536,358,-57.2769,0,255,0,0,100,1,1
2,515,413,-69.4212,0,255,0,0,100,1,1
3,150,188,92.2424,0,255,0,0,100,1,1
4,12,552,-22.6342,0,255,0,0,100,1,1
5,173,427,154.663,0,255,0,0,100,1,1
6,91,255,1.32112,0,255,0,0,100,1,1
7,182,518,-110.208,0,255,0,0,100,1,1
8,293,539,23.6366,0,255,0,0,100,1,1
9,426,579,158.624,0,255,0,0,100,1,1
10,332,70,129.523,0,255,0,0,100,1,1
11,325,468,2.23199,0,255,0,0,100,1,1
12,553,399,131.751,0,255,0,0,100,1,1
13,69,182,-32.0254,0,255,0,0,100,1,1
14,356,154,-84.882,0,255,0,0,100,1,1
15,24,575,-122.789,0,255,0,0,100,1,1
16,242,66,5.78259,0,255,0,0,100,1,1
17,425,372,157.964,0,255,0,0,100,1,1
18,327,402,-71.8424,0,255,0,0,100,1,1
19,398,277,34.8155,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,114,73,1
1,572,50,1
2,547,23,1
3,68,568,1
4,559,520,1
5,72,292,1
6,33,229,1
7,503,148,1
8,215,573,1
9,421,432,1
10,200,426,1
11,223,74,1
12,374,559,1
13,351,242,1
14,53,333,1
15,200,273,1
16,446,250,1
17,111,228,1
18,46,430,1
19,466,241,1
20,507,172,1
21,408,191,1
22,337,195,1
23,539,154,1
24,190,236,1
25,321,90,1
26,557,370,1
27,221,211,1
28,110,561,1
29,415,172,1
30,574,565,1
31,538,104,1
32,492,563,1
33,43,313,1
34,412,275,1
35,124,411,1
36,88,71,1
37,38,158,1
38,521,555,1
39,215,352,1
40,550,410,1
41,163,264,1
42,128,446,1
43,359,384,1
44,250,148,1
45,347,577,1
46,486,211,1
47,280,200,1
48,395,391,1
49,578,185,1
50,417,252,1
51,198,520,1
52,58,517,1
53,501,370,1
54,251,47,1
55,510,193,1
56,519,287,1
57,227,502,1
58,581,128,1
59,241,205,1
60,310,185,1
61,430,412,1
62,391,487,1
63,474,459,1
64,543,46,1
65,267,71,1
66,195,546,1
67,292,64,1
68,28,568,0
69,490,58,1
70,567,216,1
71,349,88,1
72,44,69,1
73,424,317,1
74,492,514,1
75,205,140,1
76,374,351,1
77,301,464,1
78,324,156,1
79,505,261,1
80,62,539,1
81,111,125,1
82,379,530,1
83,420,27,1
84,386,181,1
85,535,304,1
86,527,519,1
87,343,436,1
88,551,545,1
89,204,183,1
90,148,375,1
91,361,463,1
92,116,305,1
93,134,160,1
94,364,48,1
95,131,504,1
96,65,77,1
97,398,577,1
98,183,375,1
99,501,440,1
100,438,202,1
101,434,349,1
102,441,540,1
103,394,37,1
104,459,400,1
105,394,248,1
106,418,233,1
107,46,363,1
108,324,270,1
109,577,333,1
110,263,429,1
111,557,462,1
112,47,205,1
113,459,97,1
114,251,232,1
115,92,36,1
116,321,416,1
117,73,443,1
118,316,543,1
119,459,336,1
120,25,44,1
121,459,206,1
122,550,341,1
123,182,82,1
124,494,350,1
125,132,527,1
126,103,514,1
127,103,465,1
128,459,315,1
129,244,119,1
130,191,200,1
131,362,295,1
132,23,347,1
133,140,34,1
134,219,550,1
135,288,253,1
136,304,445,1
137,83,138,1
138,99,154,1
139,239,346,1
140,395,339,1
141,103,491,1
142,313,375,1
143,213,443,1
144,169,111,1
145,194,456,1
146,278,146,1
147,288,302,1
148,573,356,1
149,448,466,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
