### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,477,248,-8.86213,0,255,0,0,100,1,1
1,429,528,31.0301,0,255,0,0,100,1,1
2,582,42,48.1186,0,255,0,0,100,1,1
3,19,155,-80.087,0,255,0,0,100,1,1
4,393,431,65.6755,0,255,0,0,100,1,1
5,105,287,-38.1519,0,255,0,0,100,1,1
6,583,96,-32.1468,0,255,0,0,100,1,1
7,450,191,174.548,0,255,0,0,100,1,1
8,64,100,-67.9819,0,255,0,0,100,1,1
9,421,223,141.534,0,255,0,0,100,1,1
10,149,575,46.0753,0,255,0,0,100,1,1
11,517,411,-113.714,0,255,0,0,100,1,1
12,465,176,101.784,0,255,0,0,100,1,1
13,371,133,-113.759,0,255,0,0,100,1,1
14,430,183,28.4005,0,255,0,0,100,1,1
15,568,218,-128.619,0,255,0,0,100,1,1
16,318,82,-4.27082,0,255,0,0,100,1,1
17,196,366,69.588,0,255,0,0,100,1,1
18,104,143,84.0658,0,255,0,0,100,1,1
19,329,113,114.702,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,186,101,1
1,231,191,1
2,335,140,1
3,457,438,1
4,285,163,1
5,143,468,1
6,408,551,1
7,24,172,1
8,428,288,1
9,423,176,1
10,228,72,1
11,288,482,1
12,510,484,1
13,122,298,1
14,199,488,1
15,266,289,1
16,363,53,1
17,200,431,1
18,410,245,1
19,218,366,1
20,349,93,1
21,508,334,1
22,194,550,1
23,579,379,1
24,78,34,1
25,565,49,1
26,148,39,1
27,454,342,1
28,337,319,1
29,110,192,1
30,420,364,1
31,140,499,1
32,74,360,1
33,367,507,1
34,409,466,1
35,517,106,1
36,204,513,1
37,571,196,1
38,266,412,1
39,150,255,1
40,487,37,1
41,416,327,1
42,501,303,1
43,394,276,1
44,477,566,1
45,469,217,1
46,448,126,1
47,375,576,1
48,519,32,1
49,477,458,1
50,398,299,1
51,544,223,1
52,436,229,1
53,512,133,1
54,54,111,1
55,43,440,1
56,86,400,1
57,22,259,1
58,317,163,1
59,551,140,1
60,55,138,1
61,421,484,1
62,245,131,1
63,235,335,1
64,167,114,1
65,81,208,1
66,537,538,1
67,356,298,1
68,134,544,1
69,305,467,1
70,150,163,1
71,573,420,1
72,42,212,1
73,556,452,1
74,133,429,1
75,346,534,1
76,184,264,1
77,310,182,1
78,368,452,1
79,460,411,1
80,527,345,1
81,199,44,1
82,193,334,1
83,25,319,1
84,386,131,1
85,254,213,1
86,65,526,1
87,499,433,1
88,304,342,1
89,23,126,1
90,340,256,1
91,32,342,1
92,138,326,1
93,186,29,1
94,225,138,1
95,319,522,1
96,109,410,1
97,327,194,1
98,170,53,1
99,388,167,1
100,261,362,1
101,436,311,1
102,96,279,1
103,188,356,1
104,39,519,1
105,109,491,1
106,18,492,1
107,71,275,1
108,515,210,1
109,67,476,1
110,367,178,1
111,257,438,1
112,216,568,1
113,425,200,1
114,170,514,1
115,221,272,1
116,325,566,1
117,197,396,1
118,465,359,1
119,440,88,1
120,80,542,1
121,318,370,1
122,366,479,1
123,387,459,1
124,258,483,1
125,213,410,1
126,435,60,1
127,100,349,1
128,173,489,1
129,383,83,1
130,334,478,1
131,481,374,1
132,506,81,1
133,215,103,1
134,383,544,1
135,437,536,0
136,47,564,1
137,566,529,1
138,531,175,1
139,227,159,1
140,78,295,1
141,414,116,1
142,265,144,1
143,383,112,1
144,169,75,1
145,215,303,1
146,569,122,1
147,561,400,1
148,47,188,1
149,387,487,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
