### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,352,199,-165.591,0,255,0,0,100,1,1
1,332,515,72.6882,0,255,0,0,100,1,1
2,267,57,38.8377,0,255,0,0,100,1,1
3,253,256,-57.465,0,255,0,0,100,1,1
4,277,325,-59.8786,0,255,0,0,100,1,1
5,548,429,153.18,0,255,0,0,100,1,1
6,116,282,21.3655,0,255,0,0,100,1,1
7,131,64,-177.316,0,255,0,0,100,1,1
8,298,33,146.778,0,255,0,0,100,1,1
9,461,570,-76.4381,0,255,0,0,100,1,1
10,513,267,-179.63,0,255,0,0,100,1,1
11,134,263,-102.157,0,255,0,0,100,1,1
12,494,53,-162.304,0,255,0,0,100,1,1
13,374,53,-88.297,0,255,0,0,100,1,1
14,409,438,65.166,0,255,0,0,100,1,1
15,279,545,28.8504,0,255,0,0,100,1,1
16,436,33,-92.3237,0,255,0,0,100,1,1
17,455,549,-130.75,0,255,0,0,100,1,1
18,108,235,98.8627,0,255,0,0,100,1,1
19,291,541,19.0524,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,122,207,1
1,552,401,1
2,368,308,1
3,270,126,1
4,102,507,1
5,409,131,1
6,225,524,1
7,176,312,1
8,71,99,1
9,448,265,1
10,111,424,1
11,184,502,1
12,70,308,1
13,414,559,1
14,318,242,1
15,557,103,1
16,537,144,1
17,240,300,1
18,346,432,1
19,282,206,1
20,305,454,1
21,67,386,1
22,251,99,1
23,70,559,1
24,422,77,1
25,499,336,1
26,287,324,1
27,91,313,1
28,376,78,1
29,524,562,1
30,450,235,1
31,172,481,1
32,424,365,1
33,227,359,1
34,136,102,1
35,185,107,1
36,174,137,1
37,308,55,1
38,234,26,1
39,556,364,1
40,370,555,1
41,252,366,1
42,344,382,1
43,43,187,1
44,68,356,1
45,108,151,1
46,574,342,1
47,461,211,1
48,307,131,1
49,366,359,1
50,481,498,1
51,290,380,1
52,491,230,1
53,449,322,1
54,350,183,1
55,288,175,1
56,250,62,1
57,474,192,1
58,338,346,1
59,213,326,1
60,535,514,1
61,555,55,1
62,425,172,1
63,351,68,1
64,136,26,1
65,47,263,1
66,509,63,1
67,317,569,1
68,226,159,1
69,248,242,1
70,402,171,1
71,345,521,1
72,151,431,1
73,35,519,1
74,250,216,1
75,575,425,1
76,425,488,1
77,510,30,1
78,209,81,1
79,415,108,1
80,536,221,1
81,386,47,1
82,442,132,1
83,166,531,1
84,79,408,1
85,288,521,1
86,284,101,1
87,503,394,1
88,101,213,1
89,152,463,1
90,475,414,1
91,291,300,1
92,88,154,1
93,134,136,1
94,289,407,1
95,285,234,1
96,359,477,1
97,324,361,1
98,118,114,1
99,188,243,1
100,310,424,1
101,213,23,1
102,484,393,1
103,451,392,1
104,367,220,1
105,208,60,1
106,236,448,1
107,546,202,1
108,258,162,1
109,139,495,1
110,335,449,1
111,493,529,1
112,344,561,1
113,425,279,1
114,37,295,1
115,331,406,1
116,336,165,1
117,211,217,1
118,435,445,1
119,518,111,1
120,153,326,1
121,159,200,1
122,337,493,1
123,483,251,1
124,229,575,1
125,165,447,1
126,87,112,1
127,552,306,1
128,150,515,1
129,270,549,1
130,452,88,1
131,84,460,1
132,420,225,1
133,268,517,1
134,444,551,1
135,314,484,1
136,180,399,1
137,277,261,1
138,338,44,1
139,386,205,1
140,414,321,1
141,402,510,1
142,532,50,1
143,140,166,1
144,530,315,1
145,377,284,1
146,367,161,1
147,158,269,1
148,409,423,1
149,125,360,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
