### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,133,377,-125.505,0,255,0,0,100,1,1
1,569,315,-73.5787,0,255,0,0,100,1,1
2,79,253,-165.077,0,255,0,0,100,1,1
3,234,577,-173.424,0,255,0,0,100,1,1
4,344,571,135.817,0,255,0,0,100,1,1
5,148,104,3.477,0,255,0,0,100,1,1
6,31,270,-154.887,0,255,0,0,100,1,1
7,419,329,-134.882,0,255,0,0,100,1,1
8,139,529,77.6131,0,255,0,0,100,1,1
9,475,494,-97.191,0,255,0,0,100,1,1
10,141,176,-167.459,0,255,0,0,100,1,1
11,542,500,-38.5161,0,255,0,0,100,1,1
12,584,574,21.5839,0,255,0,0,100,1,1
13,76,291,-169.44,0,255,0,0,100,1,1
14,571,328,34.8068,0,255,0,0,100,1,1
15,32,308,27.9202,0,255,0,0,100,1,1
16,246,532,66.9356,0,255,0,0,100,1,1
17,497,32,123.238,0,255,0,0,100,1,1
18,130,485,-116.243,0,255,0,0,100,1,1
19,105,158,-100.156,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,374,577,1
1,475,577,1
2,381,70,1
3,530,316,1
4,231,382,1
5,411,72,1
6,147,395,1
7,77,490,1
8,113,315,1
9,309,73,1
10,125,576,1
11,467,465,1
12,390,320,1
13,81,312,1
14,416,471,1
15,321,302,1
16,96,404,1
17,351,336,1
18,493,282,1
19,136,23,1
20,306,433,1
21,152,258,1
22,207,566,1
23,266,179,1
24,557,505,1
25,331,422,1
26,222,249,1
27,544,53,1
28,284,417,1
29,568,400,1
30,446,560,1
31,416,437,1
32,512,542,1
33,304,164,1
34,269,24,1
35,388,170,1
36,25,327,1
37,571,379,1
38,445,72,1
39,165,565,1
40,147,48,1
41,138,230,1
42,507,170,1
43,528,157,1
44,249,21,1
45,49,198,1
46,122,468,1
47,345,200,1
48,540,241,1
49,567,549,1
50,298,240,1
51,126,348,1
52,467,493,1
53,129,147,1
54,489,87,1
55,75,94,1
56,231,128,1
57,43,551,1
58,253,568,1
59,328,476,1
60,408,348,1
61,414,24,1
62,269,61,1
63,86,207,1
64,373,123,1
65,366,440,1
66,46,38,1
67,415,324,0
68,488,340,1
69,110,256,1
70,513,438,1
71,338,501,1
72,55,72,1
73,186,174,1
74,151,186,1
75,53,239,1
76,235,92,1
77,19,449,1
78,305,128,1
79,95,332,1
80,567,279,1
81,550,434,1
82,424,560,1
83,537,179,1
84,157,284,1
85,452,519,1
86,558,169,1
87,438,242,1
88,161,150,1
89,302,517,1
90,505,483,1
91,418,503,1
92,313,409,1
93,406,299,1
94,288,470,1
95,459,111,1
96,33,108,1
97,57,304,1
98,509,336,1
99,221,72,1
100,378,222,1
101,108,65,1
102,529,87,1
103,442,94,1
104,188,208,1
105,449,396,1
106,119,293,1
107,334,74,1
108,462,296,1
109,179,72,1
110,194,107,1
111,167,304,1
112,390,500,1
113,194,239,1
114,424,107,1
115,411,187,1
116,42,489,1
117,254,304,1
118,205,467,1
119,291,569,1
120,517,465,1
121,383,415,1
122,131,438,1
123,276,523,1
124,330,572,1
125,43,358,1
126,383,373,1
127,200,138,1
128,78,171,1
129,525,275,1
130,429,196,1
131,105,175,1
132,276,350,1
133,343,294,1
134,195,419,1
135,578,503,1
136,184,516,1
137,500,245,1
138,70,350,1
139,109,128,1
140,304,33,1
141,232,187,1
142,378,303,1
143,214,436,1
144,353,108,1
145,242,48,1
146,361,79,1
147,210,223,1
148,580,252,1
149,376,27,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
