### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,113,72,-35.937,0,255,0,0,100,1,1
1,322,554,-72.8497,0,255,0,0,100,1,1
2,319,393,120.052,0,255,0,0,100,1,1
3,102,469,-128.064,0,255,0,0,100,1,1
4,139,40,38.733,0,255,0,0,100,1,1
5,423,301,-64.5036,0,255,0,0,100,1,1
6,399,296,-9.35441,0,255,0,0,100,1,1
7,53,321,-99.928,0,255,0,0,100,1,1
8,194,299,-12.5131,0,255,0,0,100,1,1
9,184,314,41.0093,0,255,0,0,100,1,1
10,551,427,-11.8963,0,255,0,0,100,1,1
11,59,132,-58.1417,0,255,0,0,100,1,1
12,53,75,9.04718,0,255,0,0,100,1,1
13,460,126,-64.7558,0,255,0,0,100,1,1
14,434,340,-81.9228,0,255,0,0,100,1,1
15,96,432,-112.329,0,255,0,0,100,1,1
16,383,87,-172.223,0,255,0,0,100,1,1
17,276,187,66.6701,0,255,0,0,100,1,1
18,403,79,-48.1662,0,255,0,0,100,1,1
19,386,445,112.339,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,68,187,1
1,163,247,1
2,313,261,1
3,56,241,1
4,578,351,1
5,145,371,1
6,67,29,1
7,64,112,1
8,303,500,1
9,98,213,1
10,209,223,1
11,86,354,1
12,98,181,1
13,556,412,1
14,85,270,1
15,418,168,1
16,436,464,1
17,97,387,1
18,131,438,1
19,435,112,1
20,272,40,1
21,29,276,1
22,489,339,1
23,423,215,1
24,553,201,1
25,516,342,1
26,310,27,1
27,340,537,1
28,297,61,1
29,427,352,1
30,327,486,1
31,551,239,1
32,386,164,1
33,55,216,1
34,372,491,1
35,220,517,1
36,21,194,1
37,387,559,1
38,247,435,1
39,406,517,1
40,217,301,1
41,257,263,1
42,363,460,1
43,19,463,1
44,506,178,1
45,189,426,1
46,478,412,1
47,548,559,1
48,41,255,1
49,195,32,1
50,562,85,1
51,400,308,1
52,493,461,1
53,43,439,1
54,158,58,1
55,319,136,1
56,536,299,1
57,297,576,1
58,205,341,1
59,268,362,1
60,137,153,1
61,135,78,1
62,354,420,1
63,481,152,1
64,345,187,1
65,377,128,1
66,88,418,1
67,480,306,1
68,116,470,1
69,489,191,1
70,170,288,1
71,198,555,1
72,79,572,1
73,68,389,1
74,235,187,1
75,296,466,1
76,533,223,1
77,257,489,1
78,514,156,1
79,454,175,1
80,281,220,1
81,174,46,1
82,503,382,1
83,144,475,1
84,185,80,1
85,77,86,1
86,427,253,1
87,119,273,1
88,390,81,0
89,540,450,1
90,481,384,1
91,38,569,1
92,285,78,1
93,86,515,1
94,183,172,1
95,394,391,1
96,384,255,1
97,494,278,1
98,434,386,1
99,156,329,1
100,271,101,1
101,572,278,1
102,317,373,1
103,519,367,1
104,580,50,1
105,362,440,1
106,490,529,1
107,296,198,1
108,100,300,1
109,332,406,1
110,293,268,1
111,247,50,1
112,135,27,1
113,404,138,1
114,434,39,1
115,241,206,1
116,544,175,1
117,454,313,1
118,395,534,1
119,523,278,1
120,143,567,1
121,385,200,1
122,287,394,1
123,366,176,1
124,534,74,1
125,464,480,1
126,349,216,1
127,563,184,1
128,19,61,1
129,211,50,1
130,530,532,1
131,325,435,1
132,283,117,1
133,236,21,1
134,574,452,1
135,283,239,1
136,104,75,1
137,199,159,1
138,217,75,1
139,209,494,1
140,525,558,1
141,302,429,1
142,177,384,1
143,148,529,1
144,37,420,1
145,447,237,1
146,76,336,1
147,518,420,1
148,126,505,1
149,356,245,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
