### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,396,-97.552,0,255,0,0,100,1,1
1,725,424,22.5991,0,255,0,0,100,1,1
2,749,450,55.1932,0,255,0,0,100,1,1
3,774,471,-57.9692,0,255,0,0,100,1,1
4,796,499,152.562,0,255,0,0,100,1,1
5,822,521,-122.6,0,255,0,0,100,1,1
6,846,547,-160.998,0,255,0,0,100,1,1
7,873,575,86.0656,0,255,0,0,100,1,1
8,900,597,-40.6315,0,255,0,0,100,1,1
9,924,621,-55.3636,0,255,0,0,100,1,1
10,943,120,-35.1522,0,255,0,0,100,1,1
11,946,647,179.497,0,255,0,0,100,1,1
12,177,44,-77.2002,0,255,0,0,100,1,1
13,248,461,-84.7181,0,255,0,0,100,1,1
14,1186,482,151.614,0,255,0,0,100,1,1
15,44,350,-172.403,0,255,0,0,100,1,1
16,397,75,176.903,0,255,0,0,100,1,1
17,811,348,10.668,0,255,0,0,100,1,1
18,1243,520,-128.816,0,255,0,0,100,1,1
19,305,233,133.75,0,255,0,0,100,1,1
20,1246,114,-6.33365,0,255,0,0,100,1,1
21,864,473,14.7414,0,255,0,0,100,1,1
22,445,418,67.9127,0,255,0,0,100,1,1
23,656,661,-82.6556,0,255,0,0,100,1,1
24,253,739,-77.7329,0,255,0,0,100,1,1
25,756,177,-159.282,0,255,0,0,100,1,1
26,872,583,42.3888,0,255,0,0,100,1,1
27,121,606,148.242,0,255,0,0,100,1,1
28,321,262,97.1984,0,255,0,0,100,1,1
29,587,412,109.999,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,316,569,1
1,329,606,1
2,647,66,1
3,570,632,1
4,575,456,1
5,212,25,1
6,1155,767,1
7,573,766,1
8,349,540,1
9,86,195,1
10,36,700,1
11,895,330,1
12,346,361,1
13,639,23,1
14,1156,697,1
15,1233,495,1
16,132,624,1
17,451,532,1
18,1287,177,1
19,600,348,1
20,1307,637,1
21,862,646,1
22,109,558,1
23,195,253,1
24,47,95,1
25,757,465,1
26,1365,323,1
27,1209,362,1
28,443,266,1
29,335,753,1
30,1236,550,1
31,95,690,1
32,787,435,1
33,814,215,1
34,374,323,1
35,917,560,1
36,529,325,1
37,1161,376,1
38,1271,274,1
39,1345,724,1
40,1125,332,1
41,749,577,1
42,401,430,1
43,360,385,1
44,104,669,1
45,791,593,1
46,778,171,1
47,60,498,1
48,386,481,1
49,1148,395,1
50,730,398,1
51,1305,161,1
52,1146,223,1
53,106,145,1
54,551,315,1
55,608,287,1
56,438,172,1
57,583,158,1
58,1023,303,1
59,37,334,1
60,1329,523,1
61,39,172,1
62,528,113,1
63,473,715,1
64,110,233,1
65,627,126,1
66,321,274,1
67,34,404,1
68,438,53,1
69,826,125,1
70,617,479,1
71,599,131,1
72,782,318,1
73,1133,409,1
74,342,647,1
75,416,551,1
76,1006,679,1
77,846,623,1
78,985,290,1
79,1146,245,1
80,513,168,1
81,814,642,1
82,1117,104,1
83,458,560,1
84,910,82,1
85,726,305,1
86,647,669,1
87,389,36,1
88,492,665,1
89,477,41,1
90,896,188,1
91,835,550,1
92,187,334,1
93,291,392,1
94,628,85,1
95,283,742,1
96,68,538,1
97,652,359,1
98,364,203,1
99,134,563,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
