### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,400,103.769,0,255,0,0,100,1,1
1,725,424,31.9724,0,255,0,0,100,1,1
2,954,575,-95.9031,0,255,0,0,100,1,1
3,296,756,49.2499,0,255,0,0,100,1,1
4,943,640,167.634,0,255,0,0,100,1,1
5,1109,47,-14.0219,0,255,0,0,100,1,1
6,1100,511,-97.6595,0,255,0,0,100,1,1
7,679,614,-157.005,0,255,0,0,100,1,1
8,1265,648,-155.662,0,255,0,0,100,1,1
9,431,166,-138.642,0,255,0,0,100,1,1
10,1074,670,-42.1791,0,255,0,0,100,1,1
11,1278,329,83.8582,0,255,0,0,100,1,1
12,909,222,-122.98,0,255,0,0,100,1,1
13,748,603,151.401,0,255,0,0,100,1,1
14,1234,216,-136.918,0,255,0,0,100,1,1
15,265,627,94.5826,0,255,0,0,100,1,1
16,1059,765,32.6462,0,255,0,0,100,1,1
17,103,278,105.708,0,255,0,0,100,1,1
18,1052,679,-110.767,0,255,0,0,100,1,1
19,288,445,127.916,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,480,400,1
1,397,509,1
2,342,633,1
3,170,257,1
4,884,154,1
5,292,664,1
6,354,90,1
7,34,209,1
8,30,590,1
9,1092,582,1
10,780,577,1
11,248,147,1
12,118,752,1
13,236,233,1
14,31,615,1
15,591,516,1
16,151,732,1
17,655,415,1
18,1367,360,1
19,617,734,1
20,445,502,1
21,520,515,1
22,793,552,1
23,452,653,1
24,1005,535,1
25,264,467,1
26,724,409,1
27,395,375,1
28,1087,516,1
29,1366,89,1
30,104,175,1
31,333,70,1
32,60,699,1
33,730,751,1
34,735,520,1
35,506,558,1
36,683,579,1
37,132,608,1
38,1044,330,1
39,631,567,1
40,690,130,1
41,918,188,1
42,513,109,1
43,1090,180,1
44,1206,738,1
45,307,213,1
46,952,496,1
47,1339,72,1
48,157,379,1
49,1207,109,1
50,327,759,1
51,949,631,1
52,1158,639,1
53,595,602,1
54,838,719,1
55,69,304,1
56,1168,732,1
57,213,759,1
58,223,323,1
59,1087,727,1
60,794,405,1
61,1105,122,1
62,116,422,1
63,937,553,1
64,1342,608,1
65,281,331,1
66,1122,244,1
67,1192,39,1
68,149,539,1
69,180,514,1
70,1280,35,1
71,213,367,1
72,361,740,1
73,681,301,1
74,204,333,1
75,96,659,1
76,233,574,1
77,720,251,1
78,824,573,1
79,127,509,1
80,983,143,1
81,600,283,1
82,1243,376,1
83,875,178,1
84,979,737,1
85,516,634,1
86,831,479,1
87,1263,62,1
88,909,550,1
89,884,466,1
90,1223,374,1
91,610,446,1
92,1199,335,1
93,448,352,1
94,861,349,1
95,842,394,1
96,357,523,1
97,573,147,1
98,1273,478,1
99,717,207,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
