### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,696,399,151.808,0,255,0,0,100,1,1
1,721,423,170.442,0,255,0,0,100,1,1
2,1348,364,119.47,0,255,0,0,100,1,1
3,1053,473,51.0473,0,255,0,0,100,1,1
4,646,201,18.0223,0,255,0,0,100,1,1
5,981,482,159.759,0,255,0,0,100,1,1
6,63,771,-17.9428,0,255,0,0,100,1,1
7,895,520,-12.5962,0,255,0,0,100,1,1
8,359,56,1.57546,0,255,0,0,100,1,1
9,717,63,-49.626,0,255,0,0,100,1,1
10,556,762,-130.114,0,255,0,0,100,1,1
11,456,638,-151.107,0,255,0,0,100,1,1
12,181,513,169.07,0,255,0,0,100,1,1
13,204,446,11.1211,0,255,0,0,100,1,1
14,1314,433,-84.4671,0,255,0,0,100,1,1
15,243,556,75.6012,0,255,0,0,100,1,1
16,1052,212,-32.0968,0,255,0,0,100,1,1
17,899,689,-145.974,0,255,0,0,100,1,1
18,1080,29,-78.801,0,255,0,0,100,1,1
19,260,605,17.5281,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,996,759,1
1,1345,306,1
2,49,373,1
3,311,590,1
4,321,464,1
5,551,591,1
6,726,472,1
7,644,635,1
8,744,27,1
9,719,259,1
10,345,34,1
11,1059,101,1
12,184,665,1
13,598,161,1
14,415,242,1
15,68,641,1
16,609,233,1
17,1185,577,1
18,1155,48,1
19,1277,62,1
20,595,756,1
21,1075,668,1
22,380,480,1
23,99,583,1
24,1299,271,1
25,498,241,1
26,193,559,1
27,623,533,1
28,1113,78,1
29,360,280,1
30,301,75,1
31,1332,41,1
32,1046,344,1
33,1015,362,1
34,1349,624,1
35,652,251,1
36,324,758,1
37,807,507,1
38,1307,437,0
39,1201,605,1
40,441,650,1
41,1329,677,1
42,348,258,1
43,900,531,0
44,79,585,1
45,797,73,1
46,187,631,1
47,1273,610,1
48,1154,175,1
49,920,645,1
50,1101,631,1
51,291,423,1
52,884,605,1
53,1351,740,1
54,1225,233,1
55,921,540,1
56,805,340,1
57,791,453,1
58,39,208,1
59,946,60,1
60,461,510,1
61,511,741,1
62,880,155,1
63,416,505,1
64,59,277,1
65,986,703,1
66,653,562,1
67,1140,100,1
68,545,148,1
69,869,657,1
70,437,44,1
71,572,630,1
72,1371,635,1
73,1218,37,1
74,842,576,1
75,356,397,1
76,806,691,1
77,644,363,1
78,576,481,1
79,689,716,1
80,375,428,1
81,1208,357,1
82,1146,469,1
83,843,540,1
84,641,585,1
85,518,372,1
86,1152,714,1
87,797,534,1
88,1293,482,1
89,1164,362,1
90,816,557,1
91,1024,323,1
92,138,231,1
93,1218,425,1
94,1276,148,1
95,1310,175,1
96,1286,211,1
97,399,138,1
98,1358,179,1
99,532,340,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
