### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,699,399,44.6732,0,255,0,0,100,1,1
1,721,422,-145.256,0,255,0,0,100,1,1
2,539,315,126.571,0,255,0,0,100,1,1
3,1061,21,-23.3969,0,255,0,0,100,1,1
4,395,633,139.998,0,255,0,0,100,1,1
5,533,444,25.6122,0,255,0,0,100,1,1
6,941,357,142.984,0,255,0,0,100,1,1
7,1205,610,15.9088,0,255,0,0,100,1,1
8,965,286,-113.658,0,255,0,0,100,1,1
9,788,773,160.995,0,255,0,0,100,1,1
10,1040,90,-85.3698,0,255,0,0,100,1,1
11,578,640,6.33926,0,255,0,0,100,1,1
12,1332,277,-31.2189,0,255,0,0,100,1,1
13,641,58,157.245,0,255,0,0,100,1,1
14,94,389,47.8341,0,255,0,0,100,1,1
15,662,680,-121.659,0,255,0,0,100,1,1
16,755,694,-92.8983,0,255,0,0,100,1,1
17,1305,641,9.09984,0,255,0,0,100,1,1
18,270,481,-89.9688,0,255,0,0,100,1,1
19,166,491,136.81,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1181,184,1
1,673,658,1
2,1117,773,1
3,1110,328,1
4,838,107,1
5,1163,231,1
6,292,538,1
7,1051,413,1
8,583,137,1
9,344,100,1
10,1011,651,1
11,593,612,1
12,1269,392,1
13,293,257,1
14,1071,679,1
15,699,346,1
16,72,222,1
17,1115,650,1
18,740,670,1
19,311,577,1
20,545,696,1
21,180,749,1
22,166,658,1
23,163,377,1
24,162,286,1
25,43,98,1
26,1167,537,1
27,132,114,1
28,810,445,1
29,887,331,1
30,968,66,1
31,147,590,1
32,624,134,1
33,1167,730,1
34,744,46,1
35,1244,229,1
36,767,487,1
37,1146,381,1
38,1270,288,1
39,159,343,1
40,1281,28,1
41,496,701,1
42,449,568,1
43,323,302,1
44,1366,512,1
45,1332,739,1
46,682,120,1
47,1096,281,1
48,873,455,1
49,1079,263,1
50,252,297,1
51,567,430,1
52,350,393,1
53,976,577,1
54,1249,559,1
55,422,224,1
56,720,69,1
57,246,108,1
58,1089,747,1
59,1014,198,1
60,1289,61,1
61,79,562,1
62,374,252,1
63,46,479,1
64,1142,415,1
65,1125,188,1
66,1233,741,1
67,1367,718,1
68,1149,68,1
69,731,409,1
70,837,43,1
71,550,512,1
72,756,235,1
73,1225,384,1
74,1069,98,1
75,1103,536,1
76,410,534,1
77,1343,597,1
78,1367,586,1
79,375,387,1
80,1168,618,1
81,757,724,1
82,176,598,1
83,186,240,1
84,1118,716,1
85,1299,436,1
86,714,43,1
87,29,289,1
88,284,399,1
89,654,169,1
90,1229,437,1
91,489,749,1
92,680,546,1
93,871,734,1
94,1322,132,1
95,1076,449,1
96,819,24,1
97,65,32,1
98,830,530,1
99,789,295,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
