### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,400,112.799,0,255,0,0,100,1,1
1,725,422,-37.8325,0,255,0,0,100,1,1
2,194,702,151.419,0,255,0,0,100,1,1
3,52,308,-73.381,0,255,0,0,100,1,1
4,28,135,47.9643,0,255,0,0,100,1,1
5,371,702,175.5,0,255,0,0,100,1,1
6,64,166,15.9044,0,255,0,0,100,1,1
7,158,335,-57.0406,0,255,0,0,100,1,1
8,1300,291,11.3207,0,255,0,0,100,1,1
9,644,305,-112.783,0,255,0,0,100,1,1
10,906,657,157.706,0,255,0,0,100,1,1
11,1191,188,-95.4066,0,255,0,0,100,1,1
12,465,168,-71.8839,0,255,0,0,100,1,1
13,1340,751,-124.91,0,255,0,0,100,1,1
14,498,620,-127.98,0,255,0,0,100,1,1
15,1019,250,23.9181,0,255,0,0,100,1,1
16,142,74,35.4144,0,255,0,0,100,1,1
17,1325,118,143.177,0,255,0,0,100,1,1
18,821,210,-61.4541,0,255,0,0,100,1,1
19,500,354,172.772,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,479,697,1
1,253,756,1
2,66,588,1
3,636,237,1
4,1057,427,1
5,1333,256,1
6,223,379,1
7,208,145,1
8,506,59,1
9,399,160,1
10,1285,351,1
11,909,480,1
12,507,466,1
13,123,472,1
14,113,496,1
15,1073,44,1
16,906,606,1
17,822,616,1
18,1236,481,1
19,309,512,1
20,1012,402,1
21,759,472,1
22,116,139,1
23,1043,648,1
24,332,471,1
25,286,452,1
26,546,105,1
27,293,713,1
28,73,94,1
29,806,599,1
30,504,545,1
31,389,376,1
32,745,205,1
33,1035,722,1
34,545,409,1
35,641,414,1
36,905,398,1
37,898,422,1
38,197,114,1
39,1257,418,1
40,338,185,1
41,1225,711,1
42,1053,149,1
43,1112,93,1
44,1065,626,1
45,388,493,1
46,1032,204,1
47,455,581,1
48,1365,727,1
49,448,548,1
50,861,344,1
51,484,313,1
52,692,251,1
53,1175,575,1
54,814,162,1
55,343,343,1
56,343,711,1
57,449,213,1
58,868,587,1
59,822,676,1
60,796,450,1
61,426,744,1
62,1283,69,1
63,921,322,1
64,551,483,1
65,1322,41,1
66,35,56,1
67,103,244,1
68,1060,25,1
69,106,175,1
70,1271,684,1
71,738,441,1
72,137,189,1
73,124,224,1
74,140,378,1
75,958,704,1
76,369,341,1
77,150,719,1
78,733,306,1
79,1055,757,1
80,162,669,1
81,1323,508,1
82,828,547,1
83,989,474,1
84,1034,625,1
85,432,269,1
86,474,516,1
87,600,68,1
88,297,398,1
89,306,278,1
90,1340,321,1
91,715,208,1
92,1351,662,1
93,642,461,1
94,785,84,1
95,57,510,1
96,854,118,1
97,860,300,1
98,1010,344,1
99,167,31,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
