### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,398,9.63067,0,255,0,0,100,1,1
1,723,425,83.9984,0,255,0,0,100,1,1
2,1020,376,129.065,0,255,0,0,100,1,1
3,111,624,-174.747,0,255,0,0,100,1,1
4,464,282,101.273,0,255,0,0,100,1,1
5,1291,733,89.0032,0,255,0,0,100,1,1
6,598,666,120.703,0,255,0,0,100,1,1
7,1246,625,-102.856,0,255,0,0,100,1,1
8,752,742,46.4319,0,255,0,0,100,1,1
9,902,629,98.767,0,255,0,0,100,1,1
10,1150,539,27.7942,0,255,0,0,100,1,1
11,1049,560,75.6628,0,255,0,0,100,1,1
12,1354,589,-116.055,0,255,0,0,100,1,1
13,1205,726,-49.2136,0,255,0,0,100,1,1
14,1175,747,-24.7311,0,255,0,0,100,1,1
15,1052,439,-75.2276,0,255,0,0,100,1,1
16,290,751,-89.9919,0,255,0,0,100,1,1
17,643,312,-71.5147,0,255,0,0,100,1,1
18,507,78,161.073,0,255,0,0,100,1,1
19,674,565,-169,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,567,367,1
1,1040,118,1
2,437,624,1
3,1187,305,1
4,1291,150,1
5,473,227,1
6,870,453,1
7,469,453,1
8,743,656,1
9,1130,425,1
10,679,40,1
11,1228,606,1
12,317,75,1
13,350,566,1
14,53,107,1
15,1093,239,1
16,656,344,1
17,308,235,1
18,976,428,1
19,1281,553,1
20,906,595,1
21,864,691,1
22,1073,641,1
23,240,645,1
24,308,697,1
25,500,252,1
26,544,640,1
27,844,609,1
28,1275,608,1
29,515,470,1
30,1364,88,1
31,1338,340,1
32,1113,355,1
33,685,531,1
34,101,67,1
35,1209,61,1
36,853,124,1
37,1083,754,1
38,1208,174,1
39,1056,236,1
40,215,330,1
41,742,479,1
42,346,172,1
43,846,182,1
44,1351,534,1
45,869,245,1
46,1204,608,1
47,501,652,1
48,392,710,1
49,527,531,1
50,528,400,1
51,530,328,1
52,868,355,1
53,671,714,1
54,943,191,1
55,248,276,1
56,1320,519,1
57,225,466,1
58,556,494,1
59,595,258,1
60,177,691,1
61,1348,28,1
62,71,662,1
63,953,398,1
64,245,554,1
65,1339,431,1
66,843,272,1
67,705,452,1
68,186,454,1
69,1264,630,1
70,414,37,1
71,1091,121,1
72,492,542,1
73,1324,116,1
74,488,342,1
75,500,51,1
76,319,665,1
77,774,25,1
78,393,242,1
79,1177,688,1
80,547,760,1
81,114,115,1
82,898,64,1
83,1124,767,1
84,293,285,1
85,622,74,1
86,798,522,1
87,263,610,1
88,1020,431,1
89,754,422,1
90,1018,87,1
91,423,258,1
92,262,669,1
93,1218,385,1
94,654,744,1
95,381,297,1
96,981,619,1
97,1024,134,1
98,537,457,1
99,47,367,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
