### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,696,399,157.802,0,255,0,0,100,1,1
1,723,425,97.0063,0,255,0,0,100,1,1
2,962,539,-167.146,0,255,0,0,100,1,1
3,105,256,151.847,0,255,0,0,100,1,1
4,1311,328,10.9376,0,255,0,0,100,1,1
5,1338,459,-82.63,0,255,0,0,100,1,1
6,599,135,-166.081,0,255,0,0,100,1,1
7,296,540,41.0744,0,255,0,0,100,1,1
8,667,731,47.3333,0,255,0,0,100,1,1
9,816,388,96.3799,0,255,0,0,100,1,1
10,987,448,115.005,0,255,0,0,100,1,1
11,1048,46,61.3245,0,255,0,0,100,1,1
12,1369,458,13.2321,0,255,0,0,100,1,1
13,1057,298,-19.965,0,255,0,0,100,1,1
14,1247,529,64.4058,0,255,0,0,100,1,1
15,597,460,103.892,0,255,0,0,100,1,1
16,903,257,140.108,0,255,0,0,100,1,1
17,1050,337,-60.6408,0,255,0,0,100,1,1
18,933,335,-67.994,0,255,0,0,100,1,1
19,120,263,127.797,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,183,453,1
1,908,429,1
2,821,301,1
3,277,714,1
4,32,664,1
5,1309,712,1
6,1188,25,1
7,869,697,1
8,1271,622,1
9,977,260,1
10,1056,465,1
11,883,579,1
12,654,413,1
13,1161,424,1
14,460,184,1
15,267,79,1
16,68,105,1
17,475,262,1
18,656,167,1
19,1097,481,1
20,1215,755,1
21,1279,671,1
22,765,123,1
23,610,646,1
24,824,517,1
25,329,475,1
26,1158,78,1
27,320,439,1
28,536,171,1
29,1007,644,1
30,470,415,1
31,186,731,1
32,1164,649,1
33,836,102,1
34,864,568,1
35,1332,773,1
36,1358,62,1
37,558,465,1
38,933,170,1
39,1286,105,1
40,726,727,1
41,153,694,1
42,861,284,1
43,304,463,1
44,971,728,1
45,692,174,1
46,828,362,1
47,967,84,1
48,863,370,1
49,347,637,1
50,539,93,1
51,873,768,1
52,600,609,1
53,352,773,1
54,706,264,1
55,479,484,1
56,646,711,1
57,824,64,1
58,724,465,1
59,635,415,1
60,1005,682,1
61,548,735,1
62,766,426,1
63,652,138,1
64,89,622,1
65,726,625,1
66,1306,401,1
67,1013,47,1
68,467,711,1
69,170,496,1
70,1141,105,1
71,981,48,1
72,1162,105,1
73,1312,573,1
74,940,453,1
75,200,37,1
76,589,715,1
77,139,386,1
78,241,747,1
79,1178,681,1
80,257,652,1
81,588,348,1
82,499,589,1
83,1072,217,1
84,501,627,1
85,483,319,1
86,1205,642,1
87,1259,453,1
88,1329,120,1
89,349,306,1
90,1209,440,1
91,374,163,1
92,1122,734,1
93,97,534,1
94,1021,447,1
95,442,262,1
96,383,667,1
97,619,529,1
98,950,588,1
99,1227,621,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
