### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,399,32.6882,0,255,0,0,100,1,1
1,722,421,-126.317,0,255,0,0,100,1,1
2,405,130,68.546,0,255,0,0,100,1,1
3,828,455,133.089,0,255,0,0,100,1,1
4,502,367,-132.114,0,255,0,0,100,1,1
5,199,433,55.7262,0,255,0,0,100,1,1
6,439,201,130.574,0,255,0,0,100,1,1
7,106,477,25.7717,0,255,0,0,100,1,1
8,1239,170,31.4789,0,255,0,0,100,1,1
9,891,128,-53.436,0,255,0,0,100,1,1
10,1023,103,34.241,0,255,0,0,100,1,1
11,460,725,18.3741,0,255,0,0,100,1,1
12,911,715,84.4091,0,255,0,0,100,1,1
13,271,200,117.217,0,255,0,0,100,1,1
14,645,203,-20.9231,0,255,0,0,100,1,1
15,785,763,28.0283,0,255,0,0,100,1,1
16,911,526,-101.817,0,255,0,0,100,1,1
17,802,24,-60.0704,0,255,0,0,100,1,1
18,1088,341,0.642831,0,255,0,0,100,1,1
19,695,444,-80.6417,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1029,474,1
1,911,478,1
2,1222,305,1
3,1136,345,1
4,1350,212,1
5,217,473,1
6,398,136,0
7,193,607,1
8,1153,429,1
9,1367,159,1
10,646,186,1
11,520,309,1
12,837,236,1
13,185,86,1
14,1207,92,1
15,1144,759,1
16,354,636,1
17,1278,319,1
18,843,472,1
19,330,634,1
20,339,405,1
21,594,356,1
22,838,111,1
23,566,425,1
24,1350,587,1
25,716,417,1
26,922,186,1
27,1156,26,1
28,906,661,1
29,1264,754,1
30,744,678,1
31,242,232,1
32,318,401,1
33,402,157,1
34,157,372,1
35,273,487,1
36,38,382,1
37,1233,213,1
38,637,578,1
39,1160,546,1
40,425,251,1
41,806,632,1
42,543,217,1
43,1169,715,1
44,308,30,1
45,727,148,1
46,485,512,1
47,797,163,1
48,877,697,1
49,1163,458,1
50,285,609,1
51,642,300,1
52,967,418,1
53,702,345,1
54,419,635,1
55,964,577,1
56,1068,25,1
57,168,257,1
58,974,113,1
59,975,368,1
60,1097,549,1
61,1000,564,1
62,139,199,1
63,545,661,1
64,532,195,1
65,1194,156,1
66,963,641,1
67,1294,63,1
68,772,381,1
69,130,258,1
70,1077,199,1
71,405,97,1
72,1043,55,1
73,538,550,1
74,728,502,1
75,34,354,1
76,51,176,1
77,1310,507,1
78,42,623,1
79,494,594,1
80,456,652,1
81,483,401,1
82,690,413,1
83,55,119,1
84,933,399,1
85,1111,133,1
86,1046,623,1
87,618,75,1
88,343,748,1
89,1020,723,1
90,562,45,1
91,435,560,1
92,725,768,1
93,739,714,1
94,476,748,1
95,1169,523,1
96,621,751,1
97,753,461,1
98,595,262,1
99,1328,664,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
