### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,699,400,50.2341,0,255,0,0,100,1,1
1,723,423,-127.385,0,255,0,0,100,1,1
2,986,315,28.3046,0,255,0,0,100,1,1
3,571,554,-35.3437,0,255,0,0,100,1,1
4,80,405,-1.91995,0,255,0,0,100,1,1
5,105,436,3.83852,0,255,0,0,100,1,1
6,1299,435,-56.2833,0,255,0,0,100,1,1
7,1257,336,140.585,0,255,0,0,100,1,1
8,596,343,-111.455,0,255,0,0,100,1,1
9,1176,427,-111.919,0,255,0,0,100,1,1
10,1015,301,9.90133,0,255,0,0,100,1,1
11,703,645,66.7649,0,255,0,0,100,1,1
12,1027,272,68.1813,0,255,0,0,100,1,1
13,927,393,35.6179,0,255,0,0,100,1,1
14,1343,327,-105.316,0,255,0,0,100,1,1
15,263,166,60.6624,0,255,0,0,100,1,1
16,34,693,124.674,0,255,0,0,100,1,1
17,519,521,144.041,0,255,0,0,100,1,1
18,116,573,-108.35,0,255,0,0,100,1,1
19,323,618,165.421,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1187,50,1
1,564,616,1
2,917,46,1
3,1333,157,1
4,34,605,1
5,234,181,1
6,1167,259,1
7,271,454,1
8,1106,577,1
9,546,441,1
10,175,43,1
11,230,236,1
12,636,130,1
13,533,53,1
14,789,399,1
15,354,421,1
16,857,662,1
17,1049,136,1
18,735,730,1
19,190,352,1
20,838,189,1
21,1185,338,1
22,1341,386,1
23,349,773,1
24,1074,621,1
25,963,114,1
26,766,664,1
27,905,233,1
28,142,339,1
29,943,311,1
30,725,421,1
31,1011,652,1
32,699,617,1
33,204,760,1
34,913,195,1
35,454,328,1
36,727,479,1
37,471,518,1
38,355,612,1
39,1170,441,1
40,475,478,1
41,195,738,1
42,925,654,1
43,155,506,1
44,818,612,1
45,555,493,1
46,486,250,1
47,672,620,1
48,864,477,1
49,754,171,1
50,1329,437,1
51,1205,415,1
52,77,323,1
53,691,379,1
54,1366,98,1
55,919,491,1
56,668,25,1
57,831,526,1
58,1091,633,1
59,889,589,1
60,1327,635,1
61,243,321,1
62,133,613,1
63,61,621,1
64,238,404,1
65,668,753,1
66,223,78,1
67,958,259,1
68,507,564,1
69,545,84,1
70,1209,163,1
71,1266,353,1
72,976,363,1
73,366,384,1
74,420,393,1
75,946,417,1
76,920,742,1
77,304,456,1
78,950,690,1
79,218,103,1
80,835,208,1
81,1034,196,1
82,1140,259,1
83,667,105,1
84,417,280,1
85,82,603,1
86,883,129,1
87,867,687,1
88,168,720,1
89,1070,678,1
90,1240,115,1
91,1012,736,1
92,855,62,1
93,595,587,1
94,1336,697,1
95,1176,413,1
96,1365,728,1
97,1044,744,1
98,1234,592,1
99,689,315,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
