### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,399,22.747,0,255,0,0,100,1,1
1,722,425,119.216,0,255,0,0,100,1,1
2,1140,43,78.6526,0,255,0,0,100,1,1
3,330,706,101.289,0,255,0,0,100,1,1
4,664,749,160.719,0,255,0,0,100,1,1
5,462,56,-149.205,0,255,0,0,100,1,1
6,909,640,-50.6139,0,255,0,0,100,1,1
7,1341,254,123.132,0,255,0,0,100,1,1
8,781,698,139.969,0,255,0,0,100,1,1
9,1278,512,-127.33,0,255,0,0,100,1,1
10,710,367,67.1804,0,255,0,0,100,1,1
11,1024,523,-35.4026,0,255,0,0,100,1,1
12,133,256,-105.687,0,255,0,0,100,1,1
13,1093,753,153.66,0,255,0,0,100,1,1
14,496,503,-76.0723,0,255,0,0,100,1,1
15,634,351,32.1848,0,255,0,0,100,1,1
16,442,242,-105.183,0,255,0,0,100,1,1
17,765,761,-151.287,0,255,0,0,100,1,1
18,705,38,-111.453,0,255,0,0,100,1,1
19,1328,391,-24.3677,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,680,331,1
1,299,173,1
2,884,436,1
3,590,248,1
4,1138,64,1
5,459,613,1
6,1104,66,1
7,816,169,1
8,1308,753,1
9,1172,320,1
10,318,487,1
11,544,96,1
12,146,209,1
13,38,479,1
14,815,675,1
15,64,139,1
16,977,217,1
17,545,748,1
18,766,146,1
19,1324,560,1
20,667,29,1
21,1171,505,1
22,694,512,1
23,373,78,1
24,176,155,1
25,417,717,1
26,797,502,1
27,356,249,1
28,599,202,1
29,203,548,1
30,126,354,1
31,1240,468,1
32,27,426,1
33,563,722,1
34,922,433,1
35,1029,511,1
36,1342,89,1
37,383,607,1
38,861,475,1
39,337,221,1
40,498,377,1
41,760,315,1
42,679,663,1
43,748,499,1
44,222,303,1
45,35,568,1
46,277,243,1
47,644,591,1
48,1229,279,1
49,260,691,1
50,594,456,1
51,1159,549,1
52,167,187,1
53,547,635,1
54,1366,596,1
55,687,363,1
56,67,497,1
57,851,237,1
58,573,105,1
59,733,431,0
60,229,197,1
61,1221,731,1
62,443,40,1
63,1142,346,1
64,684,451,1
65,501,662,1
66,966,479,1
67,689,541,1
68,811,289,1
69,79,657,1
70,499,495,1
71,367,306,1
72,457,763,1
73,101,485,1
74,558,343,1
75,188,497,1
76,575,463,1
77,1344,739,1
78,1128,717,1
79,650,228,1
80,1220,102,1
81,482,43,1
82,195,58,1
83,687,486,1
84,1033,479,1
85,334,744,1
86,997,408,1
87,1061,113,1
88,487,555,1
89,1286,653,1
90,703,103,1
91,710,124,1
92,938,557,1
93,635,382,1
94,779,646,1
95,873,756,1
96,375,417,1
97,1071,521,1
98,353,63,1
99,950,164,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
