### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,696,397,-142.061,0,255,0,0,100,1,1
1,722,425,127.33,0,255,0,0,100,1,1
2,943,74,-8.00126,0,255,0,0,100,1,1
3,603,133,-151.482,0,255,0,0,100,1,1
4,19,424,-44.9331,0,255,0,0,100,1,1
5,934,520,-57.9576,0,255,0,0,100,1,1
6,1287,669,4.57106,0,255,0,0,100,1,1
7,1302,90,-123.344,0,255,0,0,100,1,1
8,188,563,-178.199,0,255,0,0,100,1,1
9,198,653,34.4779,0,255,0,0,100,1,1
10,159,631,59.8884,0,255,0,0,100,1,1
11,462,204,-179.912,0,255,0,0,100,1,1
12,290,424,-149.74,0,255,0,0,100,1,1
13,1054,606,-75.0828,0,255,0,0,100,1,1
14,457,246,-83.3159,0,255,0,0,100,1,1
15,1074,474,140.05,0,255,0,0,100,1,1
16,463,382,101.977,0,255,0,0,100,1,1
17,1139,358,106.259,0,255,0,0,100,1,1
18,737,668,-110.229,0,255,0,0,100,1,1
19,737,214,-62.9812,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1336,206,1
1,465,553,1
2,1015,460,1
3,139,128,1
4,424,657,1
5,617,388,1
6,1268,436,1
7,1213,408,1
8,186,183,1
9,1278,55,1
10,586,283,1
11,353,617,1
12,322,645,1
13,962,30,1
14,119,441,1
15,938,187,1
16,669,245,1
17,366,581,1
18,37,649,1
19,1244,62,1
20,1247,161,1
21,999,400,1
22,483,257,1
23,1057,342,1
24,174,633,1
25,1234,256,1
26,691,756,1
27,1016,152,1
28,706,736,1
29,658,434,1
30,213,288,1
31,1027,592,1
32,703,238,1
33,1115,520,1
34,693,81,1
35,904,118,1
36,424,291,1
37,1245,688,1
38,659,372,1
39,293,331,1
40,54,718,1
41,854,560,1
42,906,301,1
43,537,206,1
44,86,81,1
45,175,259,1
46,782,273,1
47,441,110,1
48,106,719,1
49,399,757,1
50,222,76,1
51,463,122,1
52,376,688,1
53,716,353,1
54,324,181,1
55,330,486,1
56,791,736,1
57,834,144,1
58,203,228,1
59,443,407,1
60,204,160,1
61,114,517,1
62,79,104,1
63,726,500,1
64,268,252,1
65,808,649,1
66,1125,746,1
67,103,236,1
68,231,227,1
69,244,268,1
70,1204,659,1
71,944,365,1
72,486,679,1
73,1324,319,1
74,1081,531,1
75,1023,758,1
76,440,259,1
77,357,403,1
78,1087,591,1
79,649,771,1
80,1368,637,1
81,812,44,1
82,87,258,1
83,1267,25,1
84,581,743,1
85,876,124,1
86,1179,578,1
87,426,173,1
88,1147,416,1
89,1351,231,1
90,47,392,1
91,661,508,1
92,1212,488,1
93,495,150,1
94,967,291,1
95,1191,639,1
96,88,438,1
97,587,597,1
98,508,569,1
99,33,112,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
