### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,699,396,-58.1016,0,255,0,0,100,1,1
1,725,424,25.0205,0,255,0,0,100,1,1
2,773,485,-130.209,0,255,0,0,100,1,1
3,1247,534,-156.199,0,255,0,0,100,1,1
4,695,491,-131.515,0,255,0,0,100,1,1
5,300,714,91.0154,0,255,0,0,100,1,1
6,1214,465,-165.15,0,255,0,0,100,1,1
7,534,769,110.708,0,255,0,0,100,1,1
8,360,124,-0.774174,0,255,0,0,100,1,1
9,73,560,-177.318,0,255,0,0,100,1,1
10,1192,377,-140.477,0,255,0,0,100,1,1
11,1159,467,23.7516,0,255,0,0,100,1,1
12,833,112,-102.227,0,255,0,0,100,1,1
13,850,87,0.657769,0,255,0,0,100,1,1
14,712,110,-53.3092,0,255,0,0,100,1,1
15,296,621,-172.094,0,255,0,0,100,1,1
16,763,219,-74.337,0,255,0,0,100,1,1
17,481,338,45.1125,0,255,0,0,100,1,1
18,319,318,88.766,0,255,0,0,100,1,1
19,561,692,168.841,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,513,404,1
1,932,146,1
2,568,27,1
3,491,534,1
4,716,516,1
5,1343,271,1
6,405,648,1
7,1344,525,1
8,892,498,1
9,1264,306,1
10,1196,716,1
11,862,330,1
12,35,72,1
13,98,389,1
14,190,499,1
15,890,164,1
16,27,608,1
17,1306,232,1
18,175,116,1
19,636,479,1
20,565,253,1
21,583,666,1
22,315,642,1
23,400,767,1
24,175,253,1
25,1058,606,1
26,619,669,1
27,255,404,1
28,1248,736,1
29,1308,81,1
30,452,426,1
31,36,741,1
32,1125,527,1
33,515,736,1
34,1362,238,1
35,240,716,1
36,824,454,1
37,857,159,1
38,790,243,1
39,136,702,1
40,1246,557,1
41,416,675,1
42,430,420,1
43,859,456,1
44,729,667,1
45,973,437,1
46,998,487,1
47,222,423,1
48,819,485,1
49,586,738,1
50,1302,260,1
51,1371,101,1
52,625,429,1
53,541,390,1
54,1168,24,1
55,428,178,1
56,1293,44,1
57,480,237,1
58,503,281,1
59,1154,626,1
60,467,585,1
61,315,79,1
62,890,299,1
63,612,560,1
64,809,373,1
65,627,56,1
66,917,415,1
67,163,384,1
68,293,435,1
69,820,536,1
70,1009,614,1
71,1228,113,1
72,1103,585,1
73,1319,675,1
74,931,705,1
75,273,747,1
76,177,562,1
77,81,684,1
78,70,321,1
79,455,701,1
80,839,233,1
81,1226,679,1
82,740,75,1
83,747,588,1
84,318,609,1
85,786,609,1
86,380,329,1
87,741,146,1
88,297,114,1
89,665,730,1
90,658,49,1
91,886,647,1
92,427,733,1
93,811,109,1
94,1249,710,1
95,1151,89,1
96,622,368,1
97,222,647,1
98,671,400,1
99,525,507,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
