### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,698,396,-88.4365,0,255,0,0,100,1,1
1,722,425,105.411,0,255,0,0,100,1,1
2,196,680,159.905,0,255,0,0,100,1,1
3,106,622,121.403,0,255,0,0,100,1,1
4,900,458,6.72615,0,255,0,0,100,1,1
5,58,165,-178.006,0,255,0,0,100,1,1
6,890,450,106.964,0,255,0,0,100,1,1
7,820,275,128.872,0,255,0,0,100,1,1
8,623,21,-171.02,0,255,0,0,100,1,1
9,828,507,153.335,0,255,0,0,100,1,1
10,570,778,153.442,0,255,0,0,100,1,1
11,914,125,148.923,0,255,0,0,100,1,1
12,683,88,78.6895,0,255,0,0,100,1,1
13,1362,202,-7.47523,0,255,0,0,100,1,1
14,336,218,36.3785,0,255,0,0,100,1,1
15,1133,404,20.8653,0,255,0,0,100,1,1
16,43,314,-53.69,0,255,0,0,100,1,1
17,829,624,132.537,0,255,0,0,100,1,1
18,1005,644,-50.7843,0,255,0,0,100,1,1
19,92,573,-68.2854,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,762,290,1
1,1152,511,1
2,1012,239,1
3,555,49,1
4,695,47,1
5,389,358,1
6,502,443,1
7,681,755,1
8,89,190,1
9,1194,276,1
10,853,72,1
11,87,361,1
12,411,549,1
13,78,576,1
14,282,412,1
15,75,748,1
16,996,574,1
17,800,495,1
18,710,508,1
19,121,621,1
20,1314,217,1
21,885,490,1
22,1155,399,1
23,1309,586,1
24,146,540,1
25,733,99,1
26,1312,726,1
27,1098,619,1
28,1118,237,1
29,1281,495,1
30,918,399,1
31,327,379,1
32,1255,607,1
33,849,615,1
34,977,483,1
35,1104,279,1
36,747,48,1
37,614,716,1
38,1091,525,1
39,1160,771,1
40,1350,88,1
41,1346,45,1
42,226,207,1
43,384,235,1
44,1068,139,1
45,587,361,1
46,1080,309,1
47,613,383,1
48,218,616,1
49,221,410,1
50,328,641,1
51,651,166,1
52,1006,519,1
53,1135,143,1
54,260,570,1
55,1205,694,1
56,1081,48,1
57,636,667,1
58,968,460,1
59,564,229,1
60,877,531,1
61,1072,355,1
62,982,739,1
63,318,227,1
64,1069,649,1
65,227,136,1
66,1301,623,1
67,1326,517,1
68,962,293,1
69,136,351,1
70,459,392,1
71,597,661,1
72,106,87,1
73,752,86,1
74,767,443,1
75,289,40,1
76,265,344,1
77,252,707,1
78,1168,665,1
79,967,239,1
80,333,572,1
81,574,763,1
82,810,688,1
83,1112,572,1
84,519,86,1
85,969,415,1
86,362,640,1
87,882,583,1
88,960,98,1
89,234,525,1
90,493,107,1
91,752,714,1
92,522,765,1
93,1052,511,1
94,1148,473,1
95,672,443,1
96,425,317,1
97,640,85,1
98,772,611,1
99,1300,51,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
