### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,696,399,155.133,0,255,0,0,100,1,1
1,725,422,-39.9511,0,255,0,0,100,1,1
2,489,479,-84.391,0,255,0,0,100,1,1
3,74,551,132.989,0,255,0,0,100,1,1
4,1345,630,89.3968,0,255,0,0,100,1,1
5,943,170,64.7916,0,255,0,0,100,1,1
6,532,474,33.9256,0,255,0,0,100,1,1
7,151,342,93.9471,0,255,0,0,100,1,1
8,893,360,9.1143,0,255,0,0,100,1,1
9,51,367,-126.354,0,255,0,0,100,1,1
10,1358,94,-71.1225,0,255,0,0,100,1,1
11,822,467,-170.853,0,255,0,0,100,1,1
12,378,407,83.223,0,255,0,0,100,1,1
13,42,738,100.585,0,255,0,0,100,1,1
14,557,251,-12.1277,0,255,0,0,100,1,1
15,419,31,-93.8578,0,255,0,0,100,1,1
16,254,654,-138.567,0,255,0,0,100,1,1
17,1012,663,-20.4348,0,255,0,0,100,1,1
18,950,725,-61.7303,0,255,0,0,100,1,1
19,440,568,-44.5597,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,554,511,1
1,453,352,1
2,122,705,1
3,777,531,1
4,473,580,1
5,536,270,1
6,444,117,1
7,1237,757,1
8,105,376,1
9,228,343,1
10,1217,399,1
11,907,35,1
12,172,761,1
13,689,471,1
14,904,427,1
15,188,647,1
16,652,117,1
17,1361,69,1
18,620,731,1
19,478,339,1
20,1221,525,1
21,408,433,1
22,1201,719,1
23,1231,93,1
24,843,736,1
25,655,43,1
26,1169,140,1
27,764,483,1
28,1201,115,1
29,1123,667,1
30,172,302,1
31,1228,290,1
32,1216,593,1
33,148,130,1
34,578,650,1
35,451,690,1
36,1262,526,1
37,869,171,1
38,548,423,1
39,1356,750,1
40,537,465,1
41,478,525,1
42,387,599,1
43,590,716,1
44,881,758,1
45,996,71,1
46,261,339,1
47,1111,82,1
48,1124,407,1
49,284,332,1
50,228,465,1
51,829,30,1
52,804,608,1
53,739,458,1
54,82,226,1
55,595,300,1
56,1316,594,1
57,209,752,1
58,1158,207,1
59,1016,447,1
60,1043,105,1
61,625,137,1
62,1210,48,1
63,168,521,1
64,822,376,1
65,705,310,1
66,1001,617,1
67,715,725,1
68,1091,194,1
69,1292,762,1
70,170,454,1
71,163,39,1
72,1008,182,1
73,222,84,1
74,471,123,1
75,372,761,1
76,1146,464,1
77,804,473,1
78,969,386,1
79,369,197,1
80,692,31,1
81,1371,215,1
82,1066,58,1
83,658,409,1
84,300,540,1
85,96,484,1
86,310,389,1
87,63,67,1
88,517,586,1
89,262,579,1
90,454,414,1
91,1355,476,1
92,1292,637,1
93,212,709,1
94,630,103,1
95,558,401,1
96,655,558,1
97,224,675,1
98,970,237,1
99,1026,236,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
