### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,699,396,-75.0552,0,255,0,0,100,1,1
1,725,424,23.7695,0,255,0,0,100,1,1
2,1209,755,-132.549,0,255,0,0,100,1,1
3,922,282,-116.524,0,255,0,0,100,1,1
4,1062,436,171.64,0,255,0,0,100,1,1
5,651,51,-1.74697,0,255,0,0,100,1,1
6,407,213,-141.084,0,255,0,0,100,1,1
7,669,424,-47.5326,0,255,0,0,100,1,1
8,241,167,131.519,0,255,0,0,100,1,1
9,1111,679,-98.1326,0,255,0,0,100,1,1
10,715,244,88.9529,0,255,0,0,100,1,1
11,958,559,24.3763,0,255,0,0,100,1,1
12,200,695,93.125,0,255,0,0,100,1,1
13,453,290,-51.5557,0,255,0,0,100,1,1
14,47,465,-69.0338,0,255,0,0,100,1,1
15,1241,382,-176.921,0,255,0,0,100,1,1
16,1034,94,112.572,0,255,0,0,100,1,1
17,435,470,113.487,0,255,0,0,100,1,1
18,991,114,-1.47845,0,255,0,0,100,1,1
19,406,236,90.039,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,848,340,1
1,1037,227,1
2,75,361,1
3,683,317,1
4,1139,582,1
5,1257,373,1
6,1032,417,1
7,1350,422,1
8,54,423,1
9,1105,28,1
10,1306,93,1
11,269,201,1
12,578,536,1
13,448,350,1
14,1270,696,1
15,177,769,1
16,938,491,1
17,1085,324,1
18,836,700,1
19,414,156,1
20,1241,435,1
21,381,385,1
22,553,621,1
23,1066,623,1
24,447,125,1
25,794,677,1
26,1250,186,1
27,1014,562,1
28,762,737,1
29,1032,517,1
30,839,518,1
31,981,52,1
32,1087,347,1
33,1192,454,1
34,1253,717,1
35,521,92,1
36,1201,619,1
37,690,99,1
38,471,191,1
39,210,264,1
40,173,260,1
41,193,613,1
42,1342,527,1
43,285,308,1
44,767,346,1
45,1064,559,1
46,1072,480,1
47,1125,685,1
48,601,83,1
49,204,134,1
50,1025,772,1
51,466,656,1
52,656,581,1
53,653,686,1
54,169,597,1
55,110,247,1
56,590,316,1
57,1229,552,1
58,1227,396,1
59,1213,122,1
60,1251,633,1
61,398,138,1
62,499,265,1
63,729,746,1
64,1010,602,1
65,987,672,1
66,41,382,1
67,393,63,1
68,807,133,1
69,240,324,1
70,433,152,1
71,861,106,1
72,112,427,1
73,852,678,1
74,890,713,1
75,714,655,1
76,662,704,1
77,826,486,1
78,1198,590,1
79,523,305,1
80,748,518,1
81,648,106,1
82,453,23,1
83,133,58,1
84,1334,222,1
85,632,592,1
86,187,423,1
87,503,517,1
88,1103,408,1
89,1156,199,1
90,1104,84,1
91,1194,675,1
92,1083,114,1
93,765,617,1
94,423,755,1
95,1263,393,1
96,1363,462,1
97,746,404,1
98,1062,296,1
99,1160,697,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
