### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,398,-13.0599,0,255,0,0,100,1,1
1,724,425,60.8889,0,255,0,0,100,1,1
2,703,756,-113.96,0,255,0,0,100,1,1
3,944,154,83.0292,0,255,0,0,100,1,1
4,603,20,155.612,0,255,0,0,100,1,1
5,940,413,163.155,0,255,0,0,100,1,1
6,1210,401,177.357,0,255,0,0,100,1,1
7,858,456,140.753,0,255,0,0,100,1,1
8,315,246,-78.6642,0,255,0,0,100,1,1
9,529,757,-87.6657,0,255,0,0,100,1,1
10,831,250,83.1304,0,255,0,0,100,1,1
11,1343,150,-151.601,0,255,0,0,100,1,1
12,117,647,31.3462,0,255,0,0,100,1,1
13,385,498,146.988,0,255,0,0,100,1,1
14,592,562,126.287,0,255,0,0,100,1,1
15,535,36,-57.8691,0,255,0,0,100,1,1
16,966,138,-24.5614,0,255,0,0,100,1,1
17,395,417,32.4061,0,255,0,0,100,1,1
18,1032,288,156.804,0,255,0,0,100,1,1
19,868,486,-118.189,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1115,127,1
1,199,536,1
2,457,426,1
3,1172,550,1
4,748,682,1
5,544,768,1
6,593,137,1
7,1211,340,1
8,485,483,1
9,624,243,1
10,974,703,1
11,387,75,1
12,1092,413,1
13,168,276,1
14,968,618,1
15,1069,23,1
16,320,116,1
17,877,601,1
18,182,292,1
19,246,241,1
20,1015,315,1
21,383,440,1
22,438,88,1
23,438,582,1
24,526,129,1
25,592,690,1
26,398,383,1
27,604,746,1
28,1239,324,1
29,114,56,1
30,704,732,1
31,1089,385,1
32,55,320,1
33,541,301,1
34,515,723,1
35,1269,158,1
36,932,235,1
37,571,606,1
38,1006,678,1
39,754,79,1
40,920,677,1
41,1025,680,1
42,374,552,1
43,849,489,1
44,999,331,1
45,381,192,1
46,1288,693,1
47,1212,651,1
48,431,537,1
49,45,541,1
50,298,697,1
51,247,707,1
52,1197,268,1
53,114,390,1
54,1144,31,1
55,711,534,1
56,582,762,1
57,661,433,1
58,745,174,1
59,845,269,1
60,985,144,1
61,283,749,1
62,1340,404,1
63,1310,736,1
64,733,46,1
65,71,570,1
66,792,394,1
67,868,687,1
68,241,107,1
69,606,637,1
70,313,365,1
71,739,514,1
72,697,494,1
73,329,470,1
74,224,317,1
75,687,229,1
76,1244,616,1
77,440,679,1
78,233,646,1
79,534,356,1
80,836,453,1
81,44,414,1
82,287,227,1
83,957,471,1
84,648,223,1
85,552,515,1
86,894,149,1
87,346,457,1
88,980,45,1
89,489,771,1
90,364,119,1
91,1207,98,1
92,766,664,1
93,579,256,1
94,698,622,1
95,606,525,1
96,216,341,1
97,778,140,1
98,845,316,1
99,637,155,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
