### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,396,-120.848,0,255,0,0,100,1,1
1,721,424,164,0,255,0,0,100,1,1
2,597,353,-163.826,0,255,0,0,100,1,1
3,198,543,116.489,0,255,0,0,100,1,1
4,1193,631,166.11,0,255,0,0,100,1,1
5,1069,771,156.837,0,255,0,0,100,1,1
6,1062,102,110.863,0,255,0,0,100,1,1
7,1241,56,-126.02,0,255,0,0,100,1,1
8,145,217,-133.705,0,255,0,0,100,1,1
9,139,343,-40.4411,0,255,0,0,100,1,1
10,307,307,-34.4955,0,255,0,0,100,1,1
11,778,606,51.6455,0,255,0,0,100,1,1
12,36,372,-31.5535,0,255,0,0,100,1,1
13,508,446,7.89413,0,255,0,0,100,1,1
14,938,415,95.0518,0,255,0,0,100,1,1
15,425,23,-12.9364,0,255,0,0,100,1,1
16,1157,573,60.462,0,255,0,0,100,1,1
17,1187,107,51.0133,0,255,0,0,100,1,1
18,732,483,161.589,0,255,0,0,100,1,1
19,1321,728,-179.081,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,73,118,1
1,635,125,1
2,441,662,1
3,787,372,1
4,154,49,1
5,338,161,1
6,879,604,1
7,400,425,1
8,684,181,1
9,409,449,1
10,732,79,1
11,488,675,1
12,1131,199,1
13,556,257,1
14,441,535,1
15,893,202,1
16,516,104,1
17,1142,517,1
18,1281,384,1
19,847,552,1
20,617,477,1
21,364,147,1
22,598,494,1
23,440,62,1
24,307,513,1
25,389,91,1
26,398,137,1
27,1058,336,1
28,779,232,1
29,156,627,1
30,682,315,1
31,949,562,1
32,199,535,1
33,943,285,1
34,1027,548,1
35,211,569,1
36,1080,422,1
37,44,308,1
38,825,221,1
39,458,139,1
40,1313,521,1
41,1202,499,1
42,1010,271,1
43,814,467,1
44,1036,64,1
45,660,648,1
46,1102,700,1
47,1082,213,1
48,835,602,1
49,302,253,1
50,1344,492,1
51,1200,659,1
52,329,263,1
53,1205,133,1
54,881,84,1
55,286,533,1
56,119,82,1
57,891,312,1
58,1249,281,1
59,476,188,1
60,380,675,1
61,132,315,1
62,554,299,1
63,464,689,1
64,46,396,1
65,676,59,1
66,179,625,1
67,69,238,1
68,1311,188,1
69,988,204,1
70,913,715,1
71,548,465,1
72,961,664,1
73,255,276,1
74,273,143,1
75,208,420,1
76,84,142,1
77,1357,414,1
78,1278,515,1
79,1357,474,1
80,1154,436,1
81,1237,747,1
82,768,283,1
83,1228,378,1
84,1052,102,1
85,732,33,1
86,1267,561,1
87,898,353,1
88,755,212,1
89,1287,341,1
90,1287,85,1
91,618,692,1
92,397,398,1
93,828,322,1
94,1103,169,1
95,938,504,1
96,255,321,1
97,1163,545,1
98,42,249,1
99,1307,728,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
