### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,396,-112.489,0,255,0,0,100,1,1
1,725,422,-32.2761,0,255,0,0,100,1,1
2,822,581,-112.641,0,255,0,0,100,1,1
3,535,48,155.796,0,255,0,0,100,1,1
4,974,219,6.23459,0,255,0,0,100,1,1
5,1097,503,61.6521,0,255,0,0,100,1,1
6,524,770,108.155,0,255,0,0,100,1,1
7,877,215,61.8664,0,255,0,0,100,1,1
8,980,774,99.5185,0,255,0,0,100,1,1
9,731,373,179.281,0,255,0,0,100,1,1
10,660,631,-160.536,0,255,0,0,100,1,1
11,1304,196,-123.218,0,255,0,0,100,1,1
12,869,593,67.3587,0,255,0,0,100,1,1
13,415,578,-9.75533,0,255,0,0,100,1,1
14,1284,389,-99.689,0,255,0,0,100,1,1
15,1086,230,-110.576,0,255,0,0,100,1,1
16,890,246,144.218,0,255,0,0,100,1,1
17,1198,651,142.197,0,255,0,0,100,1,1
18,1235,54,60.5729,0,255,0,0,100,1,1
19,1186,425,-68.6177,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,1199,364,1
1,1044,232,1
2,141,80,1
3,759,710,1
4,1111,23,1
5,1115,709,1
6,68,738,1
7,635,583,1
8,498,638,1
9,1283,474,1
10,219,737,1
11,203,275,1
12,743,657,1
13,547,638,1
14,777,319,1
15,437,533,1
16,880,677,1
17,876,30,1
18,921,298,1
19,374,709,1
20,993,642,1
21,538,110,1
22,1057,110,1
23,234,373,1
24,91,773,1
25,470,283,1
26,1149,81,1
27,790,195,1
28,755,308,1
29,420,445,1
30,499,592,1
31,441,597,1
32,893,274,1
33,1282,666,1
34,1343,369,1
35,737,616,1
36,1000,492,1
37,874,384,1
38,511,672,1
39,295,140,1
40,252,168,1
41,176,231,1
42,579,391,1
43,336,43,1
44,1241,180,1
45,305,242,1
46,672,720,1
47,539,165,1
48,1210,665,1
49,755,573,1
50,574,230,1
51,197,505,1
52,666,125,1
53,686,290,1
54,1231,111,1
55,371,72,1
56,993,192,1
57,920,647,1
58,749,355,1
59,697,565,1
60,714,654,1
61,1299,284,1
62,1015,628,1
63,869,413,1
64,941,568,1
65,975,291,1
66,837,715,1
67,629,166,1
68,1104,89,1
69,1021,446,1
70,34,206,1
71,831,365,1
72,247,388,1
73,195,444,1
74,1023,426,1
75,250,431,1
76,385,773,1
77,422,50,1
78,294,379,1
79,63,57,1
80,395,168,1
81,111,698,1
82,544,452,1
83,874,332,1
84,315,423,1
85,497,187,1
86,1355,699,1
87,38,672,1
88,282,678,1
89,499,89,1
90,533,662,1
91,914,123,1
92,105,383,1
93,93,118,1
94,856,158,1
95,1167,560,1
96,130,613,1
97,149,325,1
98,933,440,1
99,581,183,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
