### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,697,396,-121.219,0,255,0,0,100,1,1
1,724,425,70.7174,0,255,0,0,100,1,1
2,931,242,81.909,0,255,0,0,100,1,1
3,814,141,101.023,0,255,0,0,100,1,1
4,138,584,170.685,0,255,0,0,100,1,1
5,532,714,153.858,0,255,0,0,100,1,1
6,782,256,-31.8377,0,255,0,0,100,1,1
7,480,165,97.4371,0,255,0,0,100,1,1
8,872,197,-134.523,0,255,0,0,100,1,1
9,209,378,14.9683,0,255,0,0,100,1,1
10,233,27,66.8876,0,255,0,0,100,1,1
11,283,32,-177.658,0,255,0,0,100,1,1
12,217,379,158.95,0,255,0,0,100,1,1
13,698,125,-7.16507,0,255,0,0,100,1,1
14,95,725,77.3012,0,255,0,0,100,1,1
15,740,531,124.859,0,255,0,0,100,1,1
16,805,184,-49.4676,0,255,0,0,100,1,1
17,1144,327,-158.3,0,255,0,0,100,1,1
18,1082,444,120.347,0,255,0,0,100,1,1
19,25,556,-154.895,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,257,481,1
1,887,534,1
2,875,64,1
3,895,712,1
4,434,602,1
5,1154,111,1
6,612,603,1
7,457,558,1
8,592,624,1
9,513,721,1
10,1056,477,1
11,1094,464,1
12,468,94,1
13,341,60,1
14,1156,227,1
15,761,142,1
16,1331,31,1
17,578,659,1
18,573,184,1
19,1131,352,1
20,980,605,1
21,516,585,1
22,691,177,1
23,1174,590,1
24,510,226,1
25,1308,723,1
26,59,93,1
27,831,453,1
28,1250,637,1
29,286,230,1
30,1162,439,1
31,1194,296,1
32,1278,65,1
33,786,94,1
34,842,84,1
35,987,127,1
36,886,128,1
37,1098,256,1
38,519,434,1
39,150,66,1
40,1222,199,1
41,740,158,1
42,490,106,1
43,298,761,1
44,540,172,1
45,922,617,1
46,742,297,1
47,916,307,1
48,933,381,1
49,432,459,1
50,797,303,1
51,849,583,1
52,364,582,1
53,1334,488,1
54,1185,26,1
55,788,466,1
56,1366,672,1
57,348,320,1
58,1078,478,1
59,1116,459,1
60,1189,554,1
61,1017,764,1
62,440,409,1
63,303,474,1
64,129,745,1
65,897,669,1
66,764,465,1
67,1146,719,1
68,320,378,1
69,652,389,1
70,890,170,1
71,1223,135,1
72,63,708,1
73,1110,537,1
74,437,144,1
75,1154,650,1
76,1119,243,1
77,827,513,1
78,237,612,1
79,593,689,1
80,1369,32,1
81,193,718,1
82,808,268,1
83,1272,450,1
84,233,543,1
85,1132,752,1
86,1059,265,1
87,282,209,1
88,786,23,1
89,884,371,1
90,445,44,1
91,613,121,1
92,1254,313,1
93,483,470,1
94,890,291,1
95,103,233,1
96,756,266,1
97,42,452,1
98,526,465,1
99,1310,592,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
