### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,696,397,-138.715,0,255,0,0,100,1,1
1,724,425,59.8459,0,255,0,0,100,1,1
2,173,331,-102.272,0,255,0,0,100,1,1
3,344,217,114.7,0,255,0,0,100,1,1
4,227,615,-9.52105,0,255,0,0,100,1,1
5,1265,320,-100.82,0,255,0,0,100,1,1
6,479,767,20.282,0,255,0,0,100,1,1
7,1299,555,-133.569,0,255,0,0,100,1,1
8,768,489,22.927,0,255,0,0,100,1,1
9,255,712,139.533,0,255,0,0,100,1,1
10,367,173,-25.5531,0,255,0,0,100,1,1
11,290,275,-94.8793,0,255,0,0,100,1,1
12,763,597,-158.986,0,255,0,0,100,1,1
13,1244,775,53.7509,0,255,0,0,100,1,1
14,1200,483,-19.8138,0,255,0,0,100,1,1
15,559,214,-85.6309,0,255,0,0,100,1,1
16,1003,625,-107.041,0,255,0,0,100,1,1
17,791,155,38.4704,0,255,0,0,100,1,1
18,1129,92,90.3696,0,255,0,0,100,1,1
19,1220,111,64.9295,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,698,25,1
1,802,540,1
2,1338,345,1
3,908,380,1
4,272,671,1
5,130,524,1
6,1358,405,1
7,820,586,1
8,318,773,1
9,944,192,1
10,546,482,1
11,1190,702,1
12,1314,672,1
13,1372,448,1
14,1206,734,1
15,1031,217,1
16,585,76,1
17,690,750,1
18,1069,187,1
19,616,251,1
20,271,697,1
21,262,193,1
22,1335,578,1
23,1319,77,1
24,430,109,1
25,820,374,1
26,792,184,1
27,49,772,1
28,287,308,1
29,1078,144,1
30,921,424,1
31,734,248,1
32,478,244,1
33,879,589,1
34,122,368,1
35,323,429,1
36,236,393,1
37,1088,756,1
38,310,70,1
39,830,287,1
40,805,395,1
41,757,204,1
42,1186,481,1
43,346,322,1
44,1368,675,1
45,259,358,1
46,1280,610,1
47,1336,751,1
48,626,36,1
49,549,375,1
50,489,719,1
51,1209,237,1
52,546,153,1
53,1205,436,1
54,1042,304,1
55,823,431,1
56,486,175,1
57,712,577,1
58,407,478,1
59,242,417,1
60,570,310,1
61,1229,359,1
62,668,231,1
63,636,526,1
64,991,348,1
65,977,558,1
66,1237,229,1
67,709,428,1
68,744,697,1
69,138,628,1
70,78,565,1
71,523,318,1
72,609,531,1
73,1159,480,1
74,179,684,1
75,729,303,1
76,668,642,1
77,126,682,1
78,437,134,1
79,616,111,1
80,316,582,1
81,292,700,1
82,1141,550,1
83,440,553,1
84,529,174,1
85,47,161,1
86,1015,286,1
87,241,669,1
88,1223,463,1
89,565,110,1
90,445,758,1
91,813,347,1
92,1114,382,1
93,311,198,1
94,295,165,1
95,530,457,1
96,654,696,1
97,419,535,1
98,1372,717,1
99,962,305,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
