### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,700,399,25.7105,0,255,0,0,100,1,1
1,721,424,158.428,0,255,0,0,100,1,1
2,975,223,-20.0288,0,255,0,0,100,1,1
3,378,513,-93.7919,0,255,0,0,100,1,1
4,665,685,35.8713,0,255,0,0,100,1,1
5,540,61,-75.0678,0,255,0,0,100,1,1
6,197,163,-111.64,0,255,0,0,100,1,1
7,705,617,-161.23,0,255,0,0,100,1,1
8,468,59,-133.546,0,255,0,0,100,1,1
9,857,139,-101.917,0,255,0,0,100,1,1
10,723,253,-32.6009,0,255,0,0,100,1,1
11,557,118,-103.433,0,255,0,0,100,1,1
12,407,467,-81.2668,0,255,0,0,100,1,1
13,518,448,-167.18,0,255,0,0,100,1,1
14,186,261,144.224,0,255,0,0,100,1,1
15,203,509,165.706,0,255,0,0,100,1,1
16,1354,579,91.7208,0,255,0,0,100,1,1
17,1137,152,-16.4775,0,255,0,0,100,1,1
18,72,352,-29.4715,0,255,0,0,100,1,1
19,1117,680,146.207,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,186,504,1
1,326,372,1
2,886,252,1
3,682,191,1
4,1036,457,1
5,1315,472,1
6,104,524,1
7,62,567,1
8,470,184,1
9,1336,98,1
10,68,236,1
11,1212,449,1
12,940,369,1
13,668,256,1
14,663,570,1
15,883,720,1
16,582,272,1
17,910,74,1
18,914,536,1
19,253,171,1
20,831,263,1
21,744,152,1
22,1020,532,1
23,159,663,1
24,351,393,1
25,737,568,1
26,1054,58,1
27,1343,703,1
28,846,70,1
29,1239,517,1
30,759,764,1
31,558,704,1
32,512,753,1
33,1286,386,1
34,1007,589,1
35,1308,156,1
36,80,539,1
37,627,69,1
38,841,124,1
39,918,136,1
40,1285,100,1
41,48,440,1
42,545,602,1
43,1241,375,1
44,469,358,1
45,1155,774,1
46,1099,349,1
47,455,635,1
48,1221,106,1
49,413,725,1
50,46,389,1
51,406,489,1
52,241,413,1
53,342,290,1
54,1359,755,1
55,1127,688,1
56,1244,451,1
57,927,507,1
58,1093,697,1
59,711,631,1
60,1150,250,1
61,1248,619,1
62,72,203,1
63,978,38,1
64,351,347,1
65,419,345,1
66,608,420,1
67,1191,219,1
68,283,608,1
69,828,704,1
70,840,598,1
71,524,582,1
72,1153,98,1
73,702,94,1
74,89,358,1
75,552,185,1
76,1260,218,1
77,1027,324,1
78,780,636,1
79,917,45,1
80,600,520,1
81,233,745,1
82,895,31,1
83,144,333,1
84,553,165,1
85,563,286,1
86,36,421,1
87,1060,724,1
88,1276,645,1
89,502,684,1
90,908,752,1
91,476,631,1
92,205,440,1
93,456,589,1
94,656,201,1
95,205,283,1
96,279,309,1
97,344,542,1
98,685,444,1
99,1099,633,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
