### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,566,160,22.7383,0,255,0,0,100,1,1
1,256,290,165.61,0,255,0,0,100,1,1
2,528,359,-115.918,0,255,0,0,100,1,1
3,207,304,126,0,255,0,0,100,1,1
4,49,288,40.234,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,509,490,1
1,189,432,1
2,489,135,1
3,391,138,1
4,69,98,1
5,452,62,1
6,115,331,1
7,465,36,1
8,186,377,1
9,82,181,1
10,222,368,1
11,248,457,1
12,543,162,1
13,212,517,1
14,326,202,1
15,172,473,1
16,518,407,1
17,494,504,1
18,550,61,1
19,201,306,0
20,497,162,1
21,569,438,1
22,552,539,1
23,98,381,1
24,231,60,1
25,44,156,1
26,337,487,1
27,88,508,1
28,193,128,1
29,99,149,1
30,486,358,1
31,571,196,1
32,424,544,1
33,27,290,1
34,80,42,1
35,263,103,1
36,239,26,1
37,86,277,1
38,416,378,1
39,450,487,1
40,411,317,1
41,573,65,1
42,138,431,1
43,23,447,1
44,164,563,1
45,279,412,1
46,115,561,1
47,360,279,1
48,44,259,1
49,98,412,1
50,266,125,1
51,514,219,1
52,169,328,1
53,488,455,1
54,534,571,1
55,448,409,1
56,374,162,1
57,51,57,1
58,349,410,1
59,344,300,1
60,285,53,1
61,386,44,1
62,321,334,1
63,515,144,1
64,496,32,1
65,301,96,1
66,252,329,1
67,259,152,1
68,377,75,1
69,200,90,1
70,513,379,1
71,509,295,1
72,533,533,1
73,367,203,1
74,513,521,1
75,154,354,1
76,562,560,1
77,580,263,1
78,506,430,1
79,432,433,1
80,290,251,1
81,556,400,1
82,244,379,1
83,70,226,1
84,486,60,1
85,368,255,1
86,123,226,1
87,108,458,1
88,427,22,1
89,301,268,1
90,336,164,1
91,109,300,1
92,262,349,1
93,515,264,1
94,167,246,1
95,52,409,1
96,39,190,1
97,267,224,1
98,534,324,1
99,512,243,1
100,158,147,1
101,512,179,1
102,149,537,1
103,250,236,1
104,208,330,1
105,57,507,1
106,86,567,1
107,511,49,1
108,420,566,1
109,572,318,1
110,117,112,1
111,212,430,1
112,120,517,1
113,465,573,1
114,53,474,1
115,382,183,1
116,200,471,1
117,438,44,1
118,118,488,1
119,549,222,1
120,454,304,1
121,104,51,1
122,172,167,1
123,351,429,1
124,162,68,1
125,204,32,1
126,32,410,1
127,581,178,1
128,419,254,1
129,43,541,1
130,570,140,1
131,240,275,1
132,344,465,1
133,477,248,1
134,55,208,1
135,404,420,1
136,363,569,1
137,71,446,1
138,509,100,1
139,542,362,1
140,113,29,1
141,331,90,1
142,458,225,1
143,339,245,1
144,142,60,1
145,488,195,1
146,540,115,1
147,581,232,1
148,458,256,1
149,538,499,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
