### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,274,38,-50.8094,0,255,0,0,100,1,1
1,125,220,-75.3379,0,255,0,0,100,1,1
2,361,546,120.426,0,255,0,0,100,1,1
3,327,70,86.9394,0,255,0,0,100,1,1
4,576,87,139.677,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,270,274,1
1,520,295,1
2,120,306,1
3,500,515,1
4,23,135,1
5,217,295,1
6,138,128,1
7,114,443,1
8,343,526,1
9,57,173,1
10,249,151,1
11,254,447,1
12,62,313,1
13,115,172,1
14,330,469,1
15,278,429,1
16,395,358,1
17,241,533,1
18,233,487,1
19,242,66,1
20,510,473,1
21,173,265,1
22,32,69,1
23,197,227,1
24,556,359,1
25,386,537,1
26,381,124,1
27,459,129,1
28,427,510,1
29,559,560,1
30,411,333,1
31,428,92,1
32,454,476,1
33,127,399,1
34,142,162,1
35,28,194,1
36,412,31,1
37,567,537,1
38,483,300,1
39,143,488,1
40,388,147,1
41,257,375,1
42,49,267,1
43,506,369,1
44,300,29,1
45,513,165,1
46,152,145,1
47,108,246,1
48,163,220,1
49,574,379,1
50,316,342,1
51,105,517,1
52,366,243,1
53,454,40,1
54,553,225,1
55,260,185,1
56,517,267,1
57,440,116,1
58,462,254,1
59,21,377,1
60,279,462,1
61,290,401,1
62,534,29,1
63,554,440,1
64,404,394,1
65,527,247,1
66,424,397,1
67,38,46,1
68,137,280,1
69,532,392,1
70,190,323,1
71,280,163,1
72,189,55,1
73,580,422,1
74,216,35,1
75,171,77,1
76,78,396,1
77,254,325,1
78,477,376,1
79,246,209,1
80,25,478,1
81,489,343,1
82,214,470,1
83,49,382,1
84,77,104,1
85,568,59,1
86,217,419,1
87,424,264,1
88,314,48,1
89,311,192,1
90,72,135,1
91,268,71,1
92,513,408,1
93,472,455,1
94,363,337,1
95,83,293,1
96,410,55,1
97,40,356,1
98,67,485,1
99,212,57,1
100,309,445,1
101,140,533,1
102,370,371,1
103,220,441,1
104,135,464,1
105,570,316,1
106,281,246,1
107,345,153,1
108,367,184,1
109,527,483,1
110,455,531,1
111,64,516,1
112,415,552,1
113,389,258,1
114,572,221,1
115,349,111,1
116,408,180,1
117,256,109,1
118,211,119,1
119,503,83,1
120,244,293,1
121,308,157,1
122,459,89,1
123,208,201,1
124,340,561,1
125,201,362,1
126,330,316,1
127,429,470,1
128,49,126,1
129,389,283,1
130,541,88,1
131,135,371,1
132,20,162,1
133,475,325,1
134,322,410,1
135,41,218,1
136,259,399,1
137,521,570,1
138,29,452,1
139,546,271,1
140,433,73,1
141,449,164,1
142,366,293,1
143,442,185,1
144,516,144,1
145,75,230,1
146,420,491,1
147,210,171,1
148,322,513,1
149,131,324,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
