### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,447,456,-51.1667,0,255,0,0,100,1,1
1,53,312,-128.473,0,255,0,0,100,1,1
2,568,432,122.036,0,255,0,0,100,1,1
3,187,94,-30.6824,0,255,0,0,100,1,1
4,433,200,-136.862,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,574,300,1
1,234,243,1
2,475,405,1
3,422,89,1
4,220,364,1
5,246,23,1
6,453,487,1
7,34,149,1
8,103,506,1
9,532,114,1
10,153,520,1
11,199,531,1
12,82,264,1
13,55,394,1
14,258,385,1
15,195,399,1
16,352,27,1
17,35,473,1
18,268,38,1
19,150,551,1
20,572,518,1
21,578,392,1
22,434,428,1
23,231,419,1
24,479,165,1
25,380,558,1
26,241,348,1
27,534,546,1
28,267,126,1
29,317,449,1
30,458,108,1
31,257,463,1
32,85,444,1
33,162,320,1
34,313,204,1
35,302,559,1
36,389,393,1
37,392,315,1
38,437,277,1
39,483,499,1
40,418,475,1
41,552,528,1
42,50,572,1
43,560,125,1
44,26,441,1
45,328,258,1
46,483,251,1
47,97,232,1
48,386,162,1
49,318,162,1
50,405,501,1
51,129,161,1
52,538,73,1
53,303,240,1
54,563,70,1
55,128,459,1
56,236,518,1
57,381,524,1
58,162,384,1
59,73,185,1
60,251,485,1
61,392,138,1
62,568,485,1
63,55,35,1
64,576,100,1
65,555,564,1
66,378,94,1
67,380,57,1
68,131,554,1
69,74,325,1
70,471,538,1
71,366,255,1
72,175,268,1
73,163,85,1
74,457,272,1
75,515,464,1
76,105,544,1
77,196,150,1
78,170,547,1
79,94,288,1
80,125,132,1
81,20,322,1
82,334,197,1
83,173,498,1
84,534,422,1
85,493,363,1
86,464,349,1
87,182,207,1
88,55,431,1
89,215,399,1
90,571,275,1
91,79,562,1
92,558,179,1
93,178,65,1
94,547,300,1
95,295,465,1
96,131,510,1
97,489,116,1
98,216,207,1
99,418,117,1
100,420,549,1
101,301,420,1
102,355,549,1
103,571,455,1
104,127,282,1
105,514,27,1
106,302,132,1
107,338,421,1
108,559,213,1
109,550,146,1
110,419,305,1
111,512,61,1
112,215,149,1
113,257,515,1
114,398,470,1
115,383,117,1
116,208,100,1
117,458,431,1
118,463,81,1
119,348,167,1
120,511,226,1
121,264,300,1
122,312,75,1
123,41,89,1
124,164,233,1
125,557,38,1
126,456,149,1
127,155,150,1
128,269,565,1
129,214,345,1
130,371,445,1
131,560,404,1
132,244,328,1
133,498,556,1
134,185,125,1
135,401,70,1
136,303,387,1
137,450,128,1
138,269,192,1
139,513,138,1
140,141,246,1
141,355,514,1
142,424,219,1
143,271,262,1
144,453,547,1
145,259,171,1
146,349,358,1
147,544,479,1
148,174,439,1
149,111,69,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
