### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,110,80,142.172,0,255,0,0,100,1,1
1,413,39,-104.812,0,255,0,0,100,1,1
2,308,160,146.843,0,255,0,0,100,1,1
3,386,126,6.84424,0,255,0,0,100,1,1
4,268,447,169.057,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,332,299,1
1,199,42,1
2,42,225,1
3,478,236,1
4,559,377,1
5,486,262,1
6,85,514,1
7,356,35,1
8,298,329,1
9,562,54,1
10,489,521,1
11,371,433,1
12,339,156,1
13,163,254,1
14,397,523,1
15,356,455,1
16,487,548,1
17,162,144,1
18,355,281,1
19,521,138,1
20,380,321,1
21,371,266,1
22,72,247,1
23,410,130,1
24,40,397,1
25,461,412,1
26,246,199,1
27,53,308,1
28,474,207,1
29,472,291,1
30,191,99,1
31,189,562,1
32,100,186,1
33,110,147,1
34,188,328,1
35,208,77,1
36,107,324,1
37,280,422,1
38,387,29,1
39,225,445,1
40,541,300,1
41,196,538,1
42,526,189,1
43,566,497,1
44,245,312,1
45,90,148,1
46,305,174,1
47,82,169,1
48,568,271,1
49,170,218,1
50,203,206,1
51,392,564,1
52,409,344,1
53,493,85,1
54,87,466,1
55,534,27,1
56,579,115,1
57,451,552,1
58,565,355,1
59,458,479,1
60,301,105,1
61,180,286,1
62,182,249,1
63,62,421,1
64,86,85,1
65,496,422,1
66,301,391,1
67,67,372,1
68,260,65,1
69,437,168,1
70,255,176,1
71,73,218,1
72,309,480,1
73,105,121,1
74,261,384,1
75,522,333,1
76,491,347,1
77,479,144,1
78,343,79,1
79,536,87,1
80,213,368,1
81,455,264,1
82,259,32,1
83,123,82,1
84,409,445,1
85,546,419,1
86,311,517,1
87,21,130,1
88,239,141,1
89,157,454,1
90,160,555,1
91,287,235,1
92,451,94,1
93,142,575,1
94,42,492,1
95,451,231,1
96,187,516,1
97,123,291,1
98,248,286,1
99,352,60,1
100,519,415,1
101,269,312,1
102,521,373,1
103,466,361,1
104,429,219,1
105,433,348,1
106,307,285,1
107,332,217,1
108,104,242,1
109,147,351,1
110,170,182,1
111,394,200,1
112,200,120,1
113,209,458,1
114,405,233,1
115,373,101,1
116,125,52,1
117,158,281,1
118,505,392,1
119,304,130,1
120,67,35,1
121,562,329,1
122,100,395,1
123,425,115,1
124,424,478,1
125,575,471,1
126,517,463,1
127,542,459,1
128,211,96,1
129,235,91,1
130,284,460,1
131,41,435,1
132,120,569,1
133,118,265,1
134,472,320,1
135,104,22,1
136,114,490,1
137,40,459,1
138,254,470,1
139,222,128,1
140,395,489,1
141,34,516,1
142,187,357,1
143,61,343,1
144,577,212,1
145,345,177,1
146,324,89,1
147,384,153,1
148,498,483,1
149,100,206,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
