### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,447,257,-4.78185,0,255,0,0,100,1,1
1,65,303,22.2032,0,255,0,0,100,1,1
2,121,94,0.479636,0,255,0,0,100,1,1
3,223,272,-108.002,0,255,0,0,100,1,1
4,586,93,-88.7235,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,150,546,1
1,283,221,1
2,480,365,1
3,189,462,1
4,300,242,1
5,390,137,1
6,555,535,1
7,183,172,1
8,271,59,1
9,312,116,1
10,540,363,1
11,292,25,1
12,111,426,1
13,376,278,1
14,101,26,1
15,376,229,1
16,128,443,1
17,406,536,1
18,237,387,1
19,211,188,1
20,558,327,1
21,473,299,1
22,37,322,1
23,516,305,1
24,391,181,1
25,412,426,1
26,278,302,1
27,127,275,1
28,238,47,1
29,195,404,1
30,121,320,1
31,80,168,1
32,328,572,1
33,79,328,1
34,107,256,1
35,438,65,1
36,359,149,1
37,364,119,1
38,111,97,1
39,504,385,1
40,230,551,1
41,264,499,1
42,467,415,1
43,578,340,1
44,197,324,1
45,300,341,1
46,423,120,1
47,252,548,1
48,526,105,1
49,536,280,1
50,284,278,1
51,334,419,1
52,317,301,1
53,348,335,1
54,446,486,1
55,541,307,1
56,90,57,1
57,348,306,1
58,176,196,1
59,303,64,1
60,253,468,1
61,217,138,1
62,462,69,1
63,163,426,1
64,112,532,1
65,75,444,1
66,427,291,1
67,403,310,1
68,455,530,1
69,175,279,1
70,386,559,1
71,236,192,1
72,437,521,1
73,31,64,1
74,568,288,1
75,524,81,1
76,376,432,1
77,580,122,1
78,401,159,1
79,328,362,1
80,509,284,1
81,254,210,1
82,503,344,1
83,27,173,1
84,425,349,1
85,302,406,1
86,490,155,1
87,406,105,1
88,101,567,1
89,75,106,1
90,199,80,1
91,477,197,1
92,512,577,1
93,171,120,1
94,316,324,1
95,265,25,1
96,345,504,1
97,46,138,1
98,479,327,1
99,456,45,1
100,31,437,1
101,426,490,1
102,560,262,1
103,291,487,1
104,424,265,1
105,477,575,1
106,551,390,1
107,536,438,1
108,87,221,1
109,475,242,1
110,491,30,1
111,153,505,1
112,410,201,1
113,47,375,1
114,48,571,1
115,233,408,1
116,266,433,1
117,211,391,1
118,412,388,1
119,133,297,1
120,27,207,1
121,380,74,1
122,203,169,1
123,62,551,1
124,234,27,1
125,106,153,1
126,53,187,1
127,286,177,1
128,275,535,1
129,208,257,1
130,343,104,1
131,228,298,1
132,207,483,1
133,352,555,1
134,265,389,1
135,413,233,1
136,322,33,1
137,193,54,1
138,174,21,1
139,399,270,1
140,397,485,1
141,249,345,1
142,114,347,1
143,252,97,1
144,534,25,1
145,532,130,1
146,394,515,1
147,537,187,1
148,266,177,1
149,171,241,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
