### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,227,12,-160.885,0,255,0,0,100,1,1
1,78,70,110.117,0,255,0,0,100,1,1
2,16,127,-87.3377,0,255,0,0,100,1,1
3,127,54,-55.9559,0,255,0,0,100,1,1
4,213,481,-74.9943,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,156,246,1
1,435,284,1
2,130,315,1
3,241,369,1
4,44,378,1
5,59,131,1
6,271,111,1
7,355,488,1
8,488,485,1
9,445,376,1
10,557,194,1
11,395,214,1
12,542,370,1
13,155,412,1
14,490,432,1
15,469,241,1
16,105,66,1
17,70,199,1
18,306,64,1
19,219,244,1
20,330,482,1
21,514,424,1
22,43,306,1
23,416,554,1
24,519,235,1
25,128,178,1
26,519,273,1
27,417,59,1
28,250,30,1
29,332,45,1
30,141,298,1
31,43,222,1
32,360,130,1
33,449,476,1
34,261,526,1
35,386,242,1
36,398,380,1
37,276,374,1
38,111,577,1
39,23,571,1
40,175,101,1
41,170,363,1
42,184,278,1
43,121,126,1
44,545,306,1
45,565,245,1
46,226,281,1
47,579,526,1
48,67,163,1
49,205,115,1
50,320,112,1
51,246,496,1
52,421,492,1
53,54,37,1
54,321,24,1
55,470,54,1
56,20,482,1
57,437,86,1
58,481,293,1
59,406,537,1
60,454,42,1
61,84,518,1
62,75,452,1
63,22,26,1
64,85,43,1
65,230,564,1
66,405,37,1
67,362,303,1
68,505,67,1
69,438,544,1
70,111,153,1
71,347,162,1
72,495,365,1
73,578,420,1
74,454,398,1
75,513,444,1
76,294,282,1
77,260,144,1
78,444,309,1
79,70,486,1
80,375,26,1
81,140,279,1
82,389,175,1
83,408,102,1
84,65,88,1
85,513,521,1
86,487,186,1
87,524,39,1
88,461,552,1
89,131,398,1
90,456,205,1
91,492,35,1
92,222,389,1
93,530,565,1
94,364,395,1
95,52,417,1
96,166,328,1
97,29,113,1
98,195,384,1
99,196,314,1
100,186,527,1
101,19,166,1
102,537,399,1
103,192,422,1
104,484,406,1
105,113,389,1
106,403,438,1
107,170,503,1
108,334,75,1
109,458,162,1
110,569,173,1
111,468,507,1
112,422,22,1
113,53,69,1
114,352,95,1
115,31,333,1
116,374,218,1
117,139,232,1
118,554,81,1
119,98,446,1
120,110,308,1
121,267,418,1
122,509,155,1
123,245,406,1
124,411,168,1
125,349,336,1
126,275,52,1
127,200,462,1
128,527,112,1
129,499,575,1
130,279,497,1
131,29,464,1
132,267,232,1
133,348,525,1
134,384,54,1
135,260,88,1
136,144,96,1
137,502,221,1
138,577,395,1
139,486,151,1
140,135,514,1
141,571,220,1
142,191,191,1
143,439,352,1
144,161,159,1
145,330,174,1
146,181,80,1
147,83,394,1
148,446,67,1
149,575,476,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
