### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,87,309,156.402,0,255,0,0,100,1,1
1,93,519,-144.409,0,255,0,0,100,1,1
2,80,149,136.128,0,255,0,0,100,1,1
3,231,322,-113.179,0,255,0,0,100,1,1
4,238,323,-141.015,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,43,418,1
1,385,394,1
2,162,479,1
3,36,253,1
4,371,236,1
5,552,447,1
6,343,59,1
7,138,522,1
8,393,263,1
9,294,66,1
10,295,400,1
11,351,306,1
12,531,140,1
13,325,39,1
14,565,149,1
15,511,514,1
16,195,71,1
17,406,500,1
18,427,349,1
19,222,139,1
20,136,543,1
21,147,44,1
22,326,402,1
23,430,308,1
24,478,326,1
25,246,547,1
26,291,555,1
27,250,276,1
28,89,335,1
29,143,252,1
30,236,472,1
31,551,309,1
32,469,367,1
33,448,444,1
34,552,255,1
35,208,154,1
36,380,541,1
37,267,353,1
38,161,107,1
39,25,230,1
40,513,384,1
41,114,500,1
42,100,417,1
43,322,80,1
44,339,273,1
45,579,232,1
46,97,159,1
47,456,325,1
48,113,102,1
49,463,96,1
50,226,40,1
51,150,441,1
52,37,306,1
53,527,218,1
54,522,574,1
55,72,263,1
56,53,327,1
57,305,479,1
58,214,340,1
59,313,524,1
60,72,110,1
61,534,103,1
62,354,247,1
63,66,284,1
64,266,530,1
65,168,208,1
66,252,203,1
67,135,149,1
68,383,186,1
69,419,48,1
70,534,179,1
71,184,39,1
72,79,493,1
73,203,244,1
74,332,210,1
75,82,54,1
76,410,202,1
77,542,330,1
78,195,270,1
79,250,225,1
80,451,506,1
81,527,497,1
82,537,279,1
83,206,520,1
84,581,294,1
85,234,339,1
86,25,73,1
87,377,460,1
88,108,567,1
89,76,370,1
90,503,49,1
91,537,561,1
92,329,178,1
93,362,402,1
94,208,384,1
95,224,396,1
96,55,120,1
97,113,176,1
98,166,553,1
99,232,358,1
100,277,238,1
101,51,534,1
102,397,115,1
103,460,258,1
104,362,558,1
105,34,399,1
106,507,467,1
107,26,443,1
108,536,435,1
109,97,446,1
110,241,299,1
111,519,343,1
112,285,146,1
113,554,519,1
114,100,248,1
115,463,289,1
116,300,367,1
117,264,69,1
118,343,462,1
119,256,405,1
120,574,320,1
121,556,404,1
122,58,32,1
123,142,565,1
124,417,146,1
125,231,77,1
126,491,85,1
127,350,98,1
128,445,169,1
129,308,285,1
130,313,148,1
131,391,93,1
132,511,114,1
133,284,111,1
134,279,440,1
135,203,115,1
136,361,278,1
137,500,331,1
138,147,285,1
139,469,519,1
140,163,70,1
141,172,153,1
142,202,356,1
143,135,457,1
144,19,424,1
145,76,438,1
146,189,372,1
147,579,117,1
148,267,460,1
149,489,142,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
