### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,457,415,17.1925,0,255,0,0,100,1,1
1,243,496,-101.445,0,255,0,0,100,1,1
2,435,437,44.6387,0,255,0,0,100,1,1
3,334,53,115.864,0,255,0,0,100,1,1
4,355,301,-21.5645,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,76,56,1
1,402,287,1
2,323,39,1
3,359,186,1
4,351,96,1
5,434,384,1
6,292,265,1
7,59,546,1
8,506,554,1
9,462,301,1
10,577,58,1
11,546,360,1
12,22,193,1
13,397,347,1
14,432,35,1
15,578,285,1
16,223,165,1
17,167,188,1
18,96,291,1
19,96,252,1
20,422,535,1
21,344,256,1
22,236,344,1
23,322,58,1
24,99,569,1
25,162,136,1
26,224,50,1
27,65,112,1
28,516,252,1
29,438,65,1
30,121,96,1
31,181,147,1
32,24,295,1
33,51,241,1
34,20,146,1
35,212,386,1
36,563,511,1
37,227,473,1
38,212,542,1
39,357,153,1
40,233,418,1
41,164,219,1
42,140,539,1
43,361,122,1
44,188,74,1
45,396,261,1
46,506,334,1
47,237,202,1
48,318,251,1
49,71,446,1
50,53,132,1
51,196,33,1
52,345,67,1
53,428,200,1
54,115,219,1
55,291,379,1
56,172,474,1
57,32,325,1
58,431,328,1
59,439,180,1
60,487,333,1
61,346,548,1
62,381,450,1
63,473,398,1
64,473,420,1
65,297,131,1
66,112,343,1
67,556,21,1
68,504,279,1
69,153,344,1
70,416,125,1
71,408,379,1
72,531,526,1
73,516,423,1
74,121,449,1
75,198,301,1
76,175,546,1
77,78,230,1
78,356,525,1
79,388,219,1
80,204,424,1
81,158,570,1
82,244,164,1
83,69,336,1
84,469,183,1
85,308,416,1
86,297,562,1
87,274,292,1
88,252,528,1
89,320,441,1
90,177,519,1
91,369,480,1
92,533,70,1
93,369,284,1
94,220,301,1
95,334,361,1
96,484,54,1
97,563,257,1
98,300,233,1
99,233,564,1
100,309,81,1
101,44,486,1
102,57,376,1
103,129,417,1
104,353,455,1
105,240,302,1
106,383,105,1
107,209,149,1
108,116,136,1
109,137,160,1
110,49,274,1
111,31,61,1
112,247,220,1
113,497,468,1
114,556,43,1
115,106,390,1
116,327,291,1
117,573,384,1
118,211,279,1
119,151,403,1
120,546,132,1
121,261,145,1
122,429,110,1
123,281,468,1
124,468,26,1
125,235,99,1
126,536,253,1
127,85,204,1
128,303,154,1
129,576,487,1
130,167,447,1
131,275,163,1
132,72,422,1
133,203,465,1
134,360,230,1
135,192,114,1
136,578,425,1
137,95,486,1
138,393,195,1
139,499,369,1
140,386,324,1
141,400,548,1
142,182,319,1
143,63,290,1
144,355,314,1
145,245,272,1
146,85,100,1
147,509,195,1
148,549,305,1
149,400,160,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
