### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,386,543,121.236,0,255,0,0,100,1,1
1,539,238,172.911,0,255,0,0,100,1,1
2,170,579,163.654,0,255,0,0,100,1,1
3,421,415,17.1581,0,255,0,0,100,1,1
4,436,327,30.9778,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,315,47,1
1,171,149,1
2,515,175,1
3,246,501,1
4,544,415,1
5,429,448,1
6,524,195,1
7,341,247,1
8,67,177,1
9,84,535,1
10,173,523,1
11,61,575,1
12,178,457,1
13,530,82,1
14,328,462,1
15,60,552,1
16,61,326,1
17,390,379,1
18,493,404,1
19,22,562,1
20,295,529,1
21,92,453,1
22,183,183,1
23,415,522,1
24,244,184,1
25,152,493,1
26,217,492,1
27,296,428,1
28,562,122,1
29,277,565,1
30,305,141,1
31,355,413,1
32,208,472,1
33,546,338,1
34,532,216,1
35,382,245,1
36,396,488,1
37,332,309,1
38,34,314,1
39,155,163,1
40,482,348,1
41,409,96,1
42,65,66,1
43,22,377,1
44,103,22,1
45,217,381,1
46,549,140,1
47,87,119,1
48,80,246,1
49,501,62,1
50,95,352,1
51,273,301,1
52,380,190,1
53,482,237,1
54,437,473,1
55,350,499,1
56,243,306,1
57,455,214,1
58,309,396,1
59,481,494,1
60,519,300,1
61,204,164,1
62,350,73,1
63,232,214,1
64,533,497,1
65,485,465,1
66,480,141,1
67,143,40,1
68,70,463,1
69,540,282,1
70,248,445,1
71,293,314,1
72,207,302,1
73,350,26,1
74,336,432,1
75,346,53,1
76,345,167,1
77,568,143,1
78,435,190,1
79,455,447,1
80,35,355,1
81,232,263,1
82,392,114,1
83,38,479,1
84,233,410,1
85,514,101,1
86,51,509,1
87,579,58,1
88,543,260,1
89,363,363,1
90,298,232,1
91,397,165,1
92,581,459,1
93,561,277,1
94,59,255,1
95,62,35,1
96,139,98,1
97,20,106,1
98,372,211,1
99,263,377,1
100,444,28,1
101,494,32,1
102,291,99,1
103,417,40,1
104,87,97,1
105,190,370,1
106,360,278,1
107,162,395,1
108,414,304,1
109,151,211,1
110,415,479,1
111,571,380,1
112,26,253,1
113,548,459,1
114,27,512,1
115,491,373,1
116,153,278,1
117,313,368,1
118,162,56,1
119,158,129,1
120,100,284,1
121,272,47,1
122,496,207,1
123,518,130,1
124,481,111,1
125,461,498,1
126,23,279,1
127,231,96,1
128,293,121,1
129,217,523,1
130,40,107,1
131,450,47,1
132,201,235,1
133,285,176,1
134,61,360,1
135,83,272,1
136,492,529,1
137,181,47,1
138,242,233,1
139,490,292,1
140,319,251,1
141,265,156,1
142,402,346,1
143,462,330,1
144,180,247,1
145,108,58,1
146,421,135,1
147,35,147,1
148,204,215,1
149,143,363,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
