### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,254,197,-38.941,0,255,0,0,100,1,1
1,135,360,94.076,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,307,254,1
1,223,53,1
2,557,376,1
3,572,53,1
4,578,559,1
5,142,152,1
6,202,287,1
7,449,60,1
8,285,438,1
9,418,308,1
10,521,539,1
11,381,533,1
12,347,102,1
13,287,143,1
14,545,192,1
15,453,23,1
16,395,253,1
17,568,426,1
18,284,265,1
19,559,103,1
20,260,561,1
21,528,492,1
22,85,470,1
23,178,101,1
24,288,483,1
25,539,262,1
26,423,128,1
27,310,192,1
28,33,532,1
29,352,460,1
30,210,137,1
31,569,124,1
32,491,86,1
33,69,501,1
34,146,129,1
35,291,29,1
36,555,536,1
37,557,490,1
38,297,61,1
39,401,353,1
40,567,203,1
41,48,44,1
42,454,336,1
43,496,29,1
44,441,261,1
45,215,270,1
46,41,390,1
47,394,94,1
48,344,543,1
49,167,547,1
50,184,213,1
51,18,263,1
52,103,86,1
53,499,284,1
54,442,574,1
55,453,424,1
56,92,373,1
57,39,459,1
58,311,478,1
59,472,163,1
60,443,143,1
61,208,498,1
62,336,220,1
63,185,381,1
64,479,187,1
65,169,339,1
66,269,232,1
67,457,468,1
68,252,316,1
69,94,313,1
70,133,190,1
71,320,297,1
72,490,139,1
73,65,570,1
74,514,212,1
75,80,447,1
76,224,392,1
77,63,543,1
78,507,569,1
79,237,476,1
80,172,165,1
81,544,223,1
82,507,505,1
83,327,83,1
84,277,177,1
85,428,552,1
86,305,211,1
87,371,55,1
88,395,415,1
89,373,492,1
90,173,459,1
91,194,539,1
92,440,310,1
93,477,274,1
94,190,149,1
95,366,95,1
96,209,360,1
97,405,144,1
98,384,392,1
99,125,422,1
100,152,380,1
101,110,108,1
102,218,537,1
103,520,136,1
104,339,374,1
105,414,60,1
106,158,108,1
107,399,498,1
108,498,464,1
109,548,576,1
110,252,390,1
111,274,414,1
112,520,359,1
113,46,250,1
114,237,357,1
115,471,323,1
116,174,245,1
117,106,33,1
118,32,85,1
119,573,474,1
120,424,156,1
121,26,433,1
122,22,240,1
123,187,322,1
124,347,190,1
125,413,463,1
126,188,272,1
127,51,21,1
128,508,186,1
129,105,334,1
130,295,119,1
131,27,414,1
132,78,122,1
133,134,240,1
134,451,109,1
135,512,98,1
136,344,271,1
137,284,216,1
138,247,245,1
139,124,355,1
140,441,365,1
141,79,397,1
142,389,475,1
143,80,356,1
144,470,369,1
145,332,397,1
146,416,374,1
147,235,228,1
148,445,85,1
149,327,523,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
