### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,290,375,75.1897,0,255,0,0,100,1,1
1,378,482,149.552,0,255,0,0,100,1,1
2,378,439,96.5884,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,190,552,1
1,166,512,1
2,85,369,1
3,194,25,1
4,219,212,1
5,133,449,1
6,440,43,1
7,60,577,1
8,289,458,1
9,467,163,1
10,322,338,1
11,545,31,1
12,359,204,1
13,63,421,1
14,80,302,1
15,80,34,1
16,166,540,1
17,573,409,1
18,321,279,1
19,544,133,1
20,439,123,1
21,520,125,1
22,321,364,1
23,281,322,1
24,477,476,1
25,22,155,1
26,543,555,1
27,142,508,1
28,550,165,1
29,291,507,1
30,23,91,1
31,351,334,1
32,474,370,1
33,42,472,1
34,255,273,1
35,415,303,1
36,209,155,1
37,247,539,1
38,42,392,1
39,194,402,1
40,157,155,1
41,27,432,1
42,91,488,1
43,197,332,1
44,526,330,1
45,523,373,1
46,101,170,1
47,530,414,1
48,409,406,1
49,31,67,1
50,35,227,1
51,580,252,1
52,328,315,1
53,483,428,1
54,482,72,1
55,132,236,1
56,127,326,1
57,223,313,1
58,372,99,1
59,200,494,1
60,263,484,1
61,189,78,1
62,489,345,1
63,51,30,1
64,433,365,1
65,141,189,1
66,394,527,1
67,97,214,1
68,245,577,1
69,248,460,1
70,354,555,1
71,166,46,1
72,170,125,1
73,463,317,1
74,44,449,1
75,180,191,1
76,153,81,1
77,497,364,1
78,465,206,1
79,175,334,1
80,225,534,1
81,501,261,1
82,328,204,1
83,63,201,1
84,395,573,1
85,287,416,1
86,291,546,1
87,42,290,1
88,436,233,1
89,565,186,1
90,339,248,1
91,78,101,1
92,514,152,1
93,412,162,1
94,89,393,1
95,68,479,1
96,373,390,1
97,259,439,1
98,498,462,1
99,391,149,1
100,319,176,1
101,580,62,1
102,423,73,1
103,294,252,1
104,173,367,1
105,194,104,1
106,436,560,1
107,551,346,1
108,274,568,1
109,392,390,1
110,516,512,1
111,310,518,1
112,133,164,1
113,509,315,1
114,514,197,1
115,291,96,1
116,259,37,1
117,555,379,1
118,348,282,1
119,122,93,1
120,129,291,1
121,129,370,1
122,463,442,1
123,551,216,1
124,152,490,1
125,328,482,1
126,413,121,1
127,546,532,1
128,213,412,1
129,177,287,1
130,264,335,1
131,446,429,1
132,252,91,1
133,490,43,1
134,262,139,1
135,282,176,1
136,177,481,1
137,120,217,1
138,136,551,1
139,579,231,1
140,473,234,1
141,408,201,1
142,43,172,1
143,295,137,1
144,100,240,1
145,459,47,1
146,491,143,1
147,85,546,1
148,518,439,1
149,456,390,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
