### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,121,62,7.23717,0,255,0,0,100,1,1
1,548,180,48.5326,0,255,0,0,100,1,1
2,152,191,-93.6425,0,255,0,0,100,1,1
3,16,262,-159.611,0,255,0,0,100,1,1
4,360,20,-154.79,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,562,31,1
1,166,101,1
2,575,486,1
3,364,55,1
4,498,144,1
5,160,405,1
6,421,165,1
7,305,91,1
8,385,439,1
9,539,158,1
10,471,63,1
11,528,32,1
12,319,457,1
13,464,205,1
14,372,75,1
15,119,478,1
16,48,213,1
17,470,494,1
18,218,248,1
19,157,546,1
20,570,376,1
21,518,376,1
22,562,530,1
23,149,182,1
24,183,557,1
25,481,357,1
26,257,118,1
27,39,529,1
28,493,410,1
29,115,73,1
30,75,439,1
31,101,206,1
32,368,130,1
33,401,399,1
34,213,300,1
35,483,104,1
36,506,462,1
37,178,382,1
38,179,478,1
39,107,569,1
40,160,340,1
41,446,463,1
42,488,263,1
43,207,530,1
44,251,490,1
45,139,293,1
46,371,371,1
47,44,384,1
48,95,90,1
49,297,412,1
50,319,148,1
51,572,112,1
52,289,527,1
53,395,517,1
54,554,454,1
55,108,368,1
56,62,324,1
57,576,90,1
58,423,495,1
59,490,51,1
60,340,238,1
61,219,385,1
62,59,543,1
63,340,477,1
64,248,73,1
65,320,45,1
66,298,379,1
67,415,326,1
68,444,424,1
69,120,154,1
70,309,26,1
71,415,377,1
72,356,502,1
73,391,266,1
74,509,42,1
75,509,422,1
76,137,562,1
77,54,464,1
78,462,359,1
79,271,170,1
80,511,551,1
81,498,386,1
82,80,56,1
83,252,201,1
84,32,267,1
85,469,418,1
86,89,171,1
87,69,187,1
88,281,365,1
89,185,532,1
90,305,69,1
91,47,34,1
92,412,247,1
93,401,216,1
94,170,181,1
95,208,98,1
96,518,288,1
97,510,76,1
98,251,391,1
99,95,441,1
100,315,205,1
101,377,404,1
102,422,465,1
103,284,305,1
104,398,538,1
105,396,187,1
106,577,549,1
107,330,544,1
108,267,97,1
109,387,43,1
110,544,125,1
111,140,446,1
112,82,501,1
113,285,43,1
114,350,161,1
115,334,401,1
116,573,278,1
117,469,444,1
118,307,128,1
119,227,358,1
120,251,553,1
121,285,119,1
122,242,280,1
123,504,207,1
124,490,285,1
125,343,97,1
126,166,290,1
127,122,110,1
128,339,188,1
129,518,172,1
130,538,344,1
131,423,60,1
132,562,159,1
133,293,179,1
134,529,234,1
135,276,280,1
136,182,241,1
137,442,509,1
138,484,558,1
139,41,310,1
140,101,321,1
141,266,533,1
142,148,26,1
143,171,156,1
144,164,444,1
145,350,39,1
146,206,61,1
147,278,502,1
148,44,333,1
149,238,521,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
