### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,215,405,142.91,0,255,0,0,100,1,1
1,82,445,-131.797,0,255,0,0,100,1,1
2,148,326,-4.58439,0,255,0,0,100,1,1
3,266,467,40.7923,0,255,0,0,100,1,1
4,538,118,155.856,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,373,195,1
1,387,572,1
2,566,338,1
3,319,389,1
4,318,79,1
5,96,84,1
6,75,319,1
7,255,303,1
8,137,436,1
9,349,255,1
10,342,169,1
11,506,553,1
12,106,230,1
13,35,481,1
14,137,209,1
15,176,451,1
16,164,97,1
17,514,87,1
18,68,554,1
19,557,263,1
20,349,41,1
21,181,494,1
22,518,295,1
23,147,58,1
24,356,222,1
25,570,68,1
26,140,239,1
27,443,242,1
28,242,74,1
29,116,157,1
30,249,46,1
31,263,487,1
32,497,298,1
33,393,31,1
34,561,242,1
35,524,520,1
36,334,403,1
37,295,553,1
38,56,103,1
39,287,486,1
40,578,496,1
41,554,200,1
42,430,107,1
43,330,449,1
44,265,418,1
45,103,563,1
46,128,316,1
47,214,368,1
48,447,144,1
49,50,192,1
50,380,159,1
51,114,187,1
52,574,375,1
53,468,295,1
54,365,294,1
55,422,329,1
56,386,319,1
57,252,239,1
58,338,283,1
59,302,210,1
60,334,514,1
61,481,65,1
62,310,299,1
63,199,566,1
64,74,360,1
65,103,294,1
66,432,172,1
67,399,171,1
68,101,466,1
69,393,143,1
70,440,406,1
71,70,38,1
72,155,511,1
73,530,218,1
74,54,468,1
75,559,566,1
76,76,522,1
77,189,471,1
78,330,251,1
79,571,186,1
80,411,511,1
81,170,232,1
82,211,548,1
83,336,428,1
84,436,541,1
85,62,415,1
86,424,134,1
87,550,531,1
88,212,476,1
89,44,218,1
90,279,536,1
91,54,503,1
92,321,229,1
93,164,210,1
94,321,547,1
95,556,480,1
96,159,351,1
97,25,185,1
98,19,63,1
99,221,260,1
100,84,189,1
101,64,384,1
102,570,434,1
103,308,56,1
104,281,32,1
105,219,163,1
106,71,263,1
107,502,47,1
108,539,158,1
109,525,430,1
110,418,472,1
111,424,495,1
112,157,185,1
113,251,441,1
114,178,340,1
115,453,528,1
116,144,102,1
117,222,240,1
118,175,569,1
119,199,523,1
120,24,297,1
121,272,131,1
122,207,322,1
123,242,406,1
124,291,297,1
125,228,279,1
126,443,571,1
127,241,517,1
128,173,73,1
129,407,197,1
130,414,50,1
131,63,577,1
132,62,232,1
133,109,409,1
134,414,258,1
135,554,105,1
136,342,368,1
137,124,128,1
138,354,137,1
139,194,85,1
140,523,361,1
141,442,341,1
142,358,530,1
143,414,238,1
144,47,348,1
145,272,276,1
146,241,201,1
147,425,377,1
148,240,259,1
149,41,53,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
