### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,274,171,97.2835,0,255,0,0,100,1,1
1,131,562,153.966,0,255,0,0,100,1,1
2,10,167,-98.8168,0,255,0,0,100,1,1
3,320,314,-167.64,0,255,0,0,100,1,1
4,112,489,122.845,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,238,530,1
1,556,178,1
2,98,564,1
3,509,519,1
4,244,498,1
5,233,554,1
6,494,381,1
7,393,96,1
8,238,206,1
9,407,32,1
10,520,392,1
11,383,292,1
12,223,75,1
13,65,119,1
14,407,409,1
15,39,522,1
16,381,230,1
17,515,73,1
18,358,558,1
19,200,42,1
20,298,311,1
21,34,300,1
22,502,299,1
23,574,564,1
24,266,244,1
25,499,546,1
26,141,214,1
27,102,28,1
28,383,177,1
29,154,477,1
30,483,180,1
31,107,171,1
32,446,576,1
33,21,194,1
34,167,82,1
35,147,108,1
36,112,204,1
37,540,139,1
38,451,495,1
39,442,32,1
40,563,369,1
41,269,416,1
42,211,135,1
43,157,34,1
44,232,320,1
45,562,121,1
46,573,163,1
47,419,274,1
48,90,135,1
49,494,433,1
50,192,537,1
51,125,442,1
52,448,268,1
53,285,113,1
54,231,463,1
55,544,473,1
56,472,311,1
57,373,427,1
58,472,512,1
59,221,54,1
60,540,453,1
61,398,487,1
62,308,415,1
63,112,271,1
64,152,329,1
65,71,261,1
66,306,210,1
67,307,113,1
68,88,293,1
69,478,558,1
70,261,196,1
71,561,328,1
72,404,230,1
73,206,237,1
74,89,88,1
75,228,263,1
76,501,234,1
77,420,250,1
78,103,505,1
79,473,211,1
80,291,488,1
81,448,555,1
82,373,377,1
83,536,242,1
84,448,171,1
85,538,103,1
86,258,30,1
87,192,412,1
88,178,469,1
89,18,459,1
90,368,87,1
91,419,552,1
92,404,186,1
93,254,60,1
94,335,309,1
95,123,56,1
96,31,267,1
97,178,35,1
98,35,52,1
99,366,247,1
100,444,527,1
101,557,55,1
102,313,64,1
103,537,534,1
104,301,451,1
105,439,88,1
106,537,340,1
107,293,556,1
108,569,76,1
109,65,368,1
110,578,227,1
111,276,308,1
112,40,323,1
113,510,141,1
114,157,357,1
115,336,129,1
116,258,563,1
117,501,341,1
118,377,196,1
119,270,462,1
120,317,273,1
121,569,461,1
122,21,74,1
123,345,426,1
124,152,284,1
125,469,21,1
126,354,36,1
127,416,305,1
128,458,82,1
129,288,58,1
130,453,116,1
131,313,142,1
132,354,466,1
133,390,525,1
134,246,112,1
135,64,51,1
136,527,40,1
137,96,526,1
138,438,152,1
139,295,340,1
140,434,203,1
141,349,207,1
142,551,289,1
143,473,406,1
144,137,507,1
145,317,468,1
146,185,313,1
147,50,241,1
148,341,537,1
149,229,174,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
