### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,180,278,146.781,0,255,0,0,100,1,1
1,339,321,-99.8824,0,255,0,0,100,1,1
2,576,93,83.2262,0,255,0,0,100,1,1
3,496,471,-36.5222,0,255,0,0,100,1,1
4,364,578,-120.781,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,148,158,1
1,195,431,1
2,138,226,1
3,329,301,1
4,247,475,1
5,436,42,1
6,526,69,1
7,252,62,1
8,278,83,1
9,209,490,1
10,538,470,1
11,223,118,1
12,383,114,1
13,468,98,1
14,58,415,1
15,64,258,1
16,471,418,1
17,351,75,1
18,219,255,1
19,464,128,1
20,152,414,1
21,563,452,1
22,181,164,1
23,455,507,1
24,170,121,1
25,157,577,1
26,63,143,1
27,412,550,1
28,529,496,1
29,537,384,1
30,398,70,1
31,526,335,1
32,523,430,1
33,430,76,1
34,270,277,1
35,363,479,1
36,151,113,1
37,180,479,1
38,245,179,1
39,214,213,1
40,284,500,1
41,273,187,1
42,223,278,1
43,387,369,1
44,327,429,1
45,309,400,1
46,36,437,1
47,135,313,1
48,338,118,1
49,350,501,1
50,563,234,1
51,158,84,1
52,469,77,1
53,270,577,1
54,379,153,1
55,565,410,1
56,365,428,1
57,23,60,1
58,129,429,1
59,238,80,1
60,118,55,1
61,46,60,1
62,534,217,1
63,436,340,1
64,413,189,1
65,383,514,1
66,100,528,1
67,87,76,1
68,49,345,1
69,103,403,1
70,68,59,1
71,331,363,1
72,298,92,1
73,407,46,1
74,211,577,1
75,59,306,1
76,339,462,1
77,309,51,1
78,255,220,1
79,237,511,1
80,512,550,1
81,80,418,1
82,201,541,1
83,45,156,1
84,80,218,1
85,82,145,1
86,379,38,1
87,432,319,1
88,169,34,1
89,27,119,1
90,554,187,1
91,53,528,1
92,267,44,1
93,459,531,1
94,156,280,1
95,267,297,1
96,65,21,1
97,491,385,1
98,97,304,1
99,311,550,1
100,270,476,1
101,390,178,1
102,107,83,1
103,318,226,1
104,368,460,1
105,85,275,1
106,48,224,1
107,248,533,1
108,575,538,1
109,450,425,1
110,466,457,1
111,431,248,1
112,118,299,1
113,219,397,1
114,447,553,1
115,242,427,1
116,449,216,1
117,354,550,1
118,559,576,1
119,214,431,1
120,142,487,1
121,200,378,1
122,403,252,1
123,258,99,1
124,27,370,1
125,354,391,1
126,315,252,1
127,525,33,1
128,455,250,1
129,318,329,1
130,446,575,1
131,351,147,1
132,491,41,1
133,426,118,1
134,193,267,1
135,153,133,1
136,138,337,1
137,71,107,1
138,278,247,1
139,79,363,1
140,181,232,1
141,149,464,1
142,39,463,1
143,248,244,1
144,264,348,1
145,110,570,1
146,215,523,1
147,172,297,1
148,30,520,1
149,271,148,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
