### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,167,110,-45.6619,0,255,0,0,100,1,1
1,237,397,130.937,0,255,0,0,100,1,1
2,560,227,-122.838,0,255,0,0,100,1,1
3,187,364,-136.766,0,255,0,0,100,1,1
4,446,349,20.3444,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,87,220,1
1,458,311,1
2,329,553,1
3,406,362,1
4,506,364,1
5,249,169,1
6,128,390,1
7,576,521,1
8,547,117,1
9,208,458,1
10,485,261,1
11,20,211,1
12,194,294,1
13,244,550,1
14,254,197,1
15,147,432,1
16,333,123,1
17,224,97,1
18,377,215,1
19,86,435,1
20,261,483,1
21,235,203,1
22,295,333,1
23,83,86,1
24,395,247,1
25,281,444,1
26,576,130,1
27,278,470,1
28,56,540,1
29,401,62,1
30,226,283,1
31,439,397,1
32,547,354,1
33,288,299,1
34,529,187,1
35,274,211,1
36,121,433,1
37,478,316,1
38,319,486,1
39,81,532,1
40,373,126,1
41,48,365,1
42,512,264,1
43,564,53,1
44,56,300,1
45,134,518,1
46,519,293,1
47,388,150,1
48,554,309,1
49,307,26,1
50,437,100,1
51,510,50,1
52,22,308,1
53,78,559,1
54,372,33,1
55,179,237,1
56,98,357,1
57,306,53,1
58,212,396,1
59,218,521,1
60,425,228,1
61,57,240,1
62,546,375,1
63,347,37,1
64,333,441,1
65,175,47,1
66,109,140,1
67,37,412,1
68,114,77,1
69,167,21,1
70,472,144,1
71,86,469,1
72,490,460,1
73,158,66,1
74,555,415,1
75,370,551,1
76,82,342,1
77,307,242,1
78,218,437,1
79,331,171,1
80,444,208,1
81,27,355,1
82,464,164,1
83,349,526,1
84,127,188,1
85,239,241,1
86,577,267,1
87,25,156,1
88,567,76,1
89,104,577,1
90,486,219,1
91,359,391,1
92,411,279,1
93,445,247,1
94,542,223,1
95,463,485,1
96,83,384,1
97,188,377,1
98,409,520,1
99,265,389,1
100,479,198,1
101,492,499,1
102,195,124,1
103,170,550,1
104,37,329,1
105,374,485,1
106,497,165,1
107,295,565,1
108,153,254,1
109,351,471,1
110,73,33,1
111,249,403,1
112,211,360,1
113,118,118,1
114,328,217,1
115,266,352,1
116,22,523,1
117,504,334,1
118,128,99,1
119,444,278,1
120,18,451,1
121,387,81,1
122,206,544,1
123,110,239,1
124,92,46,1
125,170,140,1
126,516,242,1
127,509,399,1
128,269,301,1
129,382,279,1
130,29,380,1
131,291,168,1
132,458,453,1
133,307,547,1
134,527,482,1
135,567,499,1
136,502,73,1
137,55,474,1
138,390,332,1
139,401,451,1
140,373,174,1
141,392,540,1
142,547,576,1
143,229,74,1
144,259,531,1
145,308,363,1
146,532,525,1
147,63,414,1
148,205,495,1
149,183,468,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
