### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,175,581,117.797,0,255,0,0,100,1,1
1,267,71,170.134,0,255,0,0,100,1,1
2,158,577,-146.818,0,255,0,0,100,1,1
3,198,122,-162.624,0,255,0,0,100,1,1
4,201,195,-177.444,0,255,0,0,100,1,1
5,238,390,84.5518,0,255,0,0,100,1,1
6,114,425,-178.357,0,255,0,0,100,1,1
7,418,252,-53.555,0,255,0,0,100,1,1
8,501,408,-147.269,0,255,0,0,100,1,1
9,311,457,5.52399,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,295,341,1
1,462,51,1
2,284,279,1
3,24,148,1
4,291,520,1
5,314,64,1
6,76,494,1
7,447,413,1
8,356,316,1
9,162,316,1
10,96,418,1
11,284,256,1
12,456,290,1
13,200,466,1
14,426,161,1
15,486,367,1
16,72,321,1
17,155,138,1
18,174,202,1
19,543,133,1
20,188,236,1
21,107,219,1
22,352,191,1
23,259,135,1
24,323,551,1
25,398,514,1
26,280,67,1
27,553,351,1
28,177,512,1
29,533,80,1
30,441,571,1
31,179,183,1
32,158,275,1
33,258,421,1
34,564,229,1
35,228,339,1
36,182,479,1
37,251,494,1
38,518,487,1
39,308,573,1
40,517,145,1
41,191,138,1
42,383,354,1
43,507,286,1
44,577,433,1
45,559,313,1
46,133,239,1
47,392,380,1
48,129,551,1
49,385,276,1
50,51,454,1
51,69,39,1
52,179,287,1
53,555,210,1
54,243,27,1
55,352,412,1
56,554,503,1
57,186,26,1
58,489,29,1
59,136,49,1
60,496,265,1
61,27,339,1
62,118,379,1
63,453,196,1
64,332,238,1
65,465,243,1
66,463,369,1
67,254,265,1
68,172,121,1
69,140,314,1
70,434,269,1
71,485,484,1
72,366,117,1
73,53,205,1
74,485,518,1
75,367,530,1
76,207,361,1
77,50,261,1
78,57,377,1
79,194,496,1
80,333,76,1
81,18,539,1
82,256,191,1
83,544,416,1
84,59,517,1
85,414,349,1
86,217,442,1
87,387,178,1
88,521,529,1
89,476,282,1
90,42,429,1
91,514,429,1
92,277,116,1
93,20,435,1
94,477,138,1
95,419,102,1
96,259,91,1
97,513,48,1
98,69,414,1
99,484,190,1
100,495,341,1
101,93,540,1
102,434,68,1
103,352,168,1
104,85,362,1
105,411,189,1
106,135,520,1
107,426,550,1
108,377,201,1
109,246,211,1
110,339,491,1
111,407,143,1
112,49,37,1
113,160,362,1
114,364,498,1
115,60,304,1
116,40,562,1
117,435,246,1
118,23,170,1
119,95,254,1
120,194,563,1
121,136,267,1
122,99,281,1
123,390,77,1
124,176,398,1
125,425,488,1
126,74,95,1
127,281,555,1
128,436,45,1
129,246,472,1
130,537,52,1
131,311,270,1
132,284,479,1
133,387,316,1
134,389,462,1
135,131,479,1
136,232,177,1
137,56,86,1
138,294,206,1
139,386,247,1
140,208,79,1
141,200,426,1
142,177,100,1
143,87,163,1
144,165,443,1
145,474,465,1
146,217,108,1
147,306,314,1
148,545,242,1
149,366,253,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
