### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,124,67,-85.1832,0,255,0,0,100,1,1
1,573,536,-107.704,0,255,0,0,100,1,1
2,365,160,32.2364,0,255,0,0,100,1,1
3,460,49,-102.286,0,255,0,0,100,1,1
4,402,541,-43.0374,0,255,0,0,100,1,1
5,581,388,-166.117,0,255,0,0,100,1,1
6,334,213,144.803,0,255,0,0,100,1,1
7,437,109,-99.134,0,255,0,0,100,1,1
8,129,58,-113.213,0,255,0,0,100,1,1
9,369,201,129.062,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,59,357,1
1,455,354,1
2,406,402,1
3,265,476,1
4,260,562,1
5,225,460,1
6,474,156,1
7,20,418,1
8,207,131,1
9,248,520,1
10,227,148,1
11,158,256,1
12,451,54,1
13,268,425,1
14,83,42,1
15,72,453,1
16,257,233,1
17,123,328,1
18,310,86,1
19,51,459,1
20,416,350,1
21,107,85,1
22,418,474,1
23,495,420,1
24,84,422,1
25,189,413,1
26,476,519,1
27,157,68,1
28,56,274,1
29,92,370,1
30,488,333,1
31,42,502,1
32,269,362,1
33,243,318,1
34,89,520,1
35,533,325,1
36,189,304,1
37,24,482,1
38,444,374,1
39,359,124,1
40,56,378,1
41,318,381,1
42,369,371,1
43,194,217,1
44,393,512,1
45,461,450,1
46,287,114,1
47,401,336,1
48,281,505,1
49,440,126,1
50,157,159,1
51,219,388,1
52,74,246,1
53,300,223,1
54,167,137,1
55,383,468,1
56,446,420,1
57,381,418,1
58,409,309,1
59,489,313,1
60,222,201,1
61,160,417,1
62,77,573,1
63,508,519,1
64,293,254,1
65,556,244,1
66,266,187,1
67,573,69,1
68,416,216,1
69,334,536,1
70,36,199,1
71,415,93,1
72,326,567,1
73,442,194,1
74,199,507,1
75,570,203,1
76,311,154,1
77,414,268,1
78,117,482,1
79,360,73,1
80,474,477,1
81,79,495,1
82,396,375,1
83,420,66,1
84,301,33,1
85,345,256,1
86,513,173,1
87,288,548,1
88,67,167,1
89,23,282,1
90,372,487,1
91,150,104,1
92,198,187,1
93,387,571,1
94,417,524,1
95,547,65,1
96,339,44,1
97,424,545,1
98,386,60,1
99,97,399,1
100,554,157,1
101,163,377,1
102,467,127,1
103,254,263,1
104,114,168,1
105,95,249,1
106,219,33,1
107,338,237,1
108,134,206,1
109,290,423,1
110,545,501,1
111,59,312,1
112,314,412,1
113,497,230,1
114,101,504,1
115,104,310,1
116,421,129,1
117,519,202,1
118,320,183,1
119,209,301,1
120,363,23,1
121,520,281,1
122,404,185,1
123,499,400,1
124,128,433,1
125,139,352,1
126,546,227,1
127,430,177,1
128,513,370,1
129,167,530,1
130,226,508,1
131,315,265,1
132,200,485,1
133,115,244,1
134,531,151,1
135,152,396,1
136,334,332,1
137,128,573,1
138,98,479,1
139,478,380,1
140,332,150,1
141,228,531,1
142,85,550,1
143,178,576,1
144,537,572,1
145,333,64,1
146,363,187,1
147,258,120,1
148,207,69,1
149,562,269,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
