### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,217,485,123.722,0,255,0,0,100,1,1
1,292,372,26.4615,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,542,401,1
1,552,193,1
2,49,552,1
3,495,176,1
4,543,340,1
5,524,168,1
6,296,341,1
7,501,457,1
8,62,120,1
9,566,172,1
10,260,461,1
11,436,415,1
12,278,550,1
13,313,459,1
14,173,42,1
15,240,434,1
16,296,470,1
17,86,227,1
18,357,99,1
19,555,566,1
20,170,256,1
21,230,365,1
22,409,266,1
23,540,476,1
24,207,167,1
25,326,156,1
26,559,243,1
27,70,340,1
28,28,92,1
29,328,256,1
30,134,306,1
31,243,149,1
32,181,461,1
33,192,221,1
34,396,356,1
35,424,243,1
36,303,501,1
37,389,230,1
38,115,132,1
39,284,257,1
40,579,279,1
41,91,317,1
42,367,555,1
43,394,549,1
44,284,519,1
45,466,37,1
46,390,302,1
47,460,231,1
48,419,401,1
49,101,156,1
50,87,444,1
51,119,419,1
52,392,463,1
53,299,397,1
54,234,78,1
55,496,340,1
56,146,535,1
57,27,176,1
58,368,42,1
59,369,345,1
60,243,404,1
61,418,174,1
62,174,415,1
63,508,25,1
64,448,297,1
65,567,94,1
66,444,344,1
67,516,550,1
68,221,331,1
69,111,532,1
70,49,521,1
71,410,52,1
72,122,289,1
73,459,412,1
74,91,108,1
75,481,273,1
76,471,440,1
77,409,329,1
78,86,291,1
79,565,403,1
80,492,137,1
81,85,537,1
82,218,252,1
83,147,367,1
84,354,414,1
85,503,431,1
86,508,493,1
87,108,504,1
88,256,370,1
89,179,278,1
90,266,268,1
91,125,75,1
92,19,377,1
93,398,33,1
94,52,231,1
95,450,175,1
96,171,93,1
97,283,486,1
98,515,102,1
99,387,126,1
100,542,148,1
101,323,477,1
102,484,559,1
103,146,557,1
104,110,181,1
105,172,234,1
106,484,371,1
107,510,57,1
108,294,218,1
109,334,128,1
110,317,572,1
111,570,551,1
112,505,227,1
113,204,575,1
114,165,144,1
115,49,210,1
116,581,371,1
117,404,567,1
118,142,482,1
119,541,92,1
120,184,71,1
121,449,71,1
122,282,441,1
123,22,43,1
124,332,392,1
125,225,460,1
126,581,116,1
127,84,470,1
128,577,219,1
129,30,558,1
130,94,573,1
131,351,569,1
132,211,90,1
133,181,325,1
134,527,234,1
135,466,255,1
136,216,550,1
137,337,524,1
138,386,505,1
139,100,483,1
140,524,193,1
141,78,69,1
142,240,267,1
143,133,171,1
144,399,379,1
145,209,136,1
146,535,67,1
147,80,246,1
148,181,119,1
149,235,28,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
