### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,241,78,27.5819,0,255,0,0,100,1,1
1,141,439,-120.286,0,255,0,0,100,1,1
2,474,353,90.7693,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,225,99,1
1,352,488,1
2,271,569,1
3,46,283,1
4,453,126,1
5,406,411,1
6,355,309,1
7,56,50,1
8,261,37,1
9,491,379,1
10,128,139,1
11,312,474,1
12,471,480,1
13,485,68,1
14,288,251,1
15,283,451,1
16,91,445,1
17,340,542,1
18,355,118,1
19,512,443,1
20,316,566,1
21,392,185,1
22,306,78,1
23,178,162,1
24,168,435,1
25,282,161,1
26,336,357,1
27,367,514,1
28,324,390,1
29,375,77,1
30,257,225,1
31,69,397,1
32,359,553,1
33,513,112,1
34,59,251,1
35,410,509,1
36,469,169,1
37,158,367,1
38,257,351,1
39,93,129,1
40,392,286,1
41,569,151,1
42,293,45,1
43,48,320,1
44,224,389,1
45,557,83,1
46,579,476,1
47,173,128,1
48,221,52,1
49,263,110,1
50,172,456,1
51,54,138,1
52,472,48,1
53,89,569,1
54,125,569,1
55,486,459,1
56,263,457,1
57,33,419,1
58,403,313,1
59,86,419,1
60,21,65,1
61,272,92,1
62,444,160,1
63,419,350,1
64,348,52,1
65,21,389,1
66,493,438,1
67,437,198,1
68,243,516,1
69,317,51,1
70,377,414,1
71,472,562,1
72,189,36,1
73,258,532,1
74,110,409,1
75,98,25,1
76,29,96,1
77,78,303,1
78,41,351,1
79,225,478,1
80,173,351,1
81,393,546,1
82,275,212,1
83,579,81,1
84,296,114,1
85,405,369,1
86,530,81,1
87,455,256,1
88,525,370,1
89,256,416,1
90,579,46,1
91,63,489,1
92,185,525,1
93,237,172,1
94,264,262,1
95,106,105,1
96,507,247,1
97,352,460,1
98,135,48,1
99,466,25,1
100,487,214,1
101,189,415,1
102,366,395,1
103,344,78,1
104,308,352,1
105,155,261,1
106,194,442,1
107,134,360,1
108,318,290,1
109,340,337,1
110,27,460,1
111,455,288,1
112,148,459,1
113,406,266,1
114,116,510,1
115,365,265,1
116,237,563,1
117,178,502,1
118,171,201,1
119,201,340,1
120,351,141,1
121,338,28,1
122,318,500,1
123,331,202,1
124,318,99,1
125,167,573,1
126,545,147,1
127,567,397,1
128,212,77,1
129,425,323,1
130,561,331,1
131,148,537,1
132,82,165,1
133,91,333,1
134,209,416,1
135,250,146,1
136,27,235,1
137,518,546,1
138,580,114,1
139,313,193,1
140,461,525,1
141,247,304,1
142,187,143,1
143,449,424,1
144,192,564,1
145,311,519,1
146,424,47,1
147,124,491,1
148,468,444,1
149,194,481,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
