### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,569,398,2.66263,0,255,0,0,100,1,1
1,119,448,27.0971,0,255,0,0,100,1,1
2,510,103,-70.1281,0,255,0,0,100,1,1
3,487,242,-12.9716,0,255,0,0,100,1,1
4,186,62,127.975,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,516,336,1
1,247,65,1
2,156,502,1
3,36,147,1
4,236,466,1
5,384,192,1
6,256,500,1
7,339,311,1
8,328,538,1
9,426,186,1
10,275,529,1
11,196,349,1
12,94,205,1
13,76,373,1
14,580,147,1
15,205,537,1
16,29,375,1
17,270,118,1
18,412,440,1
19,444,278,1
20,563,132,1
21,579,515,1
22,305,572,1
23,380,55,1
24,357,341,1
25,205,41,1
26,23,462,1
27,253,352,1
28,555,323,1
29,305,192,1
30,186,90,1
31,181,446,1
32,238,323,1
33,62,465,1
34,260,330,1
35,533,509,1
36,456,92,1
37,352,211,1
38,328,48,1
39,210,284,1
40,263,473,1
41,511,395,1
42,535,25,1
43,335,150,1
44,315,407,1
45,158,564,1
46,135,276,1
47,57,373,1
48,120,228,1
49,314,357,1
50,62,212,1
51,523,288,1
52,522,461,1
53,19,258,1
54,265,191,1
55,173,158,1
56,551,394,1
57,352,33,1
58,318,461,1
59,58,498,1
60,360,256,1
61,39,294,1
62,303,500,1
63,342,482,1
64,116,169,1
65,146,175,1
66,548,452,1
67,265,85,1
68,45,341,1
69,571,389,1
70,502,549,1
71,247,525,1
72,518,577,1
73,405,149,1
74,171,203,1
75,363,187,1
76,322,98,1
77,207,492,1
78,91,386,1
79,123,42,1
80,577,331,1
81,132,21,1
82,151,249,1
83,429,524,1
84,95,463,1
85,168,468,1
86,22,395,1
87,408,27,1
88,182,112,1
89,198,414,1
90,400,475,1
91,516,374,1
92,293,482,1
93,137,420,1
94,522,486,1
95,165,287,1
96,335,280,1
97,534,53,1
98,513,247,1
99,51,420,1
100,496,71,1
101,45,444,1
102,441,138,1
103,162,307,1
104,331,71,1
105,21,22,1
106,119,357,1
107,60,104,1
108,293,351,1
109,549,255,1
110,101,487,1
111,466,208,1
112,304,374,1
113,527,198,1
114,77,572,1
115,423,261,1
116,298,459,1
117,309,63,1
118,517,181,1
119,183,328,1
120,440,406,1
121,231,493,1
122,21,99,1
123,112,328,1
124,20,426,1
125,271,248,1
126,94,278,1
127,20,529,1
128,484,108,1
129,491,310,1
130,385,117,1
131,431,494,1
132,286,557,1
133,356,507,1
134,34,175,1
135,459,339,1
136,22,499,1
137,390,336,1
138,488,458,1
139,508,433,1
140,322,335,1
141,207,224,1
142,494,491,1
143,162,358,1
144,505,221,1
145,83,134,1
146,404,114,1
147,444,27,1
148,472,181,1
149,303,137,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
