### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,229,522,50.7885,0,255,0,0,100,1,1
1,191,375,66.4947,0,255,0,0,100,1,1
2,444,243,-24.2462,0,255,0,0,100,1,1
3,514,144,-81.2847,0,255,0,0,100,1,1
4,263,391,-69.7138,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,416,378,1
1,575,170,1
2,492,463,1
3,462,305,1
4,418,64,1
5,420,561,1
6,533,351,1
7,298,84,1
8,199,50,1
9,213,148,1
10,335,290,1
11,75,183,1
12,537,457,1
13,311,100,1
14,579,355,1
15,33,345,1
16,146,570,1
17,324,364,1
18,97,402,1
19,211,484,1
20,221,564,1
21,40,560,1
22,178,54,1
23,197,110,1
24,50,541,1
25,251,222,1
26,305,218,1
27,232,152,1
28,112,446,1
29,188,194,1
30,399,74,1
31,116,575,1
32,83,470,1
33,446,434,1
34,443,94,1
35,506,283,1
36,187,576,1
37,508,415,1
38,219,530,1
39,407,536,1
40,178,320,1
41,262,326,1
42,578,217,1
43,558,140,1
44,143,76,1
45,262,546,1
46,487,332,1
47,546,532,1
48,108,108,1
49,139,492,1
50,346,243,1
51,432,340,1
52,411,405,1
53,25,164,1
54,55,84,1
55,22,322,1
56,379,458,1
57,129,473,1
58,322,275,1
59,314,238,1
60,308,445,1
61,321,482,1
62,240,46,1
63,575,518,1
64,542,391,1
65,466,437,1
66,95,43,1
67,436,317,1
68,335,412,1
69,503,110,1
70,294,394,1
71,519,126,1
72,388,417,1
73,551,84,1
74,79,425,1
75,201,464,1
76,195,405,1
77,389,551,1
78,365,386,1
79,173,350,1
80,235,422,1
81,412,26,1
82,101,293,1
83,141,534,1
84,214,198,1
85,135,238,1
86,453,262,1
87,407,145,1
88,357,140,1
89,176,484,1
90,349,267,1
91,266,460,1
92,150,410,1
93,406,304,1
94,556,494,1
95,59,52,1
96,293,298,1
97,445,394,1
98,154,550,1
99,444,148,1
100,83,92,1
101,141,263,1
102,130,118,1
103,336,191,1
104,372,515,1
105,136,144,1
106,31,234,1
107,125,417,1
108,518,559,1
109,147,511,1
110,521,507,1
111,319,523,1
112,385,108,1
113,267,411,1
114,440,63,1
115,318,328,1
116,74,515,1
117,139,347,1
118,558,356,1
119,71,566,1
120,152,98,1
121,168,519,1
122,322,48,1
123,174,270,1
124,57,162,1
125,421,518,1
126,48,441,1
127,54,400,1
128,203,307,1
129,94,345,1
130,52,123,1
131,173,408,1
132,350,352,1
133,48,204,1
134,76,142,1
135,276,509,1
136,174,245,1
137,442,535,1
138,278,358,1
139,560,460,1
140,515,179,1
141,453,476,1
142,449,125,1
143,538,199,1
144,125,304,1
145,275,210,1
146,36,462,1
147,468,200,1
148,393,161,1
149,145,184,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
