### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,319,485,-164.913,0,255,0,0,100,1,1
1,62,518,-110.424,0,255,0,0,100,1,1
2,60,173,-19.8268,0,255,0,0,100,1,1
3,454,411,15.7242,0,255,0,0,100,1,1
4,72,533,22.131,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,42,407,1
1,233,455,1
2,268,141,1
3,416,305,1
4,88,331,1
5,221,523,1
6,328,455,1
7,363,62,1
8,442,140,1
9,493,206,1
10,556,211,1
11,174,146,1
12,120,28,1
13,150,410,1
14,206,131,1
15,239,399,1
16,239,300,1
17,280,264,1
18,546,76,1
19,448,486,1
20,397,437,1
21,337,559,1
22,516,533,1
23,120,245,1
24,297,209,1
25,181,370,1
26,571,433,1
27,525,56,1
28,34,462,1
29,506,347,1
30,436,406,1
31,468,503,1
32,122,312,1
33,59,491,1
34,69,68,1
35,102,231,1
36,566,86,1
37,431,562,1
38,390,148,1
39,312,174,1
40,73,122,1
41,525,465,1
42,260,228,1
43,415,388,1
44,45,116,1
45,198,350,1
46,96,573,1
47,115,415,1
48,554,450,1
49,518,173,1
50,473,218,1
51,439,242,1
52,301,250,1
53,88,406,1
54,204,376,1
55,350,268,1
56,410,366,1
57,306,406,1
58,576,389,1
59,61,322,1
60,230,196,1
61,109,287,1
62,428,33,1
63,439,381,1
64,443,207,1
65,157,197,1
66,173,495,1
67,123,267,1
68,494,382,1
69,562,177,1
70,349,535,1
71,116,524,1
72,350,415,1
73,370,420,1
74,373,252,1
75,458,322,1
76,432,543,1
77,418,80,1
78,169,229,1
79,283,63,1
80,159,324,1
81,470,469,1
82,454,87,1
83,219,160,1
84,294,423,1
85,64,208,1
86,459,280,1
87,40,83,1
88,381,323,1
89,372,497,1
90,428,433,1
91,51,291,1
92,185,34,1
93,115,189,1
94,391,72,1
95,156,477,1
96,360,565,1
97,282,512,1
98,177,179,1
99,263,316,1
100,389,475,1
101,18,350,1
102,260,398,1
103,393,413,1
104,249,200,1
105,303,350,1
106,131,156,1
107,95,50,1
108,200,485,1
109,399,40,1
110,572,22,1
111,89,82,1
112,421,220,1
113,163,518,1
114,245,355,1
115,232,576,1
116,330,431,1
117,351,488,1
118,332,199,1
119,206,191,1
120,452,115,1
121,381,218,1
122,209,301,1
123,174,292,1
124,281,121,1
125,330,25,1
126,337,400,1
127,59,575,1
128,250,44,1
129,444,519,1
130,549,57,1
131,534,288,1
132,250,512,1
133,39,236,1
134,359,182,1
135,58,374,1
136,154,277,1
137,284,540,1
138,466,398,1
139,174,54,1
140,247,562,1
141,60,98,1
142,454,577,1
143,326,318,1
144,495,59,1
145,502,234,1
146,184,98,1
147,208,91,1
148,555,533,1
149,132,479,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
