### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,19,422,-20.8905,0,255,0,0,100,1,1
1,147,82,101.34,0,255,0,0,100,1,1
2,315,135,2.23708,0,255,0,0,100,1,1
3,155,450,30.8643,0,255,0,0,100,1,1
4,376,168,-161.637,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,160,247,1
1,317,487,1
2,544,277,1
3,177,232,1
4,538,481,1
5,413,312,1
6,115,540,1
7,135,430,1
8,93,258,1
9,427,49,1
10,432,315,1
11,342,302,1
12,148,458,1
13,171,373,1
14,50,53,1
15,453,337,1
16,88,146,1
17,549,439,1
18,165,283,1
19,408,437,1
20,437,537,1
21,477,32,1
22,91,343,1
23,140,309,1
24,167,36,1
25,542,235,1
26,117,71,1
27,446,79,1
28,245,384,1
29,269,321,1
30,170,503,1
31,294,223,1
32,440,479,1
33,150,169,1
34,40,521,1
35,364,251,1
36,501,36,1
37,67,237,1
38,314,220,1
39,252,201,1
40,112,150,1
41,434,512,1
42,177,343,1
43,58,154,1
44,24,576,1
45,242,495,1
46,500,467,1
47,230,55,1
48,259,461,1
49,154,53,1
50,123,96,1
51,200,528,1
52,337,124,1
53,539,409,1
54,331,189,1
55,159,431,1
56,29,421,0
57,180,557,1
58,172,164,1
59,284,139,1
60,352,208,1
61,531,319,1
62,44,72,1
63,528,463,1
64,267,80,1
65,505,400,1
66,531,100,1
67,216,515,1
68,118,398,1
69,252,115,1
70,548,535,1
71,384,531,1
72,501,172,1
73,377,22,1
74,244,75,1
75,506,425,1
76,570,108,1
77,157,137,1
78,198,102,1
79,83,565,1
80,455,377,1
81,399,35,1
82,526,564,1
83,493,381,1
84,255,48,1
85,482,573,1
86,91,281,1
87,152,222,1
88,214,32,1
89,295,45,1
90,88,377,1
91,523,524,1
92,101,123,1
93,323,388,1
94,492,245,1
95,155,347,1
96,192,422,1
97,289,432,1
98,92,452,1
99,573,192,1
100,545,207,1
101,294,309,1
102,156,111,1
103,209,269,1
104,403,397,1
105,128,32,1
106,475,88,1
107,74,23,1
108,62,90,1
109,442,181,1
110,499,287,1
111,180,458,1
112,342,32,1
113,73,272,1
114,95,410,1
115,190,21,1
116,147,268,1
117,372,296,1
118,256,277,1
119,179,402,1
120,100,502,1
121,434,434,1
122,128,136,1
123,76,184,1
124,479,499,1
125,142,549,1
126,363,452,1
127,386,216,1
128,406,293,1
129,214,319,1
130,344,514,1
131,450,451,1
132,421,141,1
133,181,75,1
134,394,504,1
135,165,324,1
136,223,139,1
137,523,273,1
138,388,466,1
139,362,348,1
140,20,38,1
141,261,565,1
142,68,211,1
143,452,211,1
144,424,284,1
145,555,165,1
146,95,65,1
147,261,440,1
148,225,366,1
149,511,365,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
