### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,446,341,-136.808,0,255,0,0,100,1,1
1,35,332,-21.4206,0,255,0,0,100,1,1
2,38,422,92.7447,0,255,0,0,100,1,1
3,442,53,-127.606,0,255,0,0,100,1,1
4,275,58,109.845,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,362,119,1
1,146,193,1
2,420,175,1
3,48,522,1
4,463,141,1
5,469,70,1
6,135,393,1
7,461,428,1
8,150,264,1
9,28,442,1
10,25,93,1
11,48,154,1
12,471,566,1
13,376,228,1
14,116,246,1
15,273,255,1
16,49,404,1
17,134,107,1
18,386,265,1
19,544,136,1
20,442,254,1
21,181,253,1
22,333,332,1
23,468,373,1
24,378,183,1
25,512,51,1
26,108,371,1
27,423,81,1
28,576,496,1
29,342,218,1
30,572,73,1
31,135,450,1
32,173,72,1
33,100,126,1
34,356,248,1
35,191,277,1
36,553,58,1
37,417,393,1
38,109,422,1
39,554,391,1
40,84,392,1
41,400,310,1
42,434,224,1
43,327,507,1
44,434,157,1
45,339,363,1
46,250,234,1
47,239,439,1
48,537,255,1
49,211,262,1
50,379,152,1
51,262,304,1
52,427,363,1
53,176,438,1
54,128,477,1
55,187,57,1
56,158,89,1
57,506,370,1
58,305,346,1
59,534,85,1
60,449,107,1
61,92,48,1
62,489,242,1
63,347,175,1
64,535,546,1
65,258,560,1
66,236,534,1
67,488,168,1
68,571,195,1
69,518,271,1
70,164,557,1
71,285,540,1
72,100,571,1
73,100,519,1
74,501,531,1
75,500,95,1
76,440,526,1
77,332,190,1
78,116,330,1
79,252,206,1
80,153,409,1
81,116,90,1
82,54,460,1
83,138,158,1
84,18,518,1
85,579,327,1
86,196,144,1
87,169,470,1
88,278,74,1
89,494,486,1
90,258,389,1
91,479,450,1
92,82,242,1
93,241,119,1
94,429,410,1
95,270,340,1
96,481,408,1
97,185,233,1
98,380,515,1
99,343,457,1
100,256,504,1
101,546,527,1
102,319,437,1
103,250,49,1
104,457,495,1
105,493,140,1
106,530,235,1
107,399,245,1
108,323,311,1
109,438,441,1
110,550,489,1
111,249,270,1
112,339,575,1
113,361,68,1
114,287,455,1
115,353,148,1
116,200,112,1
117,39,125,1
118,360,206,1
119,65,346,1
120,212,410,1
121,167,517,1
122,228,64,1
123,27,150,1
124,161,379,1
125,33,22,1
126,403,94,1
127,574,467,1
128,329,25,1
129,518,134,1
130,265,155,1
131,463,315,1
132,236,347,1
133,338,396,1
134,172,143,1
135,578,231,1
136,39,301,1
137,541,178,1
138,199,526,1
139,392,488,1
140,386,129,1
141,91,286,1
142,112,542,1
143,386,72,1
144,394,537,1
145,266,283,1
146,372,539,1
147,573,417,1
148,224,89,1
149,448,567,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
