### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,416,573,123.955,0,255,0,0,100,1,1
1,240,356,-33.8616,0,255,0,0,100,1,1
2,318,86,-3.10743,0,255,0,0,100,1,1
3,311,365,-8.98864,0,255,0,0,100,1,1
4,55,43,-127.298,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,275,104,1
1,300,378,1
2,552,413,1
3,329,88,0
4,476,303,1
5,79,149,1
6,320,399,1
7,552,544,1
8,353,466,1
9,561,392,1
10,258,357,1
11,100,371,1
12,573,325,1
13,223,438,1
14,493,65,1
15,396,160,1
16,380,137,1
17,134,419,1
18,480,351,1
19,491,547,1
20,34,283,1
21,311,109,1
22,511,133,1
23,524,545,1
24,24,448,1
25,220,116,1
26,444,328,1
27,108,203,1
28,444,454,1
29,174,251,1
30,249,338,1
31,240,550,1
32,465,524,1
33,409,259,1
34,288,350,1
35,144,230,1
36,269,282,1
37,362,521,1
38,230,75,1
39,33,361,1
40,47,339,1
41,457,110,1
42,381,193,1
43,416,157,1
44,123,27,1
45,245,511,1
46,409,413,1
47,289,432,1
48,312,223,1
49,285,58,1
50,107,410,1
51,526,260,1
52,76,494,1
53,58,240,1
54,572,429,1
55,274,177,1
56,268,484,1
57,195,541,1
58,558,37,1
59,79,307,1
60,513,496,1
61,134,149,1
62,432,86,1
63,536,186,1
64,192,422,1
65,363,360,1
66,562,300,1
67,336,357,1
68,342,407,1
69,40,426,1
70,67,220,1
71,303,481,1
72,377,321,1
73,156,122,1
74,550,354,1
75,155,83,1
76,125,512,1
77,497,234,1
78,266,562,1
79,61,440,1
80,86,260,1
81,384,433,1
82,24,483,1
83,81,383,1
84,88,341,1
85,329,512,1
86,544,212,1
87,112,85,1
88,269,403,1
89,244,470,1
90,401,492,1
91,46,304,1
92,171,429,1
93,151,186,1
94,373,96,1
95,439,296,1
96,127,60,1
97,460,68,1
98,406,96,1
99,401,558,1
100,490,407,1
101,248,302,1
102,237,393,1
103,354,569,1
104,24,208,1
105,518,422,1
106,336,379,1
107,21,509,1
108,202,574,1
109,577,272,1
110,494,319,1
111,143,252,1
112,338,491,1
113,78,237,1
114,367,388,1
115,135,113,1
116,243,278,1
117,274,127,1
118,151,332,1
119,285,155,1
120,344,218,1
121,375,74,1
122,423,339,1
123,135,465,1
124,519,525,1
125,238,138,1
126,202,292,1
127,75,80,1
128,337,43,1
129,93,179,1
130,522,397,1
131,76,116,1
132,316,542,1
133,434,220,1
134,30,247,1
135,449,539,1
136,521,564,1
137,494,25,1
138,356,21,1
139,109,308,1
140,389,34,1
141,256,148,1
142,198,467,1
143,454,391,1
144,502,153,1
145,370,412,1
146,87,99,1
147,173,298,1
148,571,533,1
149,290,328,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
