### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,99,18,-123.838,0,255,0,0,100,1,1
1,475,519,135.037,0,255,0,0,100,1,1
2,109,275,89.2995,0,255,0,0,100,1,1
3,62,290,-124.666,0,255,0,0,100,1,1
4,474,97,105.364,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,480,331,1
1,319,85,1
2,228,128,1
3,65,510,1
4,27,485,1
5,541,140,1
6,462,96,1
7,550,219,1
8,186,58,1
9,248,422,1
10,89,560,1
11,415,321,1
12,138,511,1
13,465,260,1
14,229,438,1
15,422,237,1
16,575,304,1
17,258,39,1
18,525,157,1
19,204,173,1
20,264,463,1
21,75,103,1
22,152,547,1
23,520,80,1
24,203,493,1
25,126,274,1
26,240,230,1
27,251,518,1
28,430,276,1
29,473,394,1
30,266,277,1
31,367,195,1
32,234,312,1
33,192,448,1
34,29,441,1
35,214,399,1
36,472,508,1
37,198,360,1
38,132,244,1
39,543,380,1
40,66,262,1
41,114,555,1
42,163,136,1
43,159,187,1
44,437,253,1
45,398,381,1
46,559,345,1
47,384,565,1
48,107,116,1
49,297,196,1
50,132,568,1
51,475,117,1
52,245,86,1
53,250,325,1
54,94,464,1
55,42,313,1
56,327,394,1
57,344,532,1
58,138,68,1
59,550,178,1
60,69,570,1
61,403,490,1
62,298,104,1
63,384,514,1
64,318,477,1
65,239,172,1
66,480,284,1
67,124,87,1
68,563,55,1
69,185,563,1
70,276,294,1
71,265,122,1
72,84,196,1
73,226,78,1
74,242,56,1
75,338,30,1
76,578,507,1
77,298,399,1
78,377,96,1
79,83,238,1
80,498,387,1
81,338,97,1
82,323,335,1
83,373,235,1
84,65,84,1
85,311,380,1
86,438,154,1
87,105,322,1
88,102,271,1
89,490,361,1
90,41,122,1
91,294,446,1
92,215,233,1
93,493,551,1
94,342,415,1
95,401,347,1
96,309,227,1
97,208,107,1
98,265,368,1
99,446,467,1
100,169,368,1
101,280,233,1
102,538,114,1
103,579,337,1
104,111,239,1
105,53,360,1
106,570,383,1
107,68,65,1
108,61,215,1
109,175,39,1
110,225,505,1
111,107,434,1
112,517,177,1
113,154,261,1
114,495,506,1
115,558,22,1
116,372,66,1
117,175,512,1
118,315,544,1
119,579,150,1
120,162,396,1
121,293,136,1
122,293,258,1
123,173,413,1
124,243,199,1
125,18,167,1
126,371,411,1
127,390,322,1
128,323,520,1
129,25,403,1
130,82,369,1
131,100,184,1
132,456,575,1
133,384,154,1
134,491,260,1
135,420,567,1
136,378,456,1
137,60,457,1
138,331,299,1
139,498,35,1
140,457,30,1
141,560,565,1
142,543,492,1
143,517,535,1
144,204,561,1
145,163,157,1
146,202,316,1
147,86,292,1
148,341,270,1
149,364,365,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
