### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,98,575,-135.201,0,255,0,0,100,1,1
1,396,515,174.937,0,255,0,0,100,1,1
2,158,119,62.7291,0,255,0,0,100,1,1
3,41,102,122.519,0,255,0,0,100,1,1
4,558,533,59.159,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,85,391,1
1,342,263,1
2,166,466,1
3,114,101,1
4,536,486,1
5,191,75,1
6,392,218,1
7,362,411,1
8,51,558,1
9,89,463,1
10,377,463,1
11,569,275,1
12,441,570,1
13,214,376,1
14,82,415,1
15,566,51,1
16,439,291,1
17,531,238,1
18,263,115,1
19,60,164,1
20,408,569,1
21,223,436,1
22,454,546,1
23,31,417,1
24,73,530,1
25,302,480,1
26,63,214,1
27,386,436,1
28,59,57,1
29,75,349,1
30,578,304,1
31,362,234,1
32,541,453,1
33,174,89,1
34,47,519,1
35,215,412,1
36,347,572,1
37,368,338,1
38,309,190,1
39,81,120,1
40,29,329,1
41,432,383,1
42,457,130,1
43,533,520,1
44,359,365,1
45,73,243,1
46,333,173,1
47,301,45,1
48,474,160,1
49,106,252,1
50,172,128,1
51,459,348,1
52,311,90,1
53,65,370,1
54,114,233,1
55,99,427,1
56,274,520,1
57,576,488,1
58,42,226,1
59,549,267,1
60,494,399,1
61,477,48,1
62,580,233,1
63,481,380,1
64,148,155,1
65,225,573,1
66,545,397,1
67,193,470,1
68,260,564,1
69,422,39,1
70,240,202,1
71,445,37,1
72,275,391,1
73,270,141,1
74,488,322,1
75,501,199,1
76,163,415,1
77,470,524,1
78,50,439,1
79,339,439,1
80,353,215,1
81,286,282,1
82,248,51,1
83,210,248,1
84,417,106,1
85,473,95,1
86,383,135,1
87,519,549,1
88,173,202,1
89,561,188,1
90,338,104,1
91,36,460,1
92,450,399,1
93,422,486,1
94,223,328,1
95,210,281,1
96,440,523,1
97,438,429,1
98,227,139,1
99,134,499,1
100,154,393,1
101,94,366,1
102,409,155,1
103,535,291,1
104,429,353,1
105,119,425,1
106,98,138,1
107,500,224,1
108,32,534,1
109,46,25,1
110,208,221,1
111,563,354,1
112,546,115,1
113,540,324,1
114,24,560,1
115,105,119,1
116,411,314,1
117,496,130,1
118,404,540,1
119,485,419,1
120,289,22,1
121,385,391,1
122,224,503,1
123,555,222,1
124,548,60,1
125,379,177,1
126,133,124,1
127,57,279,1
128,497,478,1
129,174,246,1
130,205,487,1
131,526,96,1
132,121,36,1
133,462,491,1
134,178,278,1
135,383,274,1
136,350,537,1
137,446,229,1
138,457,467,1
139,552,306,1
140,526,370,1
141,33,90,1
142,118,152,1
143,236,480,1
144,290,450,1
145,190,394,1
146,413,290,1
147,324,250,1
148,565,543,1
149,101,316,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
