### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,565,105,162.603,0,255,0,0,100,1,1
1,328,133,121.842,0,255,0,0,100,1,1
2,400,43,9.69019,0,255,0,0,100,1,1
3,16,508,62.9906,0,255,0,0,100,1,1
4,510,161,-159.506,0,255,0,0,100,1,1
5,233,537,9.54525,0,255,0,0,100,1,1
6,164,242,-105.756,0,255,0,0,100,1,1
7,102,513,-40.8256,0,255,0,0,100,1,1
8,61,300,-175.661,0,255,0,0,100,1,1
9,143,414,-168.746,0,255,0,0,100,1,1
10,19,553,72.4386,0,255,0,0,100,1,1
11,445,506,17.047,0,255,0,0,100,1,1
12,354,203,-88.7245,0,255,0,0,100,1,1
13,68,44,119.814,0,255,0,0,100,1,1
14,518,163,-123.979,0,255,0,0,100,1,1
15,209,203,-134.421,0,255,0,0,100,1,1
16,250,451,81.3219,0,255,0,0,100,1,1
17,80,333,-91.0753,0,255,0,0,100,1,1
18,149,547,139.933,0,255,0,0,100,1,1
19,457,182,-35.4932,0,255,0,0,100,1,1
20,281,204,93.6805,0,255,0,0,100,1,1
21,26,376,162.133,0,255,0,0,100,1,1
22,531,425,77.1897,0,255,0,0,100,1,1
23,68,560,4.79884,0,255,0,0,100,1,1
24,71,570,-38.788,0,255,0,0,100,1,1
25,225,241,127.451,0,255,0,0,100,1,1
26,166,300,-59.9381,0,255,0,0,100,1,1
27,380,420,-173.44,0,255,0,0,100,1,1
28,58,322,64.0797,0,255,0,0,100,1,1
29,441,97,-111.434,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,485,141,1
1,44,351,0
2,70,382,1
3,32,47,1
4,228,520,0
5,80,417,1
6,376,224,0
7,425,278,1
8,398,334,1
9,415,553,1
10,336,194,1
11,26,513,0
12,51,103,1
13,463,234,1
14,326,339,1
15,251,83,1
16,430,95,0
17,133,82,1
18,203,109,1
19,254,277,1
20,271,237,1
21,75,528,1
22,24,138,1
23,490,419,1
24,393,305,1
25,534,459,1
26,535,286,1
27,507,355,1
28,178,350,1
29,246,299,1
30,275,419,1
31,42,395,1
32,31,545,0
33,188,290,1
34,142,179,1
35,445,424,1
36,511,375,1
37,374,497,1
38,244,363,1
39,139,367,1
40,82,363,0
41,87,456,1
42,232,120,1
43,479,497,1
44,147,334,1
45,268,55,1
46,98,265,1
47,389,66,1
48,565,526,1
49,174,269,0
50,409,241,1
51,435,365,1
52,111,240,1
53,310,115,1
54,102,573,0
55,375,407,0
56,151,402,0
57,345,51,1
58,173,97,1
59,168,226,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
