### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,230,52,-120.563,0,255,0,0,100,1,1
1,420,471,24.2391,0,255,0,0,100,1,1
2,369,64,8.59441,0,255,0,0,100,1,1
3,257,171,-39.6951,0,255,0,0,100,1,1
4,79,87,24.1029,0,255,0,0,100,1,1
5,202,61,174.113,0,255,0,0,100,1,1
6,272,156,-94.9838,0,255,0,0,100,1,1
7,457,514,34.5384,0,255,0,0,100,1,1
8,219,15,113.377,0,255,0,0,100,1,1
9,104,144,102.126,0,255,0,0,100,1,1
10,293,245,-122.961,0,255,0,0,100,1,1
11,448,33,-45.3941,0,255,0,0,100,1,1
12,418,258,18.4369,0,255,0,0,100,1,1
13,515,379,-131.428,0,255,0,0,100,1,1
14,81,304,104.713,0,255,0,0,100,1,1
15,96,382,-22.5195,0,255,0,0,100,1,1
16,46,321,29.7442,0,255,0,0,100,1,1
17,10,192,-136.69,0,255,0,0,100,1,1
18,439,101,-85.6372,0,255,0,0,100,1,1
19,558,214,119.175,0,255,0,0,100,1,1
20,382,90,19.6378,0,255,0,0,100,1,1
21,403,274,-105.669,0,255,0,0,100,1,1
22,187,17,-83.5759,0,255,0,0,100,1,1
23,325,480,-86.7546,0,255,0,0,100,1,1
24,232,466,82.6277,0,255,0,0,100,1,1
25,396,166,-123.077,0,255,0,0,100,1,1
26,42,113,-60.828,0,255,0,0,100,1,1
27,21,245,26.281,0,255,0,0,100,1,1
28,414,238,12.2046,0,255,0,0,100,1,1
29,407,149,-122.939,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,484,341,1
1,200,383,1
2,524,335,1
3,106,226,1
4,567,441,1
5,226,89,1
6,347,513,1
7,140,211,1
8,46,85,1
9,125,463,1
10,316,211,1
11,344,99,1
12,272,43,1
13,466,380,1
14,57,413,1
15,367,530,1
16,101,81,0
17,499,551,1
18,343,208,1
19,205,281,1
20,104,431,1
21,358,397,1
22,411,109,1
23,236,293,1
24,254,64,0
25,422,309,1
26,440,503,0
27,318,528,1
28,405,22,1
29,564,57,1
30,458,428,1
31,168,566,1
32,20,261,0
33,381,443,1
34,439,134,0
35,286,275,0
36,550,371,1
37,75,43,1
38,442,263,0
39,226,348,1
40,132,397,1
41,212,209,1
42,78,481,1
43,439,83,0
44,327,144,1
45,171,355,1
46,526,512,1
47,423,244,0
48,124,325,1
49,565,398,1
50,85,166,1
51,574,190,0
52,431,327,1
53,248,569,1
54,510,117,1
55,555,324,1
56,196,239,1
57,531,484,1
58,270,290,1
59,454,223,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
